bangla_token,ipa_token
(এনওসি),(enosi)
(এনটিআরসিএ),(enti͡a̯cʰoʃi͡e̯)
(এনটিপিসি),(entipiʃi)
(এনবিআর),(enbi͡a̯r)
(এনসিএসএ),(enoʃi͡e̯ʃɔk)
(এপিএও),(epi͡e̯͡o̯)
(এপিবিএন),(epibi͡e̯n)
"(এফআইআর,","(epʰa͡i̯͡a̯r,"
(এফসিটিসি),(epʰsitisi)
(এবিবি),(ebibi)
(এমআই),(ema͡i̯)
(এমআর),(emar)
(এমএইচ-১০২),(eme͡i̯c-102)
(এমএলএস),(emæles)
(এমএলএসএস)।,(emæleʃɔ͡e̯s)।
(এমজিও),(emɟi͡o̯)
(এমটিবিএফ),(emtibi͡e̯pʰ)
(এমডি),(emdi)
(এরশাদ),(erʃad̪)
(এলজিইডি),(elɟi͡i̯di)
(এলসিডি),(elsidi)
(এসআই),(eʃa͡i̯)
(এসএ),(eʃo͡e̯)
(এসএমই),(eʃemi)
(এসওএইচআর),(eʃo͡e̯icar)
(এসটিপি),(eʃtipi)
(এসডি),(esdi)
(এসডিএফ),(eʃdi͡e̯pʰ)
(এসপিএ),(eʃopiŋ)
(এসিএ),(eʃi͡e̯)
(এসিল্যান্ড),(eʃilænd)
(ওএসবি),(o͡e̯sbi)
(ওসি),(osi)
(ওসি-তদন্ত),(osi-t̪d̪ɔnt̪o)
(ওসিএ),(osi͡e̯)
(ওসিসি),(oʃiʃi)
(ওয়ার্নার,(oʷarnar
(ওয়েস্ট,(oʲest
(ক),(k)
(কক্সবাজার),(kɔksbaɟar)
(কজ,(kɔɟ
(কণ্ঠনগর),(kɔntʰongɔr)
(কমপ্ল্যাইন্স),(kɔmplæ͡i̯ns)
(কম্পিউটার),(kɔmpi͡u̯tar)
(করুনারত্নে,(korunarɔt̪ne
(কাউন্সিলর)।,(ka͡u̯nsilɔr)।
(কুপন,(kupon
(কুমিল্লা),(kumilla)
(কুমেক),(kumek)
(কুড়িগ্রাম),(kuɽigram)
(কেকেআর)।,(kekeɽɔr)।
(কেন্দ্রীয়,(kend̪riʲo
(কোহলি,(koholi
(কোৎ,(kot̪
(ক্রাইম),(kra͡i̯m)
(ক্রীড়া),(kriɽa)
(ক্রেস্ট,(krest
(ক্ষমা),(kʰɔma)
(খালেদা,(kʰaled̪a
(খিলগাঁও,(kʰilgão
(গণপ্রতিনিধিত্ব,(gɔnoprot̪inid̪ʱit̪t̪o
(গণমাধ্যম),(gɔnomad̪d̪ʱom)
(গবেষণা),(gɔbeʃona)
(গম),(gɔm)
(গরু,(goru
(গর্ভফুল),(gɔrbʱopʰul)
(গাজীপুর),(gaɟipur)
(গুলশান,(gulʃan
(গোপালগঞ্জ),(gopalgɔnɟ)
(গোলাগুলিতে,(golagulit̪e
(গোয়েন্দাদের),(goʲend̪ad̪er)
(গ্লাস,(glas
(চট্টগ্রাম),(cɔttogram)
(চমেক),(cɔmek)
(চল্লিশা),(colliʃa)
(চাঁপাইনবাবগঞ্জ)।,(cãpa͡i̯nbabɔgnɟ)।
(চার্জশিট),(carɟoʃit)
(চাল),(cal)
(চিকিৎসা,(cikit̪ʃa
(চুয়াডাঙ্গা),(cuʲadaŋga)
(চৌচা,(co͡u̯ca
(ছেলেমেয়ে,(cʰelemeʲe
(জনগণের),(ɟɔngɔner)
(জনসংযোগ),(ɟɔnoʃɔŋɟog)
(জাইকা)।,(ɟa͡i̯ka)।
(জামুকা),(ɟamuka)
(জার্মান,(ɟarman
(জার্মানি)।,(ɟarmani)।
(জাসদ),(ɟaʃod̪)
(জিজি),(ɟiɟi)
(জিজেএমএম),(ɟiɟe͡e̯mem)
(জিডি),(ɟidi)
(জিডিপি),(ɟidipi)
(জেএসএস),(ɟe͡e̯ʃɔ͡e̯s)
(জেরুজালেম),(ɟeruɟalem)
(জয়পুরহাট),(ɟɔʲpurhat)
(ঝালকাঠি),(ɟʱalkatʰi)
(টাঙ্গাইল),(taŋga͡i̯l)
(টিনএজার),(tineɟar)
(টু,(tu
(ট্যাক্স,(tækʃo
(ট্যাক্স),(tækʃo)
(ট্রাফিক),(trapʰik)
(ডন),(dɔn)
(ডব্লিউএসএসসিসি),(dɔbli͡u̯͡e̯sessisi)
(ডব্ল–এডিএ),(dɔbl–edi͡e̯)
(ডিএফএ),(di͡e̯pʰɔ͡e̯)
(ডিএফও),(di͡e̯pʰo)
(ডিএমপি),(di͡e̯mpi)
(ডিএসইসি)।,(di͡e̯sisi)।
(ডিএসসিসি)।,(di͡e̯sʃisi)।
(ডিগ্রি),(digri)
(ডিজিএম),(diɟi͡e̯m)
(ডিপিএল),(dipi͡e̯l)
(ডিপিপি),(dipipi)
(ডিবি),(dibi)
(ডিসি),(disi)
(ঢাকা,(dʱaka
(ঢামেক),(dʱamek)
(ঢোল),(dʱol)
(তদন্ত),(t̪ɔd̪ont̪o)
(তামিম,(t̪amim
(তালাকপ্রাপ্তা),(t̪alakprapt̪a)
(তেল,(t̪el
(তৈয়বা,(t̪o͡i̯ʲba
(থ্রেশহোল্ড),(t̪reʃhold)
(দক্ষিণ),(d̪okkʰin)
(দায়িত্বপ্রাপ্ত),(d̪aʲit̪t̪oprapt̪o)
(দুদক),(d̪ud̪ok)
(দুর্নীতি,(d̪urnit̪i
(দুর্বৃত্ত),(d̪urbrit̪t̪o)
(দৈনিক,(d̪o͡i̯nik
(দ্বিপক্ষীয়,(d̪ipokkʰiʲo
(দ্য,(d̪æ
(দ্রুত,(d̪rut̪o
(ধর্ষণ),(d̪ʱɔrʃɔn)
(নবীনগর,(nobingor
(নরসিংদী),(nɔroʃiŋd̪i)
(নরেন্দ্র,(nɔrend̪ro
(নাঈম),(na͡i̯m)
(নারায়ণগঞ্জ),(naraʲongɔnɟ)
(নারায়ণগঞ্জ):,(naraʲongɔnɟ):
(নিপকো),(nipko)
(নিরস্ত্র),(nirɔst̪ro)
(নিষিক্তকরণ),(niʃikt̪okɔron)
(নিষ্পত্তি,(niʃpot̪t̪i
(নিয়ন্ত্রণ),(niʲont̪ron)
(নিয়োগপ্রাপ্তরা),(niʲogprapt̪ora)
(নেত্রকোনা),(net̪rokona)
(নেদারল্যান্ডস,(ned̪arlændʃ
(নোয়াখালী),(noʷakʰali)
(পটুয়াখালী),(potu͡a̯ʷkʰali)
(পণ্যবাহী),(ponnobahi)
(পবিস),(pobiʃ)
(পরিবেশ,(poribeʃ
(পরিহিত),(porihit̪o)
(পরের,(pɔrer
(পলাতক),(pɔlat̪ok)
(পলি),(poli)
(পশ্চিম),(poʃcim)
(পাখি),(pakʰi)
(পাদানি,(pad̪ani
(পাবনা,(pabna
(পার্সোনাল)।,(parslanal)।
"(পাসপোর্ট,","(paʃport,"
(পিআরএল),(pi͡a̯rɔ͡e̯l)
(পিএস),(pi͡e̯s)
(পিএসএল),(pi͡e̯sel)
(পিএসসি),(pi͡e̯ssi)
(পিটিএ),(pitik)
(পিনাক,(pinak
(পিপি),(pipi)
(পিপিআর),(pipi͡a̯r)
(পিপিপি),(pipipi)
(পিরোজপুর),(piroɟpur)
(পিসিবি)।,(piʃibi)।
(পুঠিয়া,(putʰiʲa
(পূর্ব,(purbo
(পূর্ব),(purbo)
(পূর্বাঞ্চল)।,(purbancɔl)।
(পেটান,(petan
(প্রজ্ঞা),(progga)
(প্রতিমা),(prot̪ima)
(প্রধান,(prod̪ʱan
(প্রধানমন্ত্রী),(prod̪ʱanmont̪ri)
(প্রশাসন),(proʃaʃon)
(প্রিয়াংকার),(priʲaŋkar)
(প্রোগ্রাম),(program)
(প্রোসেসাস,(proʃesaʃ
(প্লুটোনিয়ামের,(plutoniʲamer
(ফরিদপুর),(pʰorid̪pur)
(ফরিদপুরী),(pʰorid̪puri)
(ফলো-অন),(pʰɔlo-ɔn)
(ফাইন্যান্সিয়াল,(pʰa͡i̯nnanʃiʲal
(ফিন্যান্স,(pʰinnanʃo
(ফিরোজ),(pʰiroɟ)
(ফ্রান্স,(pʰranʃo
(বই,(bo͡i̯
(বগুড়া),(bɔguɽa)
(বনানী),(bɔnani)
(বন্দর),(bond̪ɔr)
(বরগুনা),(bɔrguna)
(বরিশাল),(boriʃal)
(বলী),(boli)
(বা,(ba
(বাঁয়ে)।,(bãʲe)।
(বাংলাদেশ,(baŋlad̪eʃ
(বাংলাদেশ),(baŋlad̪eʃ)
(বাইপাস),(ba͡i̯paʃ)
(বাউবি),(ba͡u̯bi)
(বাজেট),(baɟet)
(বাণিজ্য),(baniɟɟo)
(বাফুফে),(bapʰupʰe)
(বাবর,(babor
(বার),(bar)
(বাহার),(bahar)
(বাড়ির,(baɽir
(বায়তুল,(baʲt̪ul
"(বিআইএ),","(bi͡a̯͡i̯e),"
(বিআইডব্লিউটিএ),(bi͡a̯͡i̯dɔbli͡u̯ti͡e̯)
(বিআইবিএম),(bi͡a̯͡i̯bi͡e̯m)
(বিইসি),(bi͡i̯si)
(বিএএফওএইচপিপি)’।,(bi͡e̯͡e̯pʰo͡e̯͡i̯copipi)’।
(বিএএস),(bi͡e̯͡e̯ʃ)
(বিএনপি,(bi͡e̯npi
(বিএফআইইউ),(bi͡e̯pʰa͡i̯i͡u̯)
(বিএফডিসি),(bi͡e̯pʰdisi)
(বিএম),(bi͡e̯m)
(বিএমবিএস),(bi͡e̯mobi͡e̯s)
(বিএসএমএমইউ),(bi͡e̯ʃɔ͡e̯mt̪ɔmi͡u̯)
(বিএসজেএ),(bi͡e̯ʃɔɟeɟ)
(বিএসপিএ)।,(bi͡e̯spiŋ)।
(বিএসপিপি)।,(bi͡e̯spipi)।
(বিওএ),(bi͡o̯͡e̯)
(বিওপি),(bi͡o̯pi)
(বিকাল,(bikal
(বিকাশ)।,(bikaʃ)।
(বিকেএসপি),(bike͡e̯ʃopi)
(বিচার,(bicar
(বিচারপতির),(bicarpot̪ir)
"(বিজিবি),","(biɟibi),"
(বিডা),(bida)
(বিডি),(bidi)
(বিডিবিএল)।,(bidibi͡e̯l)।
(বিবিএল),(bibi͡e̯l)
(বিবিএস),(bibi͡e̯s)
(বিষ,(biʃ
(বিসিক)।,(biʃik)।
(বিসিবি),(biʃibi)
(বুধবার),(bud̪ʱbar)
(বেনজেমা),(benɟema)
(বেবিচক),(bebicɔk)
(বেস্ট,(best
(বোন,(bon
(বোল্ট),(bolt)
(ব্যবস্থাপনা),(bæbost̪ʰapona)
(ব্যালন,(bælon
(ব্রাজিলিয়ান),(braɟiliʲan)
(ব্রাফেট,(brapʰet
(বড়দের,(bɔɽod̪er
(ভারত),(bʱart̪o)
(ভারপ্রাপ্ত,(bʱarprapt̪o
(ভারপ্রাপ্ত),(bʱarprapt̪o)
(ভূমি),(bʱumi)
(ভোরের,(bʱorer
(ভ্রমর),(bʱromɔr)
(মঙ্গলবার),(moŋgolbar)
(মজা,(mɔɟa
(মনোনয়ন),(mononɔʲon)
(মরণোত্তর),(mɔronot̪t̪or)
(মহিলা,(mohila
(মাদারীপুর),(mad̪aripur)
(মানবজমিন),(manobɟomin)
(মানিক),(manik)
(মামলা,(mamla
(মামলার,(mamolar
(মালিঙ্গা),(maliŋga)
(মাসুদ),(maʃud̪)
(মাহমুদুর,(mahmud̪ur
(মিডিয়া),(midiʲa)
(মুন্সীগঞ্জ),(munʃigɔnɟ)
(মৃত্যুদণ্ড,(mrit̪t̪ud̪ɔnd̪o
(মেলডোনিয়াম),(meldoniʲam)
(মেসি),(mesi)
(মেয়ের,(meʲer
(মোবাইল-০১৭১১৬৬৬৭১৭),(moba͡i̯l-01711666717)
(ময়মনসিংহ),(mɔʲmɔnʃiŋho)
(যশোর),(ɟɔʃor)
(যুক্তরাষ্ট্র),(ɟukt̪oraʃtro)
(যুগান্তর),(ɟugant̪ɔr)
(যুগ্ম,(ɟugmo
(যৌথভাবে),(ɟo͡u̯t̪ʰobʱabe)
(র.)-এর,(rɔ.)-er
(রংপুর),(rɔŋpur)
(রসকোলা),(rɔʃokola)
(রহ.),(rɔho.)
(রা.),(ra.)
(রাঙামাটি),(raŋamati)
(রাজনৈতিক),(raɟno͡i̯t̪ik)
(রাজবাড়ী),(raɟbaɽi)
(রাজস্ব),(raɟoʃʃo)
"(রাজ্জাক,","(raɟɟak,"
(রাত,(rat̪
(রাফসান,(rapʰʃan
(রাবি),(rabi)
(রামেক),(ramek)
(রি-সাইকেল),(ri-sa͡i̯kel)
(রিয়াল-নাপোলি),(riʲal-napoli)
(রেজাউল),(reɟa͡u̯l)
(রেনশ,(renoʃ
(রেয়াদ),(reʲad̪)
(রোকেয়া),(rokeʲa)
(রোববার),(robbar)
(র্যাব)।,(ræbo)।
(লক্ষ্মীপুর),(lokkʰipur)
(লুইস,(lu͡i̯ʃ
(ল্যাবরেটরি),(læbɔretri)
(শজিমেক),(ʃoɟimek)
(শনাক্ত),(ʃɔnakt̪o)
(শনিবার),(ʃonibar)
(শাখাওয়াত),(ʃakʰa͡o̯ʲat̪)
(শান্তি,(ʃant̪i
(শিক্ষা,(ʃikkʰa
(শিক্ষা),(ʃikkʰa)
(শিশু,(ʃiʃu
(শিশু),(ʃiʃu)
(শুক্রবার),(ʃukrobar)
(শৃংখলা,(ʃriŋkʰɔla
(শ্রীনগর,(sringɔr
(স.)-কে,(ʃɔ.)-ke
(সংস্থাপন),(ʃɔŋɔst̪ʰapon)
(সচিবের,(ʃociber
(সজীব,(ʃoɟib
(সদরঘাট),(ʃɔd̪ɔrgʱat)
(সবার,(ʃɔbar
(সমালোচক),(ʃɔmalocɔk)
(সম্মান),(ʃɔmman)
(সম্মিলিত,(ʃɔmmilit̪o
(সরকারি,(ʃɔrkari
(সর্বনিন্ম,(ʃɔrboninmo
(সর্বোচ্চ,(ʃɔrbe͡a̯cco
(সহকারি,(ʃɔhokari
(সা.),(ʃa.)
(সা.)-এর,(ʃa.)-er
(সাংবাদিকদের),(ʃaŋbad̪ikɔd̪er)
(সাকোসান-ছয়)-এর,(ʃakoʃan-cʰɔʲo)-er
(সাবেক),(ʃabek)
(সামি,(ʃami
(সারোয়ার-তামিম),(ʃaroʷar-t̪amim)
(সার্বিক),(ʃarbik)
(সার্ভিস,(ʃarbʱiʃ
(সিআরপি),(si͡a̯rɔpi)
(সিআরপিএফ),(si͡a̯rɔpi͡e̯pʰ)
(সিইও)।,(ʃi͡i̯͡o̯)।
(সিইসি),(ʃi͡i̯si)
(সিএ),(ʃi͡e̯)
(সিএনএস),(si͡e̯nes)
(সিএমএইচ),(ʃi͡e̯me͡i̯c)
(সিএমপি),(ʃi͡e̯mpi)
(সিএসএ),(ʃi͡e̯ʃɔk)
(সিজার,(ʃiɟar
(সিডিএ),(sidik)
(সিনহা),(ʃinha)
(সিপিএল),(sipi͡e̯l)
(সিপিবি),(sipibi)
(সিরাজগঞ্জ),(ʃiraɟgɔnɟ)
(সিলভা,(siŋbʱa
(সিলেট),(silet)
(সিসি,(ʃiʃi
(সিসি),(ʃiʃi)
(সিসিসিপি),(ʃiʃisipi)
(সিসিসিসি)।,(ʃiʃiʃiʃi)।
(সুইডেন,(ʃu͡i̯den
(সুনামগঞ্জ),(ʃunamɔgɔnɟ)
(সুবীর,(ʃubir
(সূরা,(ʃura
(সেলফ্,(ʃelɔpʰ
(সোমবার),(ʃombar)
(স্টপ,(stɔp
(স্ট্যান্ডার্ড,(standard
(স্থানীয়,(st̪ʰaniʲo
(স্থানীয়ভাবে,(st̪ʰaniʲobʱabe
(স্থায়ী),(st̪ʰaʲi)
(স্বরূপকাঠি),(ʃɔrupkatʰi)
(স্বাচিপ),(ʃacip)
(স্লিপ),(slip)
(হত্যা),(hot̪t̪a)
(হাউস,(ha͡u̯ʃ
(১,(1
(১-০),(1-0)
(১-১)।,(1-1)।
(১/৩২),(1/32)
"(১১,১৫০","(11,150"
(১১০)।,(110)।
(১১৫/৭),(115/7)
(১২০/১)।,(120/1)।
(১৩.৬,(13.6
"(১৩তম),","(13t̪ɔmo),"
"(১৪),","(14),"
"(১৪তম),","(14t̪ɔmo),"
(১৫.৯,(15.9
(১৬,(16
"(১৭),","(17),"
(১৭)।,(17)।
(১৯,(19
(১৯৯৬-৯৭),(1996-97)
(২)।,(2)।
(২-০)।,(2-0)।
(২-১)।,(2-1)।
(২-২)।,(2-2)।
(২য়,(2ʲ
(২০,(20
(২০১৬-১৭),(2016-17)
(২০১৬-১৯),(2016-19)
(২০১৮-২০),(2018-20)
"(২৫তম),","(25t̪ɔmo),"
(২৬,(26
(২৬৩/৬),(263/6)
(৩,(3
(৩-০)।,(3-0)।
"(৩৪),","(34),"
(৩৪)।,(34)।
(৩৮)।,(38)।
(৩৯*)।,(39*)।
(৪-০)।,(4-0)।
(৪১)।,(41)।
(৪২)-র,(42)-ro
(৪২)।,(42)।
(৪৬তম),(46t̪ɔmo)
(৫,(5
(৫০,(50
"(৫১),","(51),"
(৫১তম)।,(51t̪ɔmo)।
"(৫৪),","(54),"
"(৫৯),","(59),"
(৬৩,(63
"(৬৪),","(64),"
(৭১)।,(71)।
(৭৯/১০),(79/10)
(৯,(9
(৯-০)।,(9-0)।
),)
*,*
***প্লেট,***plet
*এতদিন,*æt̪od̪in
*ওভিডএমন,*obʱidamon
*ভালোভাবে,*bʱalobʱabe
*শেখ,*ʃekʰo
*শ্বাসকষ্ট,*ʃaʃkoʃto
-এ,-e
-এর,-er
-ক্রিম,-krim
-তে,-t̪e
-বলেন,-bɔlen
-বেঞ্জামিন,-benɟamin
-মানে,-mane
-লামার,-lamar
-সদস্য,-ʃɔd̪oʃʃo
-সবকিছুতেই,-ʃɔbkicʰut̪e͡i̯
-ি,-i
-ৈ,-o͡i̯
-৫৭টি,-57ti
/,/
":-ি,",":-i,"
?এভারটনে।,?ebʱarine।
"[],","[],"
bangla_token,ipa_token
|,|
অ-আ,ɔ-a
অ-ইউনিটএর,ɔ-i͡u̯niter
অ-১৪,ɔ-14
অ-১৫,ɔ-15
অ-১৬,ɔ-16
অ-১৮,ɔ-18
অ-১৯,ɔ-19
অঁজিকে,ɔ̃ɟike
অঁতোয়ান,ɔ̃t̪oʷan
অঁরিকে,ɔ̃rike
অঁরির,ɔ̃rir
অং,ɔŋ
অংক,ɔŋk
অংকটা,ɔŋokta
অংকন,ɔŋkon
অংকুজানপাড়া,ɔŋkuɟanpaɽa
অংকুরের,ɔŋkurer
অংকে,ɔŋke
অংকের,ɔŋker
অংগসংগঠনের,ɔŋgɔʃɔŋgɔtʰoner
অংশ,ɔŋʃo
অংশই,ɔŋʃo͡i̯
অংশও,ɔŋʃo͡o̯
অংশকে,ɔŋʃoke
অংশগুলো,ɔŋʃogulo
অংশগুলোতেও,ɔŋʃogulot̪e͡o̯
অংশগ্রহণ,ɔŋʃogrohon
অংশগ্রহণও,ɔŋʃogrohono
অংশগ্রহণকারী,ɔŋʃogrohonkari
অংশগ্রহণকারীকে,ɔŋʃogrohonkarike
অংশগ্রহণকারীদের,ɔŋʃogrohonkarid̪er
অংশগ্রহণকারীরা,ɔŋʃogrohonkarira
অংশগ্রহণকারীরাও,ɔŋʃogrohonkarira͡o̯
অংশগ্রহণটা,ɔŋʃogrohonta
অংশগ্রহণমূলক,ɔŋʃogrohonmulok
অংশগ্রহণে,ɔŋʃogrohone
অংশগ্রহণের,ɔŋʃogrohoner
অংশগ্রহণেরও,ɔŋʃogrohonero
অংশগ্রহনেণের,ɔŋʃogrohonener
অংশটা,ɔŋʃota
অংশটি,ɔŋʃoti
অংশটুকু,ɔŋʃotuku
অংশনেবে,ɔŋʃonebe
অংশবিশেষ,ɔŋʃobiʃeʃ
অংশমাত্র,ɔŋʃomat̪ro
অংশিদারিত্ব,ɔŋʃid̪arit̪t̪o
অংশীদার,ɔŋʃid̪ar
অংশীদারও,ɔŋʃid̪aro
অংশীদারদের,ɔŋʃid̪ard̪er
অংশীদারি,ɔŋʃid̪ari
অংশীদারিত্ব,ɔŋʃid̪arit̪t̪o
অংশীদারিত্বে,ɔŋʃid̪arit̪t̪e
অংশুকে,ɔŋʃuke
অংশে,ɔŋʃe
অংশেই,ɔŋʃe͡i̯
অংশেও,ɔŋʃe͡o̯
অংশের,ɔŋʃer
অংশেরই,ɔŋʃeri
অংসউ,ɔŋʃo͡u̯
অংসান,ɔŋʃan
অঃ,ɔ
অইতো,ɔ͡i̯t̪o
অইলে,æ͡i̯le
অইয়া,ɔ͡i̯ʲa
অউব্রের,ɔ͡u̯brer
অকথ্য,ɔkot̪t̪ʰo
অকপটে,ɔkpɔte
অকল্পনীয়,ɔkɔlponiʲo
অকাট্য,ɔkatto
অকারণে,ɔkarone
অকার্যকর,ɔkarɟokɔr
অকাল,ɔkal
অকালপক্ব,ɔkalpokbo
অকালমৃত্যু,ɔkalmrit̪t̪u
অকালে,ɔkale
অকালেহঠাৎ,ɔkalehtʰat̪
অকুণ্ঠ,ɔkuntʰo
অকুতোভয়,ɔkut̪obʱɔʲ
অকৃতকার্য,ɔkrit̪okarɟo
অকৃতজ্ঞ,ɔkrit̪oggo
অকৃত্রিম,ɔkrit̪rim
অকেজো,ɔkeɟo
অক্টোবর,ɔktobɔr
অক্টোবরে,ɔktobɔre
অক্টোবরের,ɔktobɔrer
অক্লান্ত,ɔklant̪o
অক্ষত,ɔkkʰɔt̪o
অক্ষম,ɔkkʰom
অক্ষর,ɔkkʰor
অক্ষরে,ɔkkʰore
অক্ষিপট,okkʰipɔt
অক্ষুণ্ণ,okkʰunno
অক্ষয়,ɔkkʰɔʲ
অক্সফামের,ɔkspʰamer
অক্সফোর্ড,ɔkspʰord
অক্সাইডের,ɔksa͡i̯der
অক্সিজেন,ɔksiɟen
অক্সিজেনের,ɔksiɟener
অখণ্ডতা,ɔkʰɔndot̪a
অখণ্ডতাই,ɔkʰɔndot̪a͡i̯
অখণ্ডতার,ɔkʰɔndot̪ar
অখণ্ডনীয়,ɔkʰɔndoniʲo
অখিলের,ɔkʰiler
অখিলেশ,ɔkʰileʃ
অখ্যাত,ɔkkʰat̪o
অগণতন্ত্র,ɔgɔnot̪ɔnt̪ro
অগণতান্ত্রিক,ɔgɔnot̪ant̪rik
অগণিত,ɔgonit̪o
অগত্যা,ɔgot̪t̪a
অগমেডিক্স,ɔgomedikʃo
অগস্টের,ɔgɔster
অগাধ,ɔgad̪ʱ
অগাস্ট,ɔgast
অগোচরে,ɔgocore
অগোছালো,ɔgocʰalo
অগ্নি,ɔgni
অগ্নিকাণ্ড,ɔgnikando
অগ্নিকাণ্ডমিরসরাই,ɔgnikandomirɔʃra͡i̯
অগ্নিকাণ্ডে,ɔgnikande
অগ্নিকাণ্ডের,ɔgnikander
অগ্নিগর্ভ,ɔgnigɔrbʱo
অগ্নিগিরি,ɔgnigiri
অগ্নিগোলার,ɔgnigolar
অগ্নিদগ্ধ,ɔgnid̪ɔgd̪ʱo
অগ্নিদগ্ধরা,ɔgnid̪ɔgd̪ʱora
অগ্নিদ্বগ্ধ,ɔgnid̪d̪ɔgd̪ʱo
অগ্নিপরীক্ষায়,ɔgniporikkʰaʲ
অগ্নিবীণার,ɔgnibinar
অগ্নিসংযোগ,ɔgniʃɔŋɟog
অগ্নিসংযোগের,ɔgniʃɔŋɟoger
অগ্নিসাগর,ɔgniʃagor
অগ্নেয়াস্ত্র,ɔgneʲast̪ro
অগ্ন্যুৎপাতে,ɔgnut̪pat̪e
অগ্রক্রয়,ɔgrokroʲ
অগ্রগতি,ɔgrogot̪i
অগ্রগতিতে,ɔgrogot̪it̪e
অগ্রগতির,ɔgrogot̪ir
অগ্রগামী,ɔgrogami
অগ্রণী,ɔgroni
অগ্রতি,ɔgrot̪i
অগ্রদূত,ɔgrod̪ut̪
অগ্রদূত-এর,ɔgrod̪ut̪-er
অগ্রদূতের,ɔgrod̪ut̪er
অগ্রপশ্চাৎ,ɔgropoʃcat̪
অগ্রবর্তী,ɔgrobort̪i
অগ্রবাল,ɔgrobal
অগ্রভাগে,ɔgrobʱage
অগ্রযাত্রা,ɔgroɟat̪ra
অগ্রযাত্রাকে,ɔgroɟat̪rake
অগ্রযাত্রায়,ɔgroɟat̪raʲ
অগ্রযোদ্ধা,ɔgroɟod̪d̪ʱa
অগ্রসর,ɔgroʃɔr
অগ্রহণযোগ্য,ɔgrohonɟoggo
অগ্রাণী,ɔgrani
অগ্রাধিকার,ɔgrad̪ʱikar
অগ্রাধিকারকে,ɔgrad̪ʱikarke
অগ্রাধিকারপ্রাপ্ত,ɔgrad̪ʱikarprapt̪o
অগ্রাধিকারে,ɔgrad̪ʱikare
অগ্রাধিকারের,ɔgrad̪ʱikarer
অগ্রাহ্য,ɔgraɟɟʱo
অগ্রিম,ɔgrim
অঘটন,ɔgʱɔton
