bangla_token,ipa_token
সূজন,ʃuɟɔn
কাল্পনিক,kalponik
হীরালাল,hiralal
তেজগাঁওস্থ,t̪eɟgão͡i̯st̪ʰo
টেপাখড়িবাড়ী,tepakʰoɽibaɽi
এইচএসসির,e͡i̯ceʃosir
পৌষাপুকুরপাড়,po͡u̯ʃapukurpaɽ
বিটি,biti
এনএবির,enebir
খাঁর,kʰãr
নবির,nobir
ঢাকা-জয়দেবপুর,dʱaka-ɟɔʲd̪ebpur
বাছবেন,bacʰben
হিটলার,hitlar
সংযত,ʃɔŋɟɔt̪o
পরিবহনের,poribɔhoner
পান।,pan।
বেজপাড়া,beɟpaɽa
ও,o
৫০,50
একটি,ekti
মঠবাড়িয়া,mɔtʰbaɽiʲa
সাহেদকে,ʃahed̪ke
করতে,kort̪e
পিস,pis
কোডিং,kodiŋ
জর্জ,ɟɔrɟo
উৎসব।,ut̪ʃɔb।
সন্দেহে,ʃɔnd̪ehe
প্রতিটা,prot̪ita
গ্রামের,gramer
র্যাব,ræbo
‘ইসলামী,‘islami
গাড়ি,gaɽi
ইয়াবা,iʲaba
নতুন,not̪un
পয়েন্টে,pɔʲente
থাকার,t̪ʰakar
পারেনি।,pareni।
(পিরোজপুর),(piroɟpur)
:,:
দিল্লি,d̪illi
হবিবর,hobibɔr
মেন্ডেসের,mendeser
করলেও,korle͡o̯
রডভর্তি,rɔdbʱɔrt̪i
যায়নি।,ɟaʲni।
অণ্ডকোষের,ɔndokoʃer
শাহপরান,ʃahpɔran
একেবারই,ækebari
সর্বশেষ,ʃɔrboʃeʃ
স্থানীয়,st̪ʰaniʲo
অন্যরা,ɔnnora
রহমানের,rɔhɔmaner
স্যাক,sæk
ট্রাককে,trakke
বিরুদ্ধেও,birud̪d̪ʱe͡o̯
বা,ba
পৌরসভার,po͡u̯roʃbʱar
কর,kɔr
পালিয়ে,paliʲe
স্ত্রী,st̪ri
থলি,t̪ʰoli
বাংলাদেশের,baŋlad̪eʃer
বিশ্ববিদ্যালয়ের,biʃʃobid̪d̪alɔʲer
রয়েছে।,rɔʲecʰe।
যায়।,ɟaʲ।
ওভারটেক,obʱartek
হারিয়েছে,hariʲecʰe
ফাঁকির,pʰãkir
সম্মুখ,ʃɔmmukʰ
সাজেদা,ʃaɟed̪a
বিপক্ষে,bipɔkkʰe
গিয়ে,giʲe
অধ্যাপক,od̪d̪ʱapok
সড়কে,ʃɔɽke
বেগম,begom
বাধা,bad̪ʱa
(প্রোসেসাস,(proʃesaʃ
অভিযোগ,obʱiɟog
প্রথম,prot̪ʰom
তার,t̪ar
এএসআর,e͡æ̯ʃo͡a̯r
ধাক্কা,d̪ʱakka
উঠেছে।,utʰecʰe।
’,’
ছেলে,cʰele
দেয়।,d̪eʲ।
টেস্ট,test
মানববন্ধন,manobbɔnd̪ʱon
গিলানিকে,gilanike
শতকের,ʃɔt̪oker
ভ্যাজাইনালিস),bʱæɟa͡i̯naliʃ)
করেছে,korecʰe
রাজ্জাক,raɟɟak
সন্ধ্যায়,ʃond̪ʱaʲ
পিয়ংইয়ংয়ের,piʲoŋiʲoŋʲer
"থাকে,","t̪ʰake,"
এর,er
একেবারে,ækebare
মণ্ডল।,mɔndol।
হিন্দু,hind̪u
জাতীয়,ɟat̪iʲo
গ্রেফতার,grepʰt̪ar
আছে।,acʰe।
প্রতি,prot̪i
কাছ,kacʰ
নারায়ণখোলা,naraʲonkʰola
বাকি,baki
মধ্যে,mod̪d̪ʱe
সমাজ।,ʃɔmaɟ।
সংসদ,ʃɔŋʃɔd̪
পুলিশ।,puliʃ।
পানি,pani
ট্রাম্প,tramp
পুকুরে,pukure
ভবনস্থ,bʱɔbonost̪ʰo
জমে।,ɟɔme।
গানগুলো,gangulo
ফিরেছিলেন,pʰirecʰilen
হেনরি,henri
হুশিয়ারির,huʃiʲarir
লিখেছেন,likʰecʰen
নিকোলস।,nikolʃ।
মাত্রা,mat̪ra
প্রধানমন্ত্রীর,prod̪ʱanmont̪rir
অনুরূপ,onurup
আরও,arɔ͡o̯
"আইচ,","a͡i̯c,"
জাহিদ,ɟahid̪
বাড়ানোর,baɽanor
কার্যালয়ে,karɟalɔʲe
সাদা,ʃad̪a
আকবর,akobor
শাওন,ʃa͡o̯n
শপথ,ʃɔpot̪ʰ
কয়েক,kɔʲek
গ্রহণ,grohon
ঘণ্টা,gʱɔnta
রেজাউর,reɟa͡u̯r
পরই,pɔri
রহমান,rɔhɔman
এক,æk
অনুষ্ঠানটি,onuʃtʰanti
রিজভী।,riɟbʱi।
ফোনালাপে,pʰonalape
সঞ্চালনা,ʃɔncalona
জিনপিং,ɟinpiŋ
করেন,kɔren
কথা,kɔt̪ʰa
বলেন।,bɔlen।
সরকার,ʃɔrkar
বিভাগের,bibʱager
সচিব,ʃocib
আবদুল,abd̪ul
মালেক।,malek।
খুঁজতে,kʰũɟt̪e
সম্পত্তি।,ʃɔmpot̪t̪i।
পরও,pɔro
আজ,aɟ
এই,e͡i̯
আন্তরিক।,ant̪orik।
পরে,pɔre
অথচ,ɔt̪ʰɔc
তাকে,t̪ake
সালে,sale
১,1
নিয়ে,niʲe
এছাড়া,ecʰaɽa
খানা,kʰana
আগামী,agami
বুধবার,bud̪ʱbar
শনিবার,ʃonibar
ছয়,cʰɔʲ
টোকেন,token
সকলে,ʃɔkole
উদ্ধারকাজে,ud̪d̪ʱarokaɟe
দিরাই,d̪ira͡i̯
হলিদাকান্দা,holid̪akand̪a
বাবার,babar
সন্ধানের,ʃond̪ʱaner
রোববার,robbar
এলাকাবাসী,elakabaʃi
প্রসঙ্গে,proʃɔŋge
পরবর্তীতে,pɔrobort̪it̪e
বিপদগ্রস্তদের,bipd̪ɔgrost̪od̪er
হাজার,haɟar
দিনে,d̪ine
হামলার,hamlar
দায়িত্ব,d̪aʲit̪t̪o
সীমিত।,ʃimit̪o।
নাম,nam
নাসির,naʃir
৭৭১টি,771ti
ক্রিকেটারদের,kriketard̪er
বিকালে,bikale
ইউএনও,i͡u̯eno
রাতে,rat̪e
সপ্তাহের,ʃɔpt̪aher
দেন,d̪æn
চার,car
"জানান,","ɟanan,"
চেষ্টা,ceʃta
পল্লবী,pollobi
কারণে,karone
বাণিজ্যের,baniɟɟer
একজন,ækɟon
শাহজালালকে,ʃahɟalalke
তিন,t̪in
বকেয়া,bɔkeʲa
আলতাফ,alt̪apʰ
একই,æko͡i̯
সরানোর,ʃɔranor
বিরুদ্ধে,birud̪d̪ʱe
সোলেমান,soleman
চলছে।,colcʰe।
দু’পক্ষের,d̪u’pokkʰer
মেম্বারের,membarer
ম্যাচের,mæcer
রাজধানীর,raɟd̪ʱanir
শিশু,ʃiʃu
থানার,t̪ʰanar
থানা,t̪ʰana
বিনিয়োগকারীদের,biniʲogkarid̪er
জন্য,ɟonno
মোটরসাইকেল,motorsa͡i̯kel
শ্রমিকের,sromiker
জিম্মি,ɟimmi
পুরুষ,puruʃ
পরিশোধ,poriʃod̪ʱ
মায়ের,maʲer
সুখের,ʃukʰer
শাল্লা,ʃalla
নামের,namer
ওসি,osi
আদালতে,ad̪alt̪e
ভাড়া,bʱaɽa
৩,3
বিরোধ,birod̪ʱ
সড়ক,ʃɔɽok
শ্বাসনালী,ʃaʃonali
নামা,nama
ধরে,d̪ʱore
হয়ে,hoʲe
না,na
রেজাউল,reɟa͡u̯l
দাদন,d̪ad̪on
মৃত্যু,mrit̪t̪u
জাদুঘরের,ɟad̪ugʱɔrer
পুড়ে,puɽe
প্রথমার্ধ,prot̪ʰomard̪ʱo
করায়,kɔraʲ
লোকজন,lokɟɔn
ফুলমতি।,pʰulmot̪i।
২৪,24
আগ্রাসন।,agraʃon।
পড়েছে,poɽecʰe
ক্যাম্পের,kæmper
গত,gɔt̪o
মিটলে,mitle
অতিরিক্ত,ot̪irikt̪o
পড়ারই,pɔɽari
ফকির,pʰokir
শ্যামপুর,ʃæmpur
হয়েছে।,hoʲecʰe।
বিরুলিয়া,biruliʲa
ব্যর্থ,bært̪ʰo
দেখে,d̪ekʰe
সামনে,ʃamne
আটকে,atke
দুর্ঘটনার,d̪urgʱɔtonar
অভিযোগপত্র,obʱiɟogpot̪ro
বছর,bɔcʰor
গুরুতর,gurut̪ɔr
কতিপয়,kot̪ipɔʲ
দেয়া,d̪eʲa
সাধারণ,ʃad̪ʱaron
দেয়,d̪eʲ
আটা,ata
নির্দেশ,nird̪eʃ
উলিপুর,ulipur
মনেই,mone͡i̯
রেখে,rekʰe
বড়বাড়িতে,bɔɽbaɽit̪e
নিরপেক্ষ,niropekkʰo
ছবিটি,cʰobiti
আহত,aht̪o
শিকার,ʃikar
(গম),(gɔm)
এলাকায়,elakaʲ
হবে,hɔbe
খেলতে,kʰelt̪e
আয়োজিত,aʲoɟit̪o
উপাত্তকে,upat̪t̪oke
বেশ,beʃ
হয়নি,hɔʲni
যুগান্তরকে,ɟugant̪ɔrke
নদী,nod̪i
বিলিয়ন,biliʲon
বলে,bole
কুমারখোদা,kumarkʰod̪a
সিএনজি,si͡e̯nɟi
জরিপে,ɟoripe
দেশীয়,d̪eʃiʲo
আমরা,amra
হওয়ায়,hoʷaʲ
২৩,23
মাত্র,mat̪ro
কস্তার,kɔst̪ar
সালিশি,saliʃi
অক্টোবর,ɔktobɔr
এতটা,æt̪ota
পারেনি,pareni
শিশুটিকে,ʃiʃutike
জেলা,ɟela
সমাবেশে,ʃɔmabeʃe
পরপরই,pɔrpɔri
আশাবাদ,aʃabad̪
মৌজার,mo͡u̯ɟar
জনকে,ɟɔnke
দুষ্কৃতকারীর,d̪uʃkrit̪okarir
অস্ত্র,ɔst̪ro
মারা,mara
শহরের,ʃɔhorer
দলটি।,d̪olti।
অন্যান্য,ɔnnanno
আদালতের,ad̪alɔt̪er
জোটের,ɟoter
রোমাঞ্চ,romanc
নিন্মমানের,ninmomaner
এতে,et̪e
ব্যক্ত,bekt̪o
পক্ষ,pɔkkʰo
থানায়,t̪ʰanaʲ
প্রদেশটির,prod̪eʃtir
সাহানার,ʃahanar
ভাষায়,bʱaʃaʲ
সহায়তায়,ʃɔhaʲt̪aʲ
ইট,it
প্রেম,prem
সহজে,ʃɔhoɟe
প্রশাসনের,proʃaʃoner
মিল,mil
বছরের,bɔcʰorer
"শ্যামপুর,","ʃæmpur,"
অতর্কিত,ɔt̪ɔrkit̪o
আর্জেন্টিনার,arɟentinar
অল্প,ɔlpo
হাসপাতালে,haʃpat̪ale
শারীরিকভাবে,ʃaririkbʱabe
ব্যাপারে,bæpare
ঢাকায়,dʱakaʲ
অপেক্ষা,ɔpekkʰa
যানবাহন।,ɟanbahon।
দাবি,d̪abi
রনিকে,ronike
৫৪,54
করেছেন,korecʰen
নিরূপণ,nirupon
দ্বারস্থ,d̪arost̪ʰo
"পারেন,","paren,"
টি,ti
হামলা,hamla
মিথ্যা,mit̪t̪ʰa
করছে,korcʰe
জানানো,ɟanano
সম্পন্ন,ʃɔmponno
২০-তে,20-t̪e
৪৫৪।,454।
ভর্তি,bʱɔrt̪i
ডলার,dɔlar
দেখা,d̪ækʰa
মামলায়,mamlaʲ
ধারায়,d̪ʱaraʲ
চীনে,cine
গেছে।,gecʰe।
রিকশাচালক,rikʃacalok
রুপ,rup
মাকে,make
ফ্লাইওভারের,pʰla͡i̯obʱarer
ব্যবহারের,bæboharer
সিকস্তি,ʃikɔst̪i
বোর্ড।,bord।
বিশ্বকাপ,biʃʃokap
নির্যাতন,nirɟat̪on
নির্ধারিত,nird̪ʱarit̪ɔ
ফুলবাড়ীবাসীর,pʰulbaɽibaʃir
ধর্ষক,d̪ʱɔrʃɔk
"মৈস্তাপাড়া,","mo͡i̯ʃt̪apaɽa,"
চালায়।,calaʲ।
মামলা,mamla
ভূমিকার,bʱumikar
ওপর,upor
তাই,t̪a͡i̯
খরচ,kʰɔroc
তোরণ।,t̪oron।
এরপর,erpɔr
করার,kɔrar
মেলায়,melaʲ
আয়োজক,aʲoɟɔk
শুনানি,ʃunani
মদন,mɔdon
বাংলাদেশ,baŋlad̪eʃ
আসামিদের,aʃamid̪er
নেয়,neʲ
পেয়েছি।,peʲecʰi।
পাড়ি,paɽi
ডাকি।,daki।
একপর্যায়ে,ækporɟaʲe
ঝুঁকিপূর্ণ,ɟʱũkipurno
নুরুল,nurul
দায়ের,d̪aʲer
একার,ækar
সিলেটের,sileter
বাড়ছে,baɽcʰe
দলের,d̪ɔler
দ্বিতীয়ার্ধে।,d̪it̪iʲard̪ʱe।
করে।,kore।
আলম,alom
ঘটছে,gʱotcʰe
আগুনে,agune
হাইমচর,ha͡i̯mcɔr
দুর্ঘটনা,d̪urgʱɔtona
বাজার,baɟar
অভিনেত্রী,obʱinet̪ri
ফরিদ,pʰorid̪
বাছাইপর্বের,bacʰa͡i̯pɔrber
সংক্ষিপ্ত,ʃɔŋkkʰipt̪o
যাচ্ছে,ɟaccʰe
বাংলাদেশী,baŋlad̪eʃi
কুমারখোণ্ডা,kumarkʰonda
দাবির,d̪abir
আদেশ,ad̪eʃ
দাবা,d̪aba
কিলঘুষি,kilgʱuʃi
১৫শ’,15ʃɔ’
লড়াইয়ে,lɔɽa͡i̯ʲe
কোটি,koti
এজন্য,eɟonno
ঘটছে।,gʱotcʰe।
বাসায়,baʃaʲ
সীমান্ত,ʃimant̪o
হাসান,hasan
কিন্তু,kint̪u
থমথমে,t̪ʰɔmɔt̪ʰome
উপজেলা,upoɟela
মেরে,mere
নেমে,neme
পরিবার।,poribar।
কামরুল,kamrul
অঞ্চলেই,ɔncole͡i̯
মাহিয়া,mahiʲa
পরীক্ষায়,porikkʰaʲ
দলকে,d̪ɔlke
ঢাকা,dʱaka
টাকার,takar
বিয়ানীবাজারে,biʲanibaɟare
রানা,rana
পরিবার,poribar
এরও,ero
শিক্ষামন্ত্রী,ʃikkʰamɔnt̪ri
"অপরাধ,","ɔporad̪ʱ,"
মোটরসাইকেলে,motorsa͡i̯kele
ধরা,d̪ʱɔra
"পরিষদ,","poriʃɔd̪,"
গণপূর্ত,gɔnopurt̪o
মাহি।,mahi।
মিয়ার,miʲar
সাড়ে,ʃaɽe
অবস্থা,ɔbost̪ʰa
খেলোয়াড়রা,kʰeloʷaɽra
মঙ্গলের,moŋgoler
সামান্য,ʃamanno
এটি,eti
বিরহে।,birɔhe।
ওরফে,oropʰe
পড়ে,pɔɽe
সম্পদ,ʃɔmpɔd̪
দুর্ঘটনায়,d̪urgʱɔtonaʲ
মাদক,mad̪ok
আয়োজনে,aʲoɟone
মহানগর,mɔhangɔr
বাড়ি,baɽi
বসবাস,bɔʃobaʃ
কিশোরী,kiʃori
তিনশ’,t̪inʃ’
বিরাজ,biraɟ
ছাই,cʰa͡i̯
জমানোর,ɟɔmanor
বিভাগে,bibʱage
দ্বিতীয়,d̪it̪iʲo
বিকেলে,bikele
বেতনের,bet̪oner
করছে।,korcʰe।
আকারে,akare
আরাকান।,arakan।
মুসয়াব,muʃɔʲab
সংগঠনের,ʃɔŋgɔtʰoner
হাকিম,hakim
নির্বাহী,nirbahi
ধর্ষণ,d̪ʱɔrʃɔn
পেড়ে,peɽe
নিষিদ্ধ,niʃid̪d̪ʱo
হোম,hom
গেছে,gecʰe
বিষয়ে,biʃɔʲe
রানের,raner
চিঠি,citʰi
পার্থ,part̪ʰo
ফিরছিলেন,pʰircʰilen
স্থান,st̪ʰan
বিমান,biman
মাথাপিছু,mat̪ʰapicʰu
মানুষ,manuʃ
তখন,t̪ɔkʰon
