word,ipa
ঠেকাতে,tʰekat̪e
যুক্তভাবে,ɟukt̪obʱabe
করতে,kort̪e
হবে,hɔbe
মা,ma
আয়েশা,aʲeʃa
বেগম,begom
৫০,50
গৃহিণী,grihini
কোয়ার্টার,koʷartar
ফাইনালের,pʰa͡i̯naler
আরেক,arek
ম্যাচে,mæce
ইডেন,iden
হ্যাজার্ড,hæɟard
ডি,di
ব্র“ইনদের,bro“ind̪er
বেলজিয়ামকে,beloɟiʲamke
হারিয়ে,hariʲe
সেমির,ʃemir
টিকিট,tikit
কাটে,kate
গ্যারেথ,gæret̪ʰ
বেলের,beler
ওয়েলস,oʷelʃ
কক্সবাজার,kɔksbaɟar
,
জেলার,ɟelar
উখিয়ায়,ukʰiʲaʲ
যাত্রীবাহী,ɟat̪ribahi
বাসের,baʃer
ধাক্কায়,d̪ʱakkaʲ
এক,æk
পর্যটক,porɟotɔk
হয়েছেন,hoʲecʰen
সিনহুয়ার,ʃinhuʲar
বরাত,bɔrat̪
খবর,kʰɔbor
দিয়েছে,d̪iʲecʰe
জিনিউজ,ɟini͡u̯ɟ
তার,t̪ar
বাবা,baba
যুক্তফ্রন্টের,ɟukt̪opʰronter
মন্ত্রী,mɔnt̪ri
শ্বশুর,ʃoʃur
বিখ্যাত,bikkʰat̪o
হাবীবুল্লাহ,habibullah
বাহার,bahar
মানববন্ধনে,manobbɔnd̪ʱone
বক্তারা,bokt̪ara
ছাত্রলীগ,cʰat̪rolig
সাংবাদিকদের,ʃaŋbad̪ikɔd̪er
বিরুদ্ধে,birud̪d̪ʱe
মিথ্যা,mit̪t̪ʰa
মামলা,mamla
করেছে,korecʰe
বাউজা,ba͡u̯ɟa
মনে,mone
করেন,kɔren
আর্জেন্টিনা,arɟentina
বার্সেলোনা,barselona
দুপক্ষেরই,d̪upokʰeri
সেরা,ʃera
তারকাকে,t̪arkake
সতর্ক,ʃɔt̪ɔrko
থাকতে,t̪ʰakt̪e
শনিবার,ʃonibar
আওয়ামী,a͡o̯ʷami
লীগের,liger
দফতর,d̪ɔpʰt̪ɔr
পাঠানো,patʰano
প্রেস,pres
বিজ্ঞপ্তিতে,biggopt̪it̪e
তথ্য,t̪ot̪t̪ʰo
জানানো,ɟanano
হয়,hɔʲ
কিন্তু,kint̪u
আসলে,aʃole
ভুলের,bʱuler
আছেন,acʰen
সাধারণ,ʃad̪ʱaron
শিক্ষা,ʃikkʰa
ক্যাডারের,kædarer
ক্ষেত্রে,kʰet̪re
শুধু,ʃud̪ʱu
ক্ষুদ্র,kʰud̪ro
নৃগোষ্ঠীর,nrigoʃtʰir
বয়স,bɔʲoʃ
৩২,32
হওয়া,hoʷa
যাবে,ɟabe
শেষ,ʃeʃ
তিনবার,t̪inbar
চ্যাম্পিয়ন,cæmpiʲon
হয়েছি,hoʲecʰi
বিএসএফের,bi͡e̯sepʰer
পক্ষে,pɔkkʰe
নেতৃত্ব,net̪rit̪t̪o
দেন,d̪æn
১১৩,113
বিএসএফ,bi͡e̯sepʰ
ব্যাটালিয়নের,bætaliʲoner
কমান্ড্যান্ট,kɔmandant
শ্রী,sri
মাহেন্দ্র,mahend̪ro
কুমার,kumar
অকারণে,ɔkarone
৯১১,911
তে,t̪e
ফোন,pʰon
আইনত,a͡i̯nɔt̪o
দণ্ডনীয়,d̪ɔndoniʲo
অপরাধ,ɔporad̪ʱ
অপারেশনের,ɔpareʃoner
নিজস্ব,niɟɔʃʃo
বৈশিষ্ট্য,bo͡i̯ʃiʃto
৫,5
জুলাই,ɟula͡i̯
শুরু,ʃuru
হবে,hɔbe
কার্যক্রম,karɟokrom
পরিবারের,poribarer
লোকজন,lokɟɔn
জানান,ɟanan
আবদুল,abd̪ul
আলীম,alim
বুধবার,bud̪ʱbar
নিখোঁজ,nikʰe͡ã̯ɟ
ছিল,cʰilo
জেরে,ɟere
আ,a
হাকিম,hakim
দলবল,d̪ɔlbol
প্রতিপক্ষ,prot̪ipɔkkʰo
খালেকের,kʰaleker
বাড়িতে,baɽit̪e
হামলা,hamla
চালায়,calaʲ
উৎসবে,ut̪ʃɔbe
প্রধান,prod̪ʱan
সংস্কৃতিমন্ত্রী,ʃɔŋskrit̪imɔnt̪ri
আসাদুজ্জামান,aʃad̪uɟɟaman
নূর,nur
এরপর,erpɔr
মাসে,maʃe
২২,22
ফ্ল্যাটের,pʰlæter
কিস্তি,kist̪i
পরিশোধের,poriʃod̪ʱer
পর,pɔr
অবশিষ্ট,ɔboʃiʃto
থাকত,t̪ʰakt̪o
৪,4
টাকা,taka
সাক্ষাৎকার,ʃakkʰat̪kar
গ্রহণের,grohoner
তোলা,t̪ola
ছবি,cʰobi
সামাজিকমাধ্যমে,ʃamaɟikɔmad̪d̪ʱome
ভাইরাল,bʱa͡i̯ral
হয়ে,hoʲe
পড়লে,pɔɽle
অনেকেই,ɔneke͡i̯
অভাবের,ɔbʱaber
সাংবাদিকের,ʃaŋbad̪iker
পেশাদারিত্বের,peʃad̪arit̪t̪er
সমালোচনা,ʃɔmalocɔna
এরা,era
হলেন-,hɔlen-
এসআই,eʃa͡i̯
মিরাজুল,miraɟul
ইসলাম,islam
কনস্টেবল,kɔnostebl
কাউসার,ka͡u̯ʃar
আহত,aht̪o
শিক্ষার্থীরা,ʃikkʰart̪ʰira
হল-,hɔl-
রিফাত,ripʰat̪
হাওলাদার,ha͡o̯lad̪ar
ইমরান,imran
হোসেন,hosen
শাকিল,ʃakilo
রিজার্ভে,riɟarbʱe
আছে,acʰe
৬৮৬,686
কোটি,koti
২৯,29
গ্রেফতারকৃত,grepʰt̪arkrit̪o
আরিফের,aripʰer
বাড়ি,baɽi
শহরের,ʃɔhorer
বিরিঞ্চি,birinci
এলাকায়,elakaʲ
গত,gɔt̪o
আসর,aʃor
চট্টগ্রামবাসী,cɔttogrambaʃi
প্রতিষ্ঠানের,prot̪iʃtʰaner
অনাস্থা,ɔnast̪ʰa
জ্ঞাপন,gæpon
আগেরদিন,agerd̪in
ওয়েস্ট,oʲest
ব্রমের,bromer
১-১,1-1
গোলে,gole
ড্র,dro
করেছিল,korecʰilo
লেস্টার,lestar
আগের,ager
দিনের,d̪iner
চেয়ে,ceʲe
যা,ɟa
২১,21
বেশি,beʃi
যেটি,ɟeti
ধনীর,d̪ʱɔnir
দুলালদের,d̪ulald̪er
কাছে,kacʰe
কালাইয়া,kala͡i̯ʲa
কালা,kala
ভুনা,bʱuna
বা,ba
দেশাল,d̪eʃal
নামে,name
পরিচিত,poricit̪o
এসব,eʃɔb
পদক্ষেপের,pɔd̪okkʰeper
কারণে,karone
দুদকের,d̪ud̪ɔker
মামলার,mamolar
সংখ্যা,ʃɔŋkʰkʰa
কমে,kome
পারে,pare
অবস্থাতেই,ɔbost̪ʰat̪e͡i̯
গুণগত,gungɔt̪o
মানের,maner
আপস,apos
করব,korbo
মেলায়,melaʲ
ব্যক্তিশ্রেণীর,bekt̪isrenir
করদাতারা,kɔrd̪at̪ara
রিটার্ন,ritarno
জমা,ɟɔma
পারবেন,parben
মঙ্গলবার,moŋgolbar
সকালে,ʃɔkale
যশোরগামী,ɟɔʃorgami
বাসে,baʃe
তুলে,t̪ule
দেয়া,d̪eʲa
আমি,ami
নাকি,naki
কখনোই,kɔkʰono͡i̯
এত,æt̪o
ফুরফুরে,pʰurpʰure
মেজাজে,meɟaɟe
থাকি,t̪ʰaki
পেয়ে,peʲe
এদিন,ed̪in
দুপুরে,d̪upure
সহকারী,ʃɔhokari
কমিশনার,kɔmiʃonar
ভূমি,bʱumi
হাসিব,haʃib
সরকার,ʃɔrkar
একদল,ækd̪ɔl
ঘটনাস্থলে,gʱɔtonast̪ʰɔle
উপস্থিত,upost̪ʰit̪
বিয়ে,biʲe
বন্ধ,bond̪ʱo
দেন,d̪æn
বিবৃতিতে,bibrit̪it̪e
বলা,bɔla
হয়,hɔʲ
দেশী-বিদেশী,d̪eʃi-bid̪eʃi
সিলিন্ডার,silindar
গ্যাস,gæʃ
ব্যবসায়ীদের,bæbʃaʲid̪er
বাজার,baɟar
তৈরি,t̪o͡i̯ri
গ্যাসের,gæʃer
দাম,d̪am
বাড়ানোর,baɽanor
সিদ্ধান্ত,ʃid̪d̪ʱant̪o
নিয়েছে,niʲecʰe
বিকাল,bikal
তিনটায়,t̪inta͡e̯
উপজেলা,upoɟela
যুবলীগের,ɟuboliger
সম্মেলনে,ʃɔmmt̪olone
স্বরাষ্ট্রমন্ত্রী,ʃɔraʃtromɔnt̪ri
অতিথির,ot̪it̪ir
বক্তব্য,bokt̪obbo
দেবেন,d̪eben
বিগত,bigɔt̪o
বছরগুলোর,bɔcʰorgulor
সংশ্লিষ্টরা,ʃɔŋsliʃtora
বলছেন,bolcʰen
সবচেয়ে,ʃɔbceʲe
বেশি,beʃi
সমস্যার,ʃɔmoʃʃar
সম্মুখীন,ʃɔmmukʰin
মফস্বলের,mɔpʰoʃʃoler
শিক্ষার্থীরা,ʃikkʰart̪ʰira
ব্রাহ্মণবাড়িয়ার,brammonbaɽiʲar
সর্বস্তরের,ʃɔrbost̪ɔrer
জনগণ,ɟɔngɔn
কাজিপাড়াস্থ,kaɟipaɽast̪ʰo
জেলা,ɟela
ঈদগাহ,id̪gah
মাঠ,matʰ
মিছিল,micʰilo
বের,ber
সড়ক,ʃɔɽok
প্রদক্ষিণ,prod̪okkʰin
আদালতে,ad̪alt̪e
সাবেক,ʃabek
ভারপ্রাপ্ত,bʱarprapt̪o
সিভিল,sibʱil
সার্জন,ʃarɟon
ডা,da
সালাহউদ্দিন,salahud̪d̪in
শরীফও,ʃoripʰo
ছিলেন,cʰilen
কমপক্ষে,kɔmpokkʰe
৪০-৪৫,40-45
শিক্ষার্থী,ʃikkʰart̪ʰi
সরেজমিন,ʃɔreɟmin
দেখা,d̪ækʰa
যায়,ɟaʲ
ডুবে,dube
থাকা,t̪ʰaka
ধানের,d̪ʱaner
শীষ,ʃiʃ
কাটছেন,katcʰen
চাষীরা,caʃira
নরেন্দ্র,nɔrend̪ro
মোদি,mod̪i
সম্প্রতি,ʃɔmprot̪i
মিয়ানমার,miʲanmar
সফরকালে,ʃɔpʰɔrkale
নিরাপত্তা,nirapɔt̪t̪a
বাহিনী,bahini
অন্যান্য,ɔnnanno
নিরীহ,niriho
হতাহতের,hɔt̪ahɔt̪er
ঘটনায়,gʱɔtonaʲ
উদ্বেগ,ud̪beg
জানিয়েছেন,ɟaniʲecʰen
ফলে,pʰɔle
কাস্টমস,kastɔms
অ্যাক্ট,ækt
অনুযায়ী,onuɟaʲi
পুনঃশুল্কায়নের,punoʃulkaʲoner
মাধ্যমে,mad̪d̪ʱome
অতিরিক্ত,ot̪irikt̪o
রাজস্ব,raɟoʃʃo
আদায়,ad̪aʲ
অনেক,ɔnek
সদস্য,ʃɔd̪oʃʃo
অ্যারেস্ট,ærest
স্প্রিন্টের,sprinter
রাজাকে,raɟake
অলিম্পিক,olimpik
জমে,ɟɔme
নাকি,naki
সবার,ʃɔbar
তৃষিত,t̪riʃit̪o
নয়ন,nɔʲon
জুড়াতে,ɟuɽat̪e
ট্র্যাকে,trake
নামছেন,namcʰen
উসাইন,uʃa͡i̯n
বোল্ট,bolt
বুড়িমারী,buɽimari
স্থলবন্দর,st̪ʰɔlbond̪ɔr
আসা,aʃa
বুড়িমারীগামী,buɽimarigami
অসংখ্য,ɔʃɔŋkʰkʰo
পণ্যবাহী,ponnobahi
আটকা,atka
পড়ে,pɔɽe
নয়,nɔʲ
বিশ্বের,biʃʃer
সব,ʃɔb
বাবাকে,babake
শুভেচ্ছা,ʃubʱeccʰa
সিরাজুল,ʃiraɟul
ইসলামের,islamer
ডান,dan
হাত,hat̪
ভেঙে,bʱeŋe
গেছে,gecʰe
অন্যরা,ɔnnora
রক্তাক্ত,rɔkt̪akt̪o
অন্য,ɔnno
এলাকার,elakar
তুলনায়,t̪ulnaʲ
স্পেনের,spener
অর্থনীতিতে,ɔrt̪ʰonit̪it̪e
অবদান,ɔbod̪an
রাখে,rakʰe
কাতালান,kat̪alan
মুন,mun
গ্র“প,gro“p
তিনটি,t̪inti
নিয়ম,niʲom
মেনেই,mene͡i̯
অগ্রণী,ɔgroni
ব্যাংক,bæŋk
মোট,mot
১৯৫,195
ঋণ,rin
গ্রহণ,grohon
মাধবপুর,mad̪ʱobopur
লাখাই,lakʰa͡i̯
উপজেলায়,upoɟelaʲ
কারও,karo
মনোনয়ন,mononɔʲon
বাতিল,bat̪il
হয়নি,hɔʲni
ভারতের,bʱart̪er
বাইরে,ba͡i̯re
খেলে,kʰele
ঘরের,gʱɔrer
দর্শকদের,d̪ɔrʃokd̪er
হারানো,harano
যাবে,ɟabe
নেভাদায়,nebʱad̪aʲ
১৫,15
ভোটের,bʱoter
ব্যবধানে,bæbod̪ʱane
এগিয়ে,egiʲe
রয়েছে,rɔʲecʰe
ডেমোক্রেটিক,demokretik
দল,d̪ɔl
২০১২,2012
সামান্য,ʃamanno
অগ্রগতি,ɔgrogot̪i
থানায়,t̪ʰanaʲ
নাশকতার,naʃokɔt̪ar
রয়েছে,rɔʲecʰe
বাঁশের,bãʃer
সাকো,ʃako
নদীতে,nod̪it̪e
পড়ে,pɔɽe
স্রোতের,srot̪er
টানে,tane
তলিয়ে,t̪oliʲe
যায়,ɟaʲ
স্কুল,skul
মাঠে,matʰe
অনুষ্ঠান,onuʃtʰan
করার,kɔrar
অনুমতি,onumot̪i
দেয়ার,d̪eʲar
আমাকে,amake
বলেছেন,bolecʰen
তালা,t̪ala
কর্মকর্তা,kɔrmokɔrt̪a
হাসান,hasan
হাফিজুর,hapʰiɟur
রহমান,rɔhɔman
স্বামী,ʃami
আকবর,akobor
আলী,ali
মোড়লের,moɽoler
স্ত্রী,st̪ri
ইরানি,irani
বেগমের,begomer
পারিবারিক,paribarik
কলহ,kɔloh
চলছিল,colcʰilo
বর্তমানে,bɔrt̪omane
দেশে,d̪eʃe
১৩,13
মোবাইল,moba͡i̯l
গ্রাহক,grahok
বৈঠক,bo͡i̯tʰok
সূত্র,ʃut̪ro
জানায়,ɟanaʲ
নির্বাচন,nirbacɔn
কমিশন,kɔmiʃon
পুনর্গঠনে,punɔrgɔtʰone
পক্ষ,pɔkkʰo
রূপরেখা,ruporekʰa
ধরা,d̪ʱɔra
কাচারী,kacari
জিরো,ɟiro
পয়েন্টে,pɔʲente
দুই,d̪u͡i̯
যৌথ,ɟo͡u̯t̪ʰo
সমাবেশে,ʃɔmabeʃe
সভাপতিত্ব,ʃɔbʱapot̪it̪t̪o
করেন,kɔren
সিপিবির,sipibir
কেন্দ্রীয়,kend̪riʲo
উপদেষ্টা,upod̪eʃta
শাহাদত,ʃahad̪ɔt̪o
হোসেন,hosen
যেমন,ɟæmon
ক্রিকেট,kriket
অস্ট্রেলিয়া,ɔstreliʲa
সিএ,ʃi͡e̯
ইনজুরিতেও,inɟurit̪e͡o̯
ক্রিকেটারদের,kriketard̪er
সরিয়ে,ʃoriʲe
নিচ্ছে,niccʰe
ভারত,bʱart̪o
থেকে,t̪ʰeke
এব্যাপারে,ebæpare
জানতে,ɟant̪e
চাইলে,ca͡i̯le
সভাপতি,ʃɔbʱapot̪i
জহিরুল,ɟɔhirul
তানভীর,t̪anbʱir
যুগান্তরকে,ɟugant̪ɔrke
প্রস্তুত,prost̪ut̪
নেতাদের,net̪ad̪er
আমরা,amra
বসছি,boʃcʰi
একপর্যায়,ækporɟaʲ
সন্ত্রাসীরা,ʃɔnt̪raʃira
রামদা,ramd̪a
ভাইকে,bʱa͡i̯ke
পরিচালন,poricalon
ব্যয়ের,bæʲer
ওপর,upor
শতাংশ,ʃɔt̪aŋʃo
ভ্যাট,bʱæt
হতো,hot̪o
যার,ɟar
মনির,monir
ধরে,d̪ʱore
তরুণীকে,t̪orunike
বাবার,babar
ফেলে,pʰele
রাখে,rakʰe
হোক,hok
তা,t̪a
জাতিসংঘের,ɟat̪iʃɔŋgʱer
পরিষদ,poriʃɔd̪
একক,ækok
রাষ্ট্র,raʃtro
পক্ষ,pɔkkʰo
প্রধানমন্ত্রীর,prod̪ʱanmont̪rir
বক্তব্যে,bokt̪obbe
সময়ে,ʃɔmɔʲe
সেনা,ʃena
সমর্থিত,ʃɔmort̪ʰit̪
কর্তৃক,kɔrt̪rik
ব্যবসায়ী,bæbʃaʲi
সরকারি,ʃɔrkari
কর্মচারী,kɔrmocari
এমনকি,æmonki
গণমাধ্যমকর্মীদের,gɔnomad̪d̪ʱomkɔrmid̪er
যে,ɟe
নির্যাতন,nirɟat̪on
হয়রানি,hɔʲrani
চরম,cɔrom
দুর্ভোগে,d̪urbʱoge
পড়েছেন,poɽecʰen
মানুষ,manuʃ
দেশহীন,d̪eʃhin
সঙ্গীতহীন,ʃɔŋgit̪hin
অ্যাথলেটরা,æt̪ʰoletra
গাইবেন,ga͡i̯ben
সঙ্গীত,ʃɔŋgit̪
পারফর্ম,paropʰɔrm
প্রসঙ্গে,proʃɔŋge
রুনা,runa
লায়লা,laʲla
মঞ্চে,mɔnce
গাওয়াটা,ga͡o̯ʷata
ভীষণ,bʱiʃɔn
উপভোগ,upobʱog
করি,kori
পরিচালনা,poricalona
কমিটির,kɔmitir
সভায়,ʃɔbʱaʲ
আলোচনা,alocɔna
জানান,ɟanan
প্রথমপর্বেও,prot̪ʰompɔrbe͡o̯
১১,11
ম্যাচ,mæc
শেষে,ʃeʃe
সাত,ʃat̪
জয়,ɟɔʲ
তিন,t̪in
হারে,hare
২৪,24
পয়েন্ট,pɔʲent
টেবিলের,tebiler
শীর্ষে,ʃirʃe
তারা,t̪ara
গাড়িতে,gaɽit̪e
ফিরে,pʰire
যায়,ɟaʲ
রিভলবার,ribʱlbar
ফেরত,pʰert̪o
আসে,aʃe
পালিয়ে,paliʲe
যাওয়া,ɟa͡o̯ʷa
আসামির,aʃamir
গাজী,gaɟi
প্রতিবেশীরা,prot̪ibeʃira
