num,sentence,ipa
326,তিন শত ছাব্বিশ,
327,তিন শত সাতাশ,
328,তিন শত আঠাশ,
329,তিন শত উনত্রিশ,
330,তিন শত ত্রিশ,
331,তিন শত একত্রিশ,
332,তিন শত বত্রিশ,
333,তিন শত তেত্রিশ,
334,তিন শত চৌত্রিশ,
335,তিন শত পঁয়ত্রিশ,
336,তিন শত ছত্রিশ,
337,তিন শত সাঁইত্রিশ,
338,তিন শত আটত্রিশ,
339,তিন শত উনচল্লিশ,
340,তিন শত চল্লিশ,
341,তিন শত একচল্লিশ,
342,তিন শত বিয়াল্লিশ,
343,তিন শত তেতাল্লিশ,
344,তিন শত চুয়াল্লিশ,
345,তিন শত পঁয়তাল্লিশ,
346,তিন শত ছেচল্লিশ,
347,তিন শত সাতচল্লিশ,
348,তিন শত আটচল্লিশ,
349,তিন শত উনপঞ্চাশ,
350,তিন শত পঞ্চাশ,
351,তিন শত একান্ন,
352,তিন শত বায়ান্ন,
353,তিন শত তিপ্পান্ন,
354,তিন শত চুয়ান্ন,
355,তিন শত পঞ্চান্ন,
356,তিন শত ছাপ্পান্ন,
357,তিন শত সাতান্ন,
358,তিন শত আটান্ন,
359,তিন শত উনষাট,
360,তিন শত ষাট,
361,তিন শত একষট্টি,
362,তিন শত বাষট্টি,
363,তিন শত তেষট্টি,
364,তিন শত চৌষট্টি,
365,তিন শত পঁয়ষট্টি,
366,তিন শত ছেষট্টি,
367,তিন শত সাতষট্টি,
368,তিন শত আটষট্টি,
369,তিন শত উনসত্তর,
370,তিন শত সত্তর,
371,তিন শত একাত্তর,
372,তিন শত বাহাত্তর,
373,তিন শত তিয়াত্তর,
374,তিন শত চুয়াত্তর,
375,তিন শত পঁচাত্তর,
376,তিন শত ছিয়াত্তর,
377,তিন শত সাতাত্তর,
378,তিন শত আটাত্তর,
379,তিন শত উনআশি,
380,তিন শত আশি,
381,তিন শত একাশি,
382,তিন শত বিরাশি,
383,তিন শত তিরাশি,
384,তিন শত চুরাশি,
385,তিন শত পঁচাশি,
386,তিন শত ছিয়াশি,
387,তিন শত সাতাশি,
388,তিন শত আটাশি,
389,তিন শত উননব্বই,
390,তিন শত নব্বই,
391,তিন শত একানব্বই,
392,তিন শত বিরানব্বই,
393,তিন শত তিরানব্বই,
394,তিন শত চুরানব্বই,
395,তিন শত পঁচানব্বই,
396,তিন শত ছিয়ানব্বই,
397,তিন শত সাতানব্বই,
398,তিন শত আটানব্বই,
399,তিন শত নিরানব্বই,
400,চারশ,
401,চার শত এক,
402,চার শত দুই,
403,চার শত তিন,
404,চার শত চার,
405,চার শত পাঁচ,
406,চার শত ছয়,
407,চার শত সাত,
408,চার শত আট,
409,চার শত নয়,
410,চার শত দশ,
411,চার শত এগারো,
412,চার শত বারো,
413,চার শত তেরো,
414,চার শত চৌদ্দ,
415,চার শত পনেরো,
416,চার শত ষোলো,
417,চার শত সতেরো,
418,চার শত আঠারো,
419,চার শত উনিশ,
420,চার শত বিশ,
421,চার শত একুশ,
422,চার শত বাইশ,
423,চার শত তেইশ,
424,চার শত চব্বিশ,
425,চার শত পঁচিশ,
426,চার শত ছাব্বিশ,
427,চার শত সাতাশ,
428,চার শত আঠাশ,
429,চার শত উনত্রিশ,
430,চার শত ত্রিশ,
431,চার শত একত্রিশ,
432,চার শত বত্রিশ,
433,চার শত তেত্রিশ,
434,চার শত চৌত্রিশ,
435,চার শত পঁয়ত্রিশ,
436,চার শত ছত্রিশ,
437,চার শত সাঁইত্রিশ,
438,চার শত আটত্রিশ,
439,চার শত উনচল্লিশ,
440,চার শত চল্লিশ,
441,চার শত একচল্লিশ,
442,চার শত বিয়াল্লিশ,
443,চার শত তেতাল্লিশ,
444,চার শত চুয়াল্লিশ,
445,চার শত পঁয়তাল্লিশ,
446,চার শত ছেচল্লিশ,
447,চার শত সাতচল্লিশ,
448,চার শত আটচল্লিশ,
449,চার শত উনপঞ্চাশ,
450,চার শত পঞ্চাশ,
451,চার শত একান্ন,
452,চার শত বায়ান্ন,
453,চার শত তিপ্পান্ন,
454,চার শত চুয়ান্ন,
455,চার শত পঞ্চান্ন,
456,চার শত ছাপ্পান্ন,
457,চার শত সাতান্ন,
458,চার শত আটান্ন,
459,চার শত উনষাট,
460,চার শত ষাট,
461,চার শত একষট্টি,
462,চার শত বাষট্টি,
463,চার শত তেষট্টি,
464,চার শত চৌষট্টি,
465,চার শত পঁয়ষট্টি,
466,চার শত ছেষট্টি,
467,চার শত সাতষট্টি,
468,চার শত আটষট্টি,
469,চার শত উনসত্তর,
470,চার শত সত্তর,
471,চার শত একাত্তর,
472,চার শত বাহাত্তর,
473,চার শত তিয়াত্তর,
474,চার শত চুয়াত্তর,
475,চার শত পঁচাত্তর,
476,চার শত ছিয়াত্তর,
477,চার শত সাতাত্তর,
478,চার শত আটাত্তর,
479,চার শত উনআশি,
480,চার শত আশি,
481,চার শত একাশি,
482,চার শত বিরাশি,
483,চার শত তিরাশি,
484,চার শত চুরাশি,
485,চার শত পঁচাশি,
486,চার শত ছিয়াশি,
487,চার শত সাতাশি,
488,চার শত আটাশি,
489,চার শত উননব্বই,
490,চার শত নব্বই,
491,চার শত একানব্বই,
492,চার শত বিরানব্বই,
493,চার শত তিরানব্বই,
494,চার শত চুরানব্বই,
495,চার শত পঁচানব্বই,
496,চার শত ছিয়ানব্বই,
497,চার শত সাতানব্বই,
498,চার শত আটানব্বই,
499,চার শত নিরানব্বই,
500,পাঁচশ,
501,পাঁচ শত এক,
502,পাঁচ শত দুই,
503,পাঁচ শত তিন,
504,পাঁচ শত চার,
505,পাঁচ শত পাঁচ,
506,পাঁচ শত ছয়,
507,পাঁচ শত সাত,
508,পাঁচ শত আট,
509,পাঁচ শত নয়,
510,পাঁচ শত দশ,
511,পাঁচ শত এগারো,
512,পাঁচ শত বারো,
513,পাঁচ শত তেরো,
514,পাঁচ শত চৌদ্দ,
515,পাঁচ শত পনেরো,
516,পাঁচ শত ষোলো,
517,পাঁচ শত সতেরো,
518,পাঁচ শত আঠারো,
519,পাঁচ শত উনিশ,
520,পাঁচ শত বিশ,
521,পাঁচ শত একুশ,
522,পাঁচ শত বাইশ,
523,পাঁচ শত তেইশ,
524,পাঁচ শত চব্বিশ,
525,পাঁচ শত পঁচিশ,
526,পাঁচ শত ছাব্বিশ,
527,পাঁচ শত সাতাশ,
528,পাঁচ শত আঠাশ,
529,পাঁচ শত উনত্রিশ,
530,পাঁচ শত ত্রিশ,
531,পাঁচ শত একত্রিশ,
532,পাঁচ শত বত্রিশ,
533,পাঁচ শত তেত্রিশ,
534,পাঁচ শত চৌত্রিশ,
535,পাঁচ শত পঁয়ত্রিশ,
536,পাঁচ শত ছত্রিশ,
537,পাঁচ শত সাঁইত্রিশ,
538,পাঁচ শত আটত্রিশ,
539,পাঁচ শত উনচল্লিশ,
540,পাঁচ শত চল্লিশ,
541,পাঁচ শত একচল্লিশ,
542,পাঁচ শত বিয়াল্লিশ,
543,পাঁচ শত তেতাল্লিশ,
544,পাঁচ শত চুয়াল্লিশ,
545,পাঁচ শত পঁয়তাল্লিশ,
546,পাঁচ শত ছেচল্লিশ,
547,পাঁচ শত সাতচল্লিশ,
548,পাঁচ শত আটচল্লিশ,
549,পাঁচ শত উনপঞ্চাশ,
550,পাঁচ শত পঞ্চাশ,
551,পাঁচ শত একান্ন,
552,পাঁচ শত বায়ান্ন,
553,পাঁচ শত তিপ্পান্ন,
554,পাঁচ শত চুয়ান্ন,
555,পাঁচ শত পঞ্চান্ন,
556,পাঁচ শত ছাপ্পান্ন,
557,পাঁচ শত সাতান্ন,
558,পাঁচ শত আটান্ন,
559,পাঁচ শত উনষাট,
560,পাঁচ শত ষাট,
561,পাঁচ শত একষট্টি,
562,পাঁচ শত বাষট্টি,
563,পাঁচ শত তেষট্টি,
564,পাঁচ শত চৌষট্টি,
565,পাঁচ শত পঁয়ষট্টি,
566,পাঁচ শত ছেষট্টি,
567,পাঁচ শত সাতষট্টি,
568,পাঁচ শত আটষট্টি,
569,পাঁচ শত উনসত্তর,
570,পাঁচ শত সত্তর,
571,পাঁচ শত একাত্তর,
572,পাঁচ শত বাহাত্তর,
573,পাঁচ শত তিয়াত্তর,
574,পাঁচ শত চুয়াত্তর,
575,পাঁচ শত পঁচাত্তর,
576,পাঁচ শত ছিয়াত্তর,
577,পাঁচ শত সাতাত্তর,
578,পাঁচ শত আটাত্তর,
579,পাঁচ শত উনআশি,
580,পাঁচ শত আশি,
581,পাঁচ শত একাশি,
582,পাঁচ শত বিরাশি,
583,পাঁচ শত তিরাশি,
584,পাঁচ শত চুরাশি,
585,পাঁচ শত পঁচাশি,
586,পাঁচ শত ছিয়াশি,
587,পাঁচ শত সাতাশি,
588,পাঁচ শত আটাশি,
589,পাঁচ শত উননব্বই,
590,পাঁচ শত নব্বই,
591,পাঁচ শত একানব্বই,
592,পাঁচ শত বিরানব্বই,
593,পাঁচ শত তিরানব্বই,
594,পাঁচ শত চুরানব্বই,
595,পাঁচ শত পঁচানব্বই,
596,পাঁচ শত ছিয়ানব্বই,
597,পাঁচ শত সাতানব্বই,
598,পাঁচ শত আটানব্বই,
599,পাঁচ শত নিরানব্বই,
600,ছয়শ,
601,ছয় শত এক,
602,ছয় শত দুই,
603,ছয় শত তিন,
604,ছয় শত চার,
605,ছয় শত পাঁচ,
606,ছয় শত ছয়,
607,ছয় শত সাত,
608,ছয় শত আট,
609,ছয় শত নয়,
610,ছয় শত দশ,
611,ছয় শত এগারো,
612,ছয় শত বারো,
613,ছয় শত তেরো,
614,ছয় শত চৌদ্দ,
615,ছয় শত পনেরো,
616,ছয় শত ষোলো,
617,ছয় শত সতেরো,
618,ছয় শত আঠারো,
619,ছয় শত উনিশ,
620,ছয় শত বিশ,
621,ছয় শত একুশ,
622,ছয় শত বাইশ,
623,ছয় শত তেইশ,
624,ছয় শত চব্বিশ,
625,ছয় শত পঁচিশ,
626,ছয় শত ছাব্বিশ,
627,ছয় শত সাতাশ,
628,ছয় শত আঠাশ,
629,ছয় শত উনত্রিশ,
630,ছয় শত ত্রিশ,
631,ছয় শত একত্রিশ,
632,ছয় শত বত্রিশ,
633,ছয় শত তেত্রিশ,
634,ছয় শত চৌত্রিশ,
635,ছয় শত পঁয়ত্রিশ,
636,ছয় শত ছত্রিশ,
637,ছয় শত সাঁইত্রিশ,
638,ছয় শত আটত্রিশ,
639,ছয় শত উনচল্লিশ,
640,ছয় শত চল্লিশ,
641,ছয় শত একচল্লিশ,
642,ছয় শত বিয়াল্লিশ,
643,ছয় শত তেতাল্লিশ,
644,ছয় শত চুয়াল্লিশ,
645,ছয় শত পঁয়তাল্লিশ,
646,ছয় শত ছেচল্লিশ,
647,ছয় শত সাতচল্লিশ,
648,ছয় শত আটচল্লিশ,
649,ছয় শত উনপঞ্চাশ,
650,ছয় শত পঞ্চাশ,
651,ছয় শত একান্ন,
652,ছয় শত বায়ান্ন,
653,ছয় শত তিপ্পান্ন,
654,ছয় শত চুয়ান্ন,
655,ছয় শত পঞ্চান্ন,
656,ছয় শত ছাপ্পান্ন,
657,ছয় শত সাতান্ন,
658,ছয় শত আটান্ন,
659,ছয় শত উনষাট,
660,ছয় শত ষাট,
661,ছয় শত একষট্টি,
662,ছয় শত বাষট্টি,
663,ছয় শত তেষট্টি,
664,ছয় শত চৌষট্টি,
665,ছয় শত পঁয়ষট্টি,
666,ছয় শত ছেষট্টি,
667,ছয় শত সাতষট্টি,
668,ছয় শত আটষট্টি,
669,ছয় শত উনসত্তর,
670,ছয় শত সত্তর,
671,ছয় শত একাত্তর,
672,ছয় শত বাহাত্তর,
673,ছয় শত তিয়াত্তর,
674,ছয় শত চুয়াত্তর,
675,ছয় শত পঁচাত্তর,
676,ছয় শত ছিয়াত্তর,
677,ছয় শত সাতাত্তর,
678,ছয় শত আটাত্তর,
679,ছয় শত উনআশি,
680,ছয় শত আশি,
681,ছয় শত একাশি,
682,ছয় শত বিরাশি,
683,ছয় শত তিরাশি,
684,ছয় শত চুরাশি,
685,ছয় শত পঁচাশি,
686,ছয় শত ছিয়াশি,
687,ছয় শত সাতাশি,
688,ছয় শত আটাশি,
689,ছয় শত উননব্বই,
690,ছয় শত নব্বই,
691,ছয় শত একানব্বই,
692,ছয় শত বিরানব্বই,
693,ছয় শত তিরানব্বই,
694,ছয় শত চুরানব্বই,
695,ছয় শত পঁচানব্বই,
696,ছয় শত ছিয়ানব্বই,
697,ছয় শত সাতানব্বই,
698,ছয় শত আটানব্বই,
699,ছয় শত নিরানব্বই,
700,সাতশ,
701,সাত শত এক,
702,সাত শত দুই,
703,সাত শত তিন,
704,সাত শত চার,
705,সাত শত পাঁচ,
706,সাত শত ছয়,
707,সাত শত সাত,
708,সাত শত আট,
709,সাত শত নয়,
710,সাত শত দশ,
711,সাত শত এগারো,
712,সাত শত বারো,
713,সাত শত তেরো,
714,সাত শত চৌদ্দ,
715,সাত শত পনেরো,
716,সাত শত ষোলো,
717,সাত শত সতেরো,
718,সাত শত আঠারো,
719,সাত শত উনিশ,
720,সাত শত বিশ,
721,সাত শত একুশ,
722,সাত শত বাইশ,
723,সাত শত তেইশ,
724,সাত শত চব্বিশ,
725,সাত শত পঁচিশ,
726,সাত শত ছাব্বিশ,
727,সাত শত সাতাশ,
728,সাত শত আঠাশ,
729,সাত শত উনত্রিশ,
730,সাত শত ত্রিশ,
731,সাত শত একত্রিশ,
732,সাত শত বত্রিশ,
733,সাত শত তেত্রিশ,
734,সাত শত চৌত্রিশ,
735,সাত শত পঁয়ত্রিশ,
736,সাত শত ছত্রিশ,
737,সাত শত সাঁইত্রিশ,
738,সাত শত আটত্রিশ,
739,সাত শত উনচল্লিশ,
740,সাত শত চল্লিশ,
741,সাত শত একচল্লিশ,
742,সাত শত বিয়াল্লিশ,
743,সাত শত তেতাল্লিশ,
744,সাত শত চুয়াল্লিশ,
745,সাত শত পঁয়তাল্লিশ,
746,সাত শত ছেচল্লিশ,
747,সাত শত সাতচল্লিশ,
748,সাত শত আটচল্লিশ,
749,সাত শত উনপঞ্চাশ,
750,সাত শত পঞ্চাশ,
751,সাত শত একান্ন,
752,সাত শত বায়ান্ন,
753,সাত শত তিপ্পান্ন,
754,সাত শত চুয়ান্ন,
755,সাত শত পঞ্চান্ন,
756,সাত শত ছাপ্পান্ন,
757,সাত শত সাতান্ন,
758,সাত শত আটান্ন,
759,সাত শত উনষাট,
760,সাত শত ষাট,
761,সাত শত একষট্টি,
762,সাত শত বাষট্টি,
763,সাত শত তেষট্টি,
764,সাত শত চৌষট্টি,
765,সাত শত পঁয়ষট্টি,
766,সাত শত ছেষট্টি,
767,সাত শত সাতষট্টি,
768,সাত শত আটষট্টি,
769,সাত শত উনসত্তর,
770,সাত শত সত্তর,
771,সাত শত একাত্তর,
772,সাত শত বাহাত্তর,
773,সাত শত তিয়াত্তর,
774,সাত শত চুয়াত্তর,
775,সাত শত পঁচাত্তর,
776,সাত শত ছিয়াত্তর,
777,সাত শত সাতাত্তর,
778,সাত শত আটাত্তর,
779,সাত শত উনআশি,
780,সাত শত আশি,
781,সাত শত একাশি,
782,সাত শত বিরাশি,
783,সাত শত তিরাশি,
784,সাত শত চুরাশি,
785,সাত শত পঁচাশি,
786,সাত শত ছিয়াশি,
787,সাত শত সাতাশি,
788,সাত শত আটাশি,
789,সাত শত উননব্বই,
790,সাত শত নব্বই,
791,সাত শত একানব্বই,
792,সাত শত বিরানব্বই,
793,সাত শত তিরানব্বই,
794,সাত শত চুরানব্বই,
795,সাত শত পঁচানব্বই,
796,সাত শত ছিয়ানব্বই,
797,সাত শত সাতানব্বই,
798,সাত শত আটানব্বই,
799,সাত শত নিরানব্বই,
800,আটশ,
801,আট শত এক,
802,আট শত দুই,
803,আট শত তিন,
804,আট শত চার,
805,আট শত পাঁচ,
806,আট শত ছয়,
807,আট শত সাত,
808,আট শত আট,
809,আট শত নয়,
810,আট শত দশ,
811,আট শত এগারো,
812,আট শত বারো,
813,আট শত তেরো,
814,আট শত চৌদ্দ,
815,আট শত পনেরো,
816,আট শত ষোলো,
817,আট শত সতেরো,
818,আট শত আঠারো,
819,আট শত উনিশ,
820,আট শত বিশ,
821,আট শত একুশ,
822,আট শত বাইশ,
823,আট শত তেইশ,
824,আট শত চব্বিশ,
825,আট শত পঁচিশ,
826,আট শত ছাব্বিশ,
827,আট শত সাতাশ,
828,আট শত আঠাশ,
829,আট শত উনত্রিশ,
830,আট শত ত্রিশ,
831,আট শত একত্রিশ,
832,আট শত বত্রিশ,
833,আট শত তেত্রিশ,
834,আট শত চৌত্রিশ,
835,আট শত পঁয়ত্রিশ,
836,আট শত ছত্রিশ,
837,আট শত সাঁইত্রিশ,
838,আট শত আটত্রিশ,
839,আট শত উনচল্লিশ,
840,আট শত চল্লিশ,
841,আট শত একচল্লিশ,
842,আট শত বিয়াল্লিশ,
843,আট শত তেতাল্লিশ,
844,আট শত চুয়াল্লিশ,
845,আট শত পঁয়তাল্লিশ,
846,আট শত ছেচল্লিশ,
847,আট শত সাতচল্লিশ,
848,আট শত আটচল্লিশ,
849,আট শত উনপঞ্চাশ,
850,আট শত পঞ্চাশ,
851,আট শত একান্ন,
852,আট শত বায়ান্ন,
853,আট শত তিপ্পান্ন,
854,আট শত চুয়ান্ন,
855,আট শত পঞ্চান্ন,
856,আট শত ছাপ্পান্ন,
857,আট শত সাতান্ন,
858,আট শত আটান্ন,
859,আট শত উনষাট,
860,আট শত ষাট,
861,আট শত একষট্টি,
862,আট শত বাষট্টি,
863,আট শত তেষট্টি,
864,আট শত চৌষট্টি,
865,আট শত পঁয়ষট্টি,
866,আট শত ছেষট্টি,
867,আট শত সাতষট্টি,
868,আট শত আটষট্টি,
869,আট শত উনসত্তর,
870,আট শত সত্তর,
871,আট শত একাত্তর,
872,আট শত বাহাত্তর,
873,আট শত তিয়াত্তর,
874,আট শত চুয়াত্তর,
875,আট শত পঁচাত্তর,
876,আট শত ছিয়াত্তর,
877,আট শত সাতাত্তর,
878,আট শত আটাত্তর,
879,আট শত উনআশি,
880,আট শত আশি,
881,আট শত একাশি,
882,আট শত বিরাশি,
883,আট শত তিরাশি,
884,আট শত চুরাশি,
885,আট শত পঁচাশি,
886,আট শত ছিয়াশি,
887,আট শত সাতাশি,
888,আট শত আটাশি,
889,আট শত উননব্বই,
890,আট শত নব্বই,
891,আট শত একানব্বই,
892,আট শত বিরানব্বই,
893,আট শত তিরানব্বই,
894,আট শত চুরানব্বই,
895,আট শত পঁচানব্বই,
896,আট শত ছিয়ানব্বই,
897,আট শত সাতানব্বই,
898,আট শত আটানব্বই,
899,আট শত নিরানব্বই,
900,নয়শ,
901,নয় শত এক,
902,নয় শত দুই,
903,নয় শত তিন,
904,নয় শত চার,
905,নয় শত পাঁচ,
906,নয় শত ছয়,
907,নয় শত সাত,
