words,ipa
ফরে,pʰɔre
ফরার,pʰɔrar
শিটের,ʃiter
স্যারে,sære
যে,ɟe
প্রাইভেট,pra͡i̯bʱet
নিয়ম,niʲom
কুয়েশ্চন,kuʲeʃcon
আইবু,a͡i̯bu
অ্যাঁ,æ̃
ধরো,d̪ʱɔro
তোঁয়ারে,t̪õʷare
দিয়্যে,d̪ikt̪e
প্রশ্ন,prosno
বারো,baro
এডের,eder
ফাচচো,pʰacco
বা,ba
ছউয়া,cʰɔ͡u̯ʲa
যেইগিন,ɟe͡i̯gin
আয়,aʲ
আগেদি,aged̪i
খতিকগিন,kʰot̪ikgin
আবার,abar
ইয়্যেনের,iʲd̪ʱener
ই,i
ফাই,pʰa͡i̯
আঁর,ãr
নিজের,niɟer
যাইয়ানে,ɟa͡i̯ʲane
অথবা,ɔt̪ʰoba
স্যারেরতুন,særert̪un
চোইদ্দবার,co͡i̯d̪d̪obar
তঁয়,t̪ɔ̃ʲ
দিয়্যুনা,d̪ikuna
ইয়াত,iʲat̪
আছেনা,acʰena
এর,er
আগে,age
ফাইতাম,pʰa͡i̯t̪am
বড়,bɔɽo
সাইর,sa͡i̯r
কোর্স,kors
তিননোত,t̪innot̪o
হাইয়েস্ট,ha͡i̯ʲest
মাশাল্লাহ,maʃallah
নিজে,niɟe
খুঁজি,kʰũɟi
জিনিস,ɟiniʃ
লিখি,likʰi
কারন,karon
ফরেদি,pʰɔred̪i
ফাইয়্যুম,pʰa͡i̯ʲd̪ʱum
কেওর,ke͡o̯r
মাথাত,mat̪ʰat̪
সেট,ʃet
বাংকও,baŋko
দিত,d̪it̪o
ফারির,pʰarir
বাসা,baʃa
মাস্টারপুল,mastarpul
বৌ,bo͡u̯
বাজার,baɟar
খুলশি,kʰulʃi
থুন,t̪ʰun
এন,en
জি,ɟi
করি,kori
গেইলি,ge͡i̯li
লায়দে,laʲd̪e
একশো,ækʃo
আশি,aʃi
দুইশো,d̪u͡i̯ʃo
টেঁয়া,tẽʲa
এতদূর,æt̪od̪ur
জার্নি,ɟarni
সকাল,ʃɔkal
নয়টা,nɔʲta
বাজে,baɟe
নয়টার,nɔʲtar
উডন,udon
ছয়টা,cʰɔʲta
সাড়ে,ʃaɽe
সাতটা,ʃat̪ta
বাসার,baʃar
বাইর,ba͡i̯r
অইতে,ɔ͡i̯t̪e
উডে,ude
অরদে,ɔrd̪e
আটটা,atta
ঘন্টা,gʱɔnta
এইগিনের,e͡i̯giner
গইরতে,girt̪e
যারগুই,ɟargu͡i̯
বাস,bas
গাড়ি,gaɽi
ভার্সিটি,bʱarsiti
ক্যামপাস,kæmpaʃ
গেইট,ge͡i̯t
যিয়ান,ɟiʲan
টেম্পোরারি,temporari
হই,ho͡i̯
দিয়ে,d̪iʲe
আগততুন,agt̪ot̪un
হারন,haron
ইয়ানতো,iʲant̪o
টুনটুনি,tuntuni
চড়ুই,coɽu͡i̯
পাখির,pakʰir
মতো,mɔt̪o
মেইন,me͡i̯n
অইয়েদে,ɔ͡i̯ʲed̪e
কল্পলোক,kɔlpolok
আবাসিকত,abaʃikɔt̪
খডে,kʰɔde
আবাসিক,abaʃik
অত,ɔt̪o
ইবা,iba
ওই,o͡i̯
ইন্দি,ind̪i
কর্ণফুলী,kɔrnopʰuli
ব্রিজ-ট্রিজের,briɟɔ-triɟer
আশেপাশে,aʃepaʃe
আইচ্ছা,a͡i̯ccʰa
সাইডে,sa͡i̯de
সাইডের,sa͡i̯der
যদিও,ɟod̪i͡o̯
ইয়্যানত,iʲɟanɔt̪o
পার্মানেন্ট,parmanent
কান,kan
গরের,gɔrer
স্যার-ম্যামে,særo-mæme
ওইদিন,o͡i̯d̪in
খরদে,kʰɔrd̪e
ওইযে,o͡i̯ɟe
সরকারের,ʃɔrkarer
অনুমোদন,onumod̪on
রাস্তা,rast̪a
গেইয়্যে,ge͡i̯ʲt̪e
রোড,rod
ব্রিজ,briɟ
ফ্যারা,pʰæra
এহতেরলাই,ehot̪erla͡i̯
এতদিন,æt̪od̪in
স্থগিত,st̪ʰogit̪o
রাইকখি,ra͡i̯kkʰi
গরিবারলাই,goribarla͡i̯
ক্যাম্পাস,kæmpaʃ
আসল,aʃol
নয়,nɔʲ
আবাসিকর,abaʃikɔr
যেততে,ɟet̪t̪e
পরিপূর্ণভাবে,poripurnobʱabe
যাইবো,ɟa͡i̯bo
তারফর,t̪arpʰɔr
আরারে,arare
ট্রান্সফার,transpʰar
হবে,hɔbe
সালত,salɔt̪
ইয়ানততু,iʲant̪ot̪u
উনির,unir
পাঁচ,pãc
বছর,bɔcʰor
ধরি,d̪ʱori
হঅর,hɔ͡ɔ̯r
আরা,ara
প্রেডিক্ট,predikt
ফেলাইয়িদে,pʰela͡i̯ʲid̪e
বইর,bo͡i̯r
যাইলইও,ɟa͡i̯li͡o̯
অয়তো,ɔʲt̪o
জিন্দেগিত,ɟind̪egit̪o
ন-দেইকখম,n-d̪e͡i̯kkʰɔm
এইনলা,e͡i̯nla
লার,lar
ভার্সিটিতও,bʱarsitit̪o
একই,æko͡i̯
কাহিনী,kahini
হুইনতাম,hu͡i̯not̪am
শুরু,ʃuru
আইবার,a͡i̯bar
যাইবুগই,ɟa͡i̯bugi
করোনা,kɔrona
মরোনা,mɔrona
আই,a͡i̯
খডের,kʰɔder
ওমা,oma
খুলিবার,kʰulibar
খতাবার্তা,kʰɔt̪abart̪a
হয়,hɔʲ
বেয়াকগুনের,beʲakguner
মার্সিটি,marsiti
সরাই,ʃɔra͡i̯
খইরদে,kʰo͡i̯͡i̯d̪e
এইবার,e͡i̯bar
তোরা,t̪ora
আশুলিয়া,aʃuliʲa
অইলো,ɔ͡i̯lo
লয়,lɔʲ
মজা,mɔɟa
লইলো,lo͡i̯lo
হুম,hum
তাও,t̪a͡o̯
কিরে,kire
মাবুদই,mabud̪i
তোঁয়ারারে,t̪õʷarare
কই,ko͡i̯
শুভকামনা,ʃubʱkamona
বেশি,beʃi
হইবার,ho͡i̯bar
ছোড়ো,cʰoɽo
একদম,ækd̪ɔm
অইলদে,ɔ͡i̯ld̪e
এককান,ækkan
বিল্ডিং,bildiŋ
অর,ɔr
মতন,mɔt̪on
নিচে,nice
যেনডিললা,ɟendilɔla
হালকা,halka
স্পেইস,spe͡i̯s
তাহে,t̪ahe
এইললা,e͡i̯lla
এরে,ere
গার্ডেন,garden
হতা,hɔt̪a
কমার্শিয়াল,kɔmarʃiʲal
সাইট,sa͡i̯t
সামনেও,ʃamne͡o̯
তুয়ারার,t̪uʲarar
উঠান,utʰan
মাঠ,matʰ
এনডিললা,endilɔla
হালি,hali
আছে।ইতারা,acʰe।it̪ara
বানার,banar
লাগেরদে,lagerd̪e
তুই,t̪u͡i̯
বানা,bana
যিবা,ɟiba
মানসম্মত,manoʃɔmmɔt̪ɔ
রাহিবি,rahibi
কমপক্ষে,kɔmpokkʰe
এক্কানা,ækkana
মান,man
থাহিবু,t̪ʰahibu
গইরলে,girle
রাইখতু,ra͡i̯kʰot̪u
দিন,d̪in
টিন,tin
খাই,kʰa͡i̯
খইতে,kʰit̪e
খতায়ই,kʰɔt̪aʲi
ফাঁচ-ছয়-সাত,pʰãc-cʰɔʲ-ʃat̪
সও,ʃɔ͡o̯
কিসমত,kiʃɔmɔt̪
ভালো,bʱalo
ফাইলেও,pʰa͡i̯le͡o̯
ফাইততারো,pʰa͡i̯t̪ɔt̪aro
আরি,ari
কল্পলোকের,kɔlpole͡a̯ker
নাইলে,na͡i̯le
থাইলে,t̪ʰa͡i̯le
দেখা,d̪ækʰa
যাক,ɟak
হিহিহি,hihihi
মাত্র,mat̪ro
আস্তে,ast̪e
এক,æk
সেমিস্টারও,ʃemistaro
ফার্স্ট,pʰarst
ইয়্যত,ibkot̪o
জুন,ɟun
মাস,maʃ
ষোলো,ʃolo
তারিখের,t̪arikʰer
ফরিক্কা,pʰorikka
মাসের,maʃer
শেষের,ʃeʃer
দিকে,d̪ike
অইবু,ɔ͡i̯bu
বন্ধুবান্ধব,bond̪ʱuband̪ʱob
সাইয়্যু,ʃa͡i̯kd̪ʱu
সাবধানে,ʃabd̪ʱane
থাইক্কু,t̪ʰa͡i̯kku
বাচি,baci
কপালে,kɔpale
দুঃখ,d̪ukkʰo
আংকেল,aŋkel
আন্টিরে,antire
সালাম-টালাম,salam-talam
দিয়্যু,d̪ikt̪u
ডর,dɔr
জানোনা,ɟanona
ওয়া,oʷa
অয়দে,ɔʲd̪e
ইয়্যুনের,iʲd̪ʱuner
থাকতে,t̪ʰakt̪e
দুনিয়া,d̪uniʲa
সব,ʃɔb
মা,ma
উইতের,u͡i̯t̪er
ইংলিশ,iŋliʃ
হুনোনের,hunoner
খওনের,kʰɔ͡o̯ner
দুইতিন,d̪u͡i̯t̪in
বার,bar
চিন্তা,cint̪a
ভুল,bʱul
কইর,ko͡i̯r
শুদ্ধ,ʃud̪d̪ʱo
খইর,kʰo͡i̯r
কনফিউজড,konpʰi͡u̯ɟd
যাইগুই,ɟa͡i̯gu͡i̯
বিপদে,bipɔd̪e
ফরি,pʰori
ওকগা,okga
আচ্ছা,accʰa
তইলে,t̪o͡i̯le
হাফেজ,hapʰeɟ
ওকে,oke
ধন্যবাদ,d̪ʱonnobad̪
রাতের,rat̪er
দুইটা,d̪u͡i̯ta
দুনোউয়া,d̪uno͡u̯ʲa
এক্কানাও,ækkana͡o̯
এখন,ækʰon
স্লাইডের,sla͡i̯der
দিয়্যুম,d̪ikd̪um
শুধু,ʃud̪ʱu
পয়েন্ট,pɔʲent
তোর,t̪or
পয়েন্টও,pɔʲento
আরোকগো,arokgo
নোয়াখাইল্ল্যা,noʷakʰa͡i̯llæ
আঁরে,ãre
আমি,ami
বাড়িত,baɽit̪o
আসছি,aʃcʰi
গেইয়্যস,ge͡i̯ʲt̪oʃ
খোনো,kʰono
বিষয়,biʃɔʲ
তোরে,t̪ore
খইদে,kʰo͡i̯d̪e
সপ্তাহ,ʃɔpt̪aho
একদিন,ækd̪in
আইসসি,a͡i̯ssi
তিনটা,t̪inta
ফুলিয়্যেনে,pʰuliʲlene
অর্নবে,ɔrnobe
ফারেরদে,pʰarerd̪e
গিলিয়ারে,giliʲare
ফালাইবু,pʰala͡i̯bu
ইয়ে,iʲe
ইতেরে,it̪ere
কারণ,karon
ওয়ার্ড,oʷard
ফুরো,pʰuro
রাত,rat̪
বেলা,bela
উইদ্দো,u͡i̯d̪d̪o
দুনোউয়ার,d̪uno͡u̯ʲar
ফইরজে,pʰo͡i̯rɟe
অর্ণবেরে,ɔrnobere
অর্ণব,ɔrnob
কিরজি,kiroɟi
বয়াবাইর,bɔʲaba͡i̯r
টাইমে,ta͡i̯me
চাইলে,ca͡i̯le
ইত,it̪o
হুনের,huner
বওয়াই,boʷa͡i̯
গইরজে,go͡i̯rɟe
লাইবু,la͡i̯bu
ফনেরো,pʰɔnero
পেইজের,pe͡i̯ɟer
নি,ni
ঝামেলা,ɟʱamela
ম্যামে,mæme
বারবার,barbar
পেইজ,pe͡i̯ɟ
থওন,æ͡o̯n
মিলাইয়েনে,mila͡i̯ʲene
থাও,t̪ʰa͡o̯
এক্সেপ্ট,eksept
স্লাইড,sla͡i̯d
বাকি,baki
লাস্টের,laster
এন্ডিং,ændiŋ
ফার্স্টের,pʰarster
স্টার্টিং,startiŋ
লইয়েনে,lo͡i̯ʲene
বন্ধু,bond̪ʱu
আরেক,arek
শয়তান,ʃɔʲt̪an
চুল,cul
বেয়াকগিন,beʲakgin
আঁরি,ãri
ফালাই,pʰala͡i̯
বন্ধুর,bond̪ʱur
অর্ণবের,ɔrnober
ফালাইতাম,pʰala͡i̯t̪am
আঁরতুন,ãrt̪un
দিয়্যস,d̪ikt̪oʃ
কা,ka
ইতিরতে,it̪irɔt̪e
আপসারাপ,apʃarap
গুতাইন্না,gut̪a͡i̯nna
রোগ,rog
উইঠটি,u͡i̯tʰti
হইছে,ho͡i̯cʰe
হইছের,ho͡i̯cʰer
গুষ্টি,guʃti
কিলাই,kila͡i̯
খইদি,kʰid̪i
ইতের,it̪er
গরিবার,goribar
আইয়ানে,a͡i̯ʲane
খর,kʰɔr
উইতারে,u͡i̯t̪are
গ্রুপ,grup
কলে,kɔle
ডাকি,daki
উইতে,u͡i̯t̪e
জামাই,ɟama͡i̯
বউ,bɔ͡u̯
আইসসে,a͡i̯sʃe
কল,kɔl
উইদ্দে,u͡i̯d̪d̪e
ঝগড়া,ɟʱɔgɽa
ফালাইবার,pʰala͡i̯bar
খইস,kʰo͡i̯ʃ
পার্ট,part
ফালাইয়্যুম,pʰala͡i̯ʲd̪ʱum
খ,kʰ
বুঝে,buɟʱe
সত্যি,ʃot̪t̪i
অন্ধ,ɔnd̪ʱo
ইবার,ibar
মন,mon
খুবই,kʰubi
আসসালামু,assalamu
আলাইকুম,ala͡i̯kum
নাম,nam
মোহাম্মদ,mohammɔd̪
বিলাল,bilal
জন্মস্থান,ɟɔnmost̪ʰan
বাড়ি,baɽi
নানার,nanar
অইল,ɔ͡i̯l
কক্সবাজার,kɔksbaɟar
দাদুর,d̪ad̪ur
ডুলাহাজরা,dulahaɟɔra
খশশোবাজারে,kʰɔʃʃobaɟare
একঘন্টা,ækgʱonta
গাড়িত,gaɽit̪o
গেইলে,ge͡i̯le
বাড়ির,baɽir
মাঝে,maɟʱe
যাওন,ɟa͡o̯n
পরিবারের,poribarer
আম্মু,ammu
দুউয়া,d̪u͡u̯ʲa
আব্বা,abba
ছুডোকাল,cʰudokal
থাইকতে,t̪ʰa͡i̯kɔt̪e
মারা,mara
কক্সবাজারের,kɔksbaɟarer
মাঝেই,maɟʱe͡i̯
থাকি,t̪ʰaki
ঘরর,gʱɔror
ডাগে,dage
ফরাশোনা,pʰɔraʃona
ইন্টারমিডিয়েট,intarmidiʲet
ফইরজন্ত,pʰo͡i̯rɟɔnt̪o
শহরের,ʃɔhorer
নার্সারি,narsari
প্রভাতি,probʱat̪i
শিশুশিক্ষা,ʃiʃuʃikkʰa
নিকেতন,niket̪on
দুইয়ান,d̪u͡i̯ʲan
গইরজি,go͡i̯rɟi
ছোডোবেলার,cʰodobelar
তু,t̪u
বেশ,beʃ
আইজো,a͡i̯ɟo
রাস্তাঘাটে,rast̪agʱate
দেহা,d̪eha
খুব,kʰub
আন্তরিকতার,ant̪orikɔt̪ar
ফোঁয়াতে,pʰõʲat̪e
আদর,ad̪or
যত্ন,ɟɔt̪no
মনত,monot̪o
রাখে,rakʰe
উগগা,ugga
কাছর,kacʰor
ম্যাডাম,mædam
আছিল,acʰilo
বুলবুলি,bulbuli
আরে,are
লেখা,lekʰa
শিখাইল,ʃikʰa͡i̯l
লাইফত,la͡i̯pʰɔt̪o
এচিভমেন্ট,ecibʱɔment
আনি,ani
যেন,ɟeno
ককসবাজার,kɔksbaɟar
ডিস্টিকত,distikɔt̪o
তিনবার,t̪inbar
আতর,at̪or
সুন্দর,ʃund̪ɔr
এতললাই,æt̪ɔlla͡i̯
চ্যাম্পিয়ন,cæmpiʲon
অইলাম,ɔ͡i̯lam
ম্যাডামর,mædamɔr
অবদান,ɔbod̪an
এহনও,ehono
ঘাটে,gʱate
দেইলে,d̪e͡i̯le
সন্তানর,ʃɔnt̪anor
ডইললা,do͡i̯lla
স্নেহ,sneho
পয়দা,pɔʲd̪a
উনারলাই,unarla͡i̯
বলি,boli
সবসময়।যেহেতু,ʃɔbʃomɔʲ।ɟehet̪u
উনার,unar
বয়স,bɔʲoʃ
গিয়ই,giʲi
আড়াচলা,aɽacla
অসুবিধা,ɔʃubid̪ʱa
তবু,t̪obu
দেখে,d̪ekʰe
ডইককা,do͡i̯kka
নিজর,niɟɔr
হাছে,hacʰe
টানি,tani
প্রাইমারি,pra͡i̯mari
অইয়ে,ɔ͡i̯ʲe
পি,pi
টি,ti
আইড,a͡i̯d
টিচার্স,ticars
ট্রেনিং,treniŋ
ইনস্টিটিউট,inoʃtiti͡u̯t
ইয়ানরে,iʲanre
ইংরেজিত,iŋreɟit̪o
হওয়া,hoʷa
এড়েও,eɽe͡o̯
সুমধুর,ʃumd̪ʱur
স্মৃতি,srit̪i
পড়ালেখার,pɔɽalekʰar
পাশাপাশি,paʃapaʃi
খেলাধুলা,kʰelad̪ʱula
বান্ধব,band̪ʱob
যিন,ɟin
এককু,ækku
ফুয়াতি,pʰuʲat̪i
বইলে,bo͡i̯le
রোমন্থন,romont̪ʰɔn
হাসাহাসি,haʃahaʃi
এককালে,ækkale
ইন,in
গইজঝি,gɔ͡i̯ɟɟʱi
হত,hɔt̪o
ধরনর,d̪ʱɔronɔr
স্কুল,skul
আনত,anot̪o
পড়াশোনা,pɔɽaʃona
গইরতাম,girot̪am
পড়াশোনার,pɔɽaʃonar
ফাঁকে,pʰãke
টেবিলত,tebilɔt̪o
কলম,kɔlom
ফাইট,pʰa͡i̯t
গরিতাম,gorit̪am
শারীরিক,ʃaririk
শিক্ষা,ʃikkʰa
মাইঝে,ma͡i̯ɟʱe
মাঠর,matʰor
বেককুন,bekkun
ফুয়াজজাঅল,pʰuʲaɟɟa͡ɔ̯l
বেককুনে,bekkune
মিলিয়নে,miliʲone
লুকোচুরি,lukocuri
খেলিতাম,kʰelit̪am
এড়ে,eɽe
ভূতর,bʱut̪ɔr
নামর,namor
পরিত্যক্ত,porit̪ækt̪o
ইয়ানর,iʲanor
সম্পর্কে,ʃɔmporke
আগ্রহ,agroho
ভিতর,bʱit̪or
তাইত,t̪a͡i̯t̪o
সবসময়,ʃɔbʃɔmɔʲ
মাগরিবের,magoriber
পরে,pɔre
ইয়্যানর,iʲanɔr
ঘুরাঘুরি,gʱuragʱuri
কিছি,kicʰi
দেহা-টেহা,d̪eha-teha
যায়নে,ɟaʲne
দেহস,d̪ehoʃ
দেখি,d̪ekʰi
আসলে,aʃole
গুজবের,guɟɔber
ডইল্লে,dille
আইসছিল,a͡i̯scʰilo
এরি,eri
জিনিসকান,ɟiniʃkan
ভূত-টূত,bʱut̪-tut̪o
ইয়্যানের,iʲæner
আগ্রহর,agrohor
কেন্দ্রবিন্দু,kend̪robind̪u
থাকিতো,t̪ʰakit̪o
যা,ɟa
হাজইন্যে,haɟinne
যাইউম,ɟa͡i̯um
বেয়াকগুনে,beʲakgune
তহন,t̪ɔhon
ছোডো,cʰodo
থাকিতে,t̪ʰakit̪e
যওন,ɟɔ͡o̯n
হন্টেড,hɔnted
প্লেস,ples
সাহস-সাহস,ʃahos-ʃahoʃ
ভাব,bʱab
এয়ারফরে,eʲarpʰɔre
ক্লোজ,kloɟ
মেডাম,medam
স্যার,sær
যথেষ্ট,ɟɔt̪ʰeʃto
সন্তানের,ʃɔnt̪aner
ডইল্লা,dilla
গরাইতো,gɔra͡i̯t̪o
ফাইভর,pʰa͡i̯bʱɔr
ফরিক্কার,pʰorikkar
লাইফর,la͡i̯pʰɔr
সবচেয়ে,ʃɔbceʲe
পাবলিক,pablik
পরীক্ষা,porikkʰa
এস,eʃo
দিনরাত,d̪inrat̪
ফরালেখাই,pʰɔralekʰa͡i̯
আগ্রহের,agroher
কেন্দ্রবিন্দুত,kend̪robind̪ut̪o
দুইবেলা,d̪u͡i̯bela
অইতু,ɔ͡i̯t̪u
ফজরত,pʰɔɟorɔt̪
একবার,ækbar
বিকালে,bikale
অইবার,ɔ͡i̯bar
তারফরে,t̪arpʰɔre
ক্লাসর,klaʃɔr
গোল,gol
বইয়ানে,bo͡i̯ʲane
ক্রিকেট,kriket
অইতো,ɔ͡i̯t̪o
ফাইভরে,pʰa͡i̯bʱɔre
রুম,rum
ডঅর,do͡ɔ̯r
হল,hɔl
রুমর,rumɔr
অইলদি,ɔ͡i̯ld̪i
বেঞ্চ,benc
গোডা,goda
খালি,kʰali
মিলি,mili
ব্যাট,bæt
বানাইলাম,bana͡i̯lam
কাঠ,katʰ
আঁডু,ãdu
গাঁরি,gãri
বইয়েনে,bo͡i̯ʲene
মিনি,mini
এরিম্মা,erimma
দ্যান,d̪æn
স্কুলর,skulɔr
হাই,ha͡i̯
লেভেলত,lebʱelɔt̪o
আইয়েনে,a͡i̯ʲene
জন,ɟɔn
মিক্কে,mikke
গিয়্যেগই,gikdegi
ইতারারে,it̪arare
ভুলি,bʱuli
যহন,ɟɔhon
তহনই,t̪ɔhoni
সে,ʃe
