words,ipa
করিছে,koricʰe
কুহানে,kuhane
এইডে,e͡i̯de
অলো,ɔlo
তুমার,t̪umar
শ্বশুর,ʃoʃur
বাড়ির,baɽir
এলাকায়ই,elakaʲi
নড়ালে,nɔɽale
মাঝে,maɟʱe
এলাকায়,elakaʲ
যেইডে,ɟe͡i̯de
করিছেলো,koricʰelo
ওইযে,o͡i̯ɟe
জ্যানু,ɟænu
নাম,nam
ফর্সা,pʰɔrsa
মতোন,mɔt̪on
হাবিবা,habiba
তার,t̪ar
ও,o
গা,ga
ওর,or
ছাড়া-কাড়া,cʰaɽa-kaɽa
ওইয়ে,o͡i̯ʲe
বহুত,bohut̪
আগেই,age͡i̯
তাতো,t̪at̪o
ম্যালা,mæla
জাগা,ɟaga
টেকলো,teklo
ক্যা,kæ
উডাও,uda͡o̯
প্রেমের,premer
ছেলো,cʰelo
মাইয়ে,ma͡i̯ʲe
সংসার,ʃɔŋʃar
করা,kɔra
বাওত্তারা,ba͡o̯t̪t̪ara
ভাড়া,bʱaɽa
খাটা,kʰata
কইছো,ko͡i̯cʰo
এদিকি,ed̪iki
মেয়রের,meʲorer
এতো,et̪o
সুমায়,ʃumaʲ
দিলে,d̪ile
তা,t̪a
মেয়র,meʲor
কিছু,kicʰu
কইরে-টইরে,ko͡i̯re-tire
দেল,d̪æl
আরে,are
ওহনে,ohone
বাড়া,baɽa
কইস,ko͡i̯ʃ
তুরা,t̪ura
রাজনীতি,raɟnit̪i
নির্বাচনের,nirbakoner
খাটিছিস,kʰaticʰiʃ
কম,kɔm
মিথ্যে,mit̪t̪ʰe
কথা,kɔt̪ʰa
হ্যাঁ,hæ̃
ওটুক,otuk
করিছি,koricʰi
এহন,ehon
ওইরে,o͡i̯re
দেবে,d̪ebe
ভাইর,bʱa͡i̯r
বিটাগে,bitage
দিয়ে,d̪iʲe
দিতি,d̪it̪i
সুতো,ʃut̪o
ছিঁড়ে,cʰĩɽe
যাচ্ছে,ɟaccʰe
এট্টা,etta
কইরে,ko͡i̯re
ধরো,d̪ʱɔro
প্রজেক্ট-ম্রজেক্ট,proɟektɔ-mroɟektɔ
নাই,na͡i̯
ওরকম,orokom
বিটা,bita
দেয়,d̪eʲ
নাহ,nah
আর,ar
হচ্ছে,hoccʰe
আসলে,aʃole
এলেকার,elekar
মদ্দি,mɔd̪d̪i
দাড়াইছে,d̪aɽa͡i̯cʰe
দাড়ালি,d̪aɽali
ফিছনেও,pʰicʰone͡o̯
করবানি,korbani
বোঝো,boɟʱo
উডা,uda
ঠিক,tʰik
তুমাগে,t̪umage
এয়্যাহেবারে,eʲæho͡e̯bare
ফাশে,pʰaʃe
করলিও,korli͡o̯
কিরোম,kirom
হয়,hɔʲ
আমিও,ami͡o̯
ওরম,orom
রাত্তিরি,rat̪t̪iri
আইসে,a͡i̯ʃe
হাজিরা,haɟira
দিতাম,d̪it̪am
খুব,kʰub
বেশি,beʃi
খাটিছে,kʰaticʰe
আমাদের,amad̪er
আমার,amar
কাকা৷,kaka
কাকা,kaka
আল্লাহ,allah
দিলি,d̪ili
সেরম,ʃerɔm
দেছে,d̪ecʰe
কাকারে,kakare
বিয়েও,biʲe͡o̯
নিয়াসলো,niʲaʃlo
থাইয়ে,t̪ʰa͡i̯ʲe
সে,ʃe
গাইড়,ga͡i̯ɽ
মারা,mara
দিছে,d̪icʰe
ফরে,pʰɔre
বিয়েতে,biʲet̪e
দাওয়াত,d̪a͡o̯ʲat̪
বুচ্ছো,buccʰo
সুমা,ʃuma
নিজির,niɟir
চ্যারাব্যারা,cærabæra
দিপু,d̪ipu
কাকার,kakar
দ্যাহা,d̪æha
ওইছে,o͡i̯cʰe
দুইদিন,d̪u͡i̯d̪in
দিন,d̪in
আমারে,amare
ধরিছে,d̪ʱoricʰe
অবেনে,ɔbene
কিন্তু,kint̪u
আইসো,a͡i̯ʃo
জম্মের,ɟɔmmer
আকারে,akare
এরফরে,erpʰɔre
বন্ধুগণ,bond̪ʱugɔn
নারাজ,naraɟ
বন্ধু-বান্ধব,bond̪ʱu-band̪ʱob
সব,ʃɔb
শুনলাম,ʃunlam
সজীব,ʃoɟib
সরকার,ʃɔrkar
আনন্দ,anond̪o
এরা,era
নিয়ে,niʲe
তাগের,t̪ager
পরবর্তীতি,pɔrobort̪it̪i
বিয়ে-টিয়ে,biʲe-tiʲe
হইয়ে,ho͡i̯ʲe
গিলি,gili
তাগে,t̪age
বলিনি,bolini
আগে,age
সারা,ʃara
বছর,bɔcʰor
ধরে,d̪ʱore
আশ্বাস,aʃʃaʃ
বিয়ের,biʲer
ন,n
কত্তি,kɔt̪t̪i
ত্যান,t̪æn
অনিকির,ɔnikir
রাগ,rag
দোস্তো,d̪ost̪o
বন্দুগে,bond̪uge
আনলো,anlo
ডাকলো,daklo
তাইতো,t̪a͡i̯t̪o
যাইয়ে,ɟa͡i̯ʲe
এক,æk
দিকদে,d̪ikd̪e
প্রজেক্টে,proɟekte
গ্যাসের,gæʃer
ভাইয়ার,bʱa͡i̯ʲar
প্রজেক্ট,proɟektɔ
লাইগে,la͡i̯ge
থাহো,t̪ʰaho
ভুদা,bʱud̪a
হবে,hɔbe
সেইডেই,ʃe͡i̯de͡i̯
ভাইয়া,bʱa͡i̯ʲa
কুনজাগা,kunɟaga
গাজিপুর,gaɟipur
গুদ,gud̪
মারামারি,maramari
বাইদে,ba͡i̯d̪e
যাতো,ɟat̪o
গেলি,geli
ফুরো,pʰuro
কালার,kalar
যাতাম,ɟat̪am
কতো,kɔt̪o
দেহিছো,d̪ehicʰo
দিফুরে,d̪ipʰure
রাজীবরে,raɟibɔre
ধত্তো,d̪ʱɔt̪t̪o
লোক,lok
এয়্যা,eʲla
দিনভইরে,d̪inbʱire
আমরা,amra
বইসে,bo͡i̯ʃe
আড্ডা,adda
দি,d̪i
লাড়াচাড়া,laɽacaɽa
বিটারে,bitare
আইছো,a͡i̯cʰo
কঠিন,kotʰin
বুইছো,bu͡i̯cʰo
আসপে,aʃpe
অনিক,ɔnik
আগেদ্দিন,aged̪d̪in
কয়,kɔʲ
মাদাচ্চোদ,mad̪accod̪
বললো,bollo
বইলে-টইলে,bo͡i̯le-tile
কেউরে,ke͡u̯re
ইরা,ira
ধত্তিছে,d̪ʱɔt̪t̪icʰe
ভাই-বন্দু,bʱa͡i̯-bɔnd̪u
আসতি,aʃt̪i
পাল্লো,pallo
কচ্ছি,kɔccʰi
তোর,t̪or
তুই,t̪u͡i̯
কতি,kot̪i
ফারিস,pʰaris
কার,kar
কিডা,kida
দেলো,d̪ælo
তোরে,t̪ore
সেই,ʃe͡i̯
বিরাদার,birad̪ar
চুদাইছে,cud̪a͡i̯cʰe
এওন,e͡o̯n
বিষয়ডা,biʃɔʲda
হয়ে,hoʲe
একসাথে,ækʃat̪ʰe
যারা,ɟara
বড়,bɔɽo
হইছি,ho͡i̯cʰi
ইস্কুলির,iskulir
ফ্রেন্ড,pʰrend
একবারে,ækbare
ছোট,cʰoto
বেলাত্তে,belat̪t̪e
আমাগে,amage
সত্যি,ʃot̪t̪i
জনের,ɟɔner
প্রতি,prot̪i
আরেক,arek
আবেগডা,abegda
স্বাভাবিকভাবেই,ʃabʱabikbʱabe͡i̯
হাই,ha͡i̯
যাগে,ɟage
পরিচয়,poricɔʲ
চাইতে,ca͡i̯t̪e
কেজি,keɟi
ইস্কুলি,iskuli
পড়ছিলাম,poɽcʰilam
আলাদা,alad̪a
টান,tan
অবশ্যই,ɔboʃʃo͡i̯
এদিক,ed̪ik
দে,d̪e
ছ্যামড়াডার,cʰæmɔɽadar
পড়লি,pɔɽli
খারাপ,kʰarap
লাগে,lage
বুঝতি,buɟʱt̪i
ফারিছো,pʰaricʰo
এন্নে,enne
যা,ɟa
অবস্থা,ɔbost̪ʰa
তাতে,t̪at̪e
পিরায়,piraʲ
ই,i
বাফু,bapʰu
অরা,ɔra
অচ্ছে,ɔccʰe
ওরে,ore
যাবে,ɟabe
হওয়া,hoʷa
জ্বইলে,ɟile
খালি,kʰali
তারে,t̪are
ডাইহে-ডুইহেও,da͡i̯he-du͡i̯he͡o̯
যদি,ɟod̪i
আনি,ani
গরম,gɔrom
মানেহ,maneho
ভাবছি,bʱabcʰi
ওয়ে,oʲe
এবাত্তো,ebat̪t̪o
অবে,ɔbe
বুজোবো,buɟobo
ঐযে,o͡i̯ɟe
টাহা,taha
পয়সা,pɔʲʃa
দেছেলো,d̪ecʰelo
বাপ,bap
যায়ার,ɟaʲar
কয়ে,kɔʲe
গ্যালো,gælo
ঐ,o͡i̯
দুলালের,d̪ulaler
ছাওয়ালের,cʰa͡o̯ʷaler
শুলা,ʃula
শালিস,ʃaliʃ
বিষয়,biʃɔʲ
রুমানিয়ার,rumaniʲar
দ্যাখলাম,d̪ækʰɔlam
ছ্যামড়াডা,cʰæmɔɽada
আসোলে,aʃole
চেষ্টা,ceʃta
কোরিছে,koricʰe
জিনিসটা,ɟiniʃta
আসলেই,aʃole͡i̯
মর্মান্তিক,mɔrmant̪ik
কারণ,karon
সবকিছু,ʃɔbkicʰu
ছাইড়ে-কাইড়ে,cʰa͡i̯ɽe-ka͡i̯ɽe
দিকি,d̪iki
ঠেহিছে,tʰehicʰe
তারপরেও,t̪arpɔre͡o̯
গতি,got̪i
অয়,ɔʲ
পরিমান,poriman
হতাশ,hot̪aʃ
দেখলি,d̪ekʰli
হলি,holi
গাজার,gaɟar
লাইনি,la͡i̯ni
বুঝিছো,buɟʱicʰo
হুম,hum
বুঝোনু,buɟʱonu
চালি,cali
কচ্ছে,kɔccʰe
এখন,ækʰon
ভাই-বিরাদার,bʱa͡i̯-birad̪ar
গে,ge
মানুষির,manuʃir
ইস্টাটাসের,istataʃer
উপর,upor
নির্ভর,nirbʱɔr
করবে,korbe
সমস্ত,ʃɔmost̪o
বানাবো,banabo
শেষ,ʃeʃ
থাকবে,t̪ʰakbe
দীপল,d̪ipɔl
শোন,ʃono
হঠাত,hɔtʰat̪
খালিদ,kʰalid̪
বলে,bole
ইসি,isi
ইতালী,it̪ali
এয়্যাহ,eʲæho
কোন,kon
তারফরে,t̪arpʰɔre
দেবেনে,d̪ebene
শুর,ʃur
ঈদের,id̪er
পর,pɔr
উনার,unar
আবার,abar
শুরু,ʃuru
দৌরতি,d̪o͡u̯rot̪i
আপাতত,apat̪ɔt̪o
আন্টির,antir
ভাল,bʱalo
বউমার,bɔ͡u̯mar
খবর,kʰɔbor
আলহামদুলিল্লাহ,alhamd̪ulillah
খুলনার,kʰulnar
বন্দু,bond̪u
কবে,kɔbe
কচ্ছেলো,kɔccʰelo
রিমন-মিমন,rimɔn-mimɔn
বইলে,bo͡i̯le
এগে,ege
গুরুপির,gurupir
এরম,erom
ভাবে,bʱabe
সাইতেন,sa͡i̯t̪en
চুদা,cud̪a
গেছি,gecʰi
ইটালি,itali
রইছে,ro͡i̯cʰe
তাদের,t̪ad̪er
স্ট্যাটাসের,stataʃer
স্ট্যাটাস,stataʃ
মেলবে,melbe
সুময়,ʃumɔʲ
এরপরে,erpɔre
বলার,bɔlar
থাকে,t̪ʰake
পারিছো,paricʰo
কবো,kobo
মানুষ,manuʃ
সারাজীবন,ʃaraɟibɔn
ভইরে,bʱo͡i̯re
মাইরে,ma͡i̯re
কাইলের,ka͡i̯ler
কয়ডারে,kɔʲdare
উরা,ura
জীবন,ɟibɔn
খোঁজ,kʰõɟ
নিস,nis
মারছে,marcʰe
গেলো,gelo
এহনে,ehone
আইজকে,a͡i̯ɟke
আইছেলো,a͡i̯cʰelo
গিছিলাম,gicʰilam
ওগে,oge
স্বপন,ʃɔpon
আইছে,a͡i̯cʰe
স্বপনের,ʃɔponer
দ্যাহা-ট্যাহা,d̪æha-ttaha
অরলাম,ɔrolam
রিদয়,rid̪ɔʲ
গিলাম,gilam
সজল,ʃɔɟɔl
বাত্রা,bat̪ra
কচ্ছিলাম,kɔccʰilam
আসার,aʃar
রুহান,ruhan
গাড়িতি,gaɽit̪i
এইজাগা,e͡i̯ɟaga
দেহি,d̪ehi
দিপানের,d̪ipaner
দাঁড়ায়,d̪ãɽaʲ
দিপনের,d̪iponer
বিড়ি,biɽi
খাচ্ছে,kʰaccʰe
আইসেই,a͡i̯ʃe͡i̯
জাইগোট,ɟa͡i̯got
দিপন,d̪ipɔn
হাটা,hata
কিছুক্ষণ,kicʰukkʰon
সৌরভের,ʃo͡u̯rɔbʱer
কইয়ে,ko͡i̯ʲe
কলাম,kɔlam
কোহানে,kohane
যাচ্ছিস,ɟaccʰiʃ
কোনো,kono
কথাই,kɔt̪ʰa͡i̯
কলো,kɔlo
এইসব,e͡i̯ʃɔb
হলো,holo
টেহে,tehe
মানসিরি,manosiri
কর,kɔr
ভাই-ব্রাদার,bʱa͡i̯-brad̪ar
বাড়িরতে,baɽirot̪e
খাইয়ে,kʰa͡i̯ʲe
তুইও,t̪u͡i̯o
খাইয়েই,kʰa͡i̯ʲe͡i̯
আসিস,aʃiʃ
দেহা,d̪eha
নিকি,niki
জিনিস,ɟiniʃ
গুলো,gulo
স্কিপ,skip
করতিছি,kort̪icʰi
হতিও,hot̪i͡o̯
আগের,ager
এও,e͡o̯
বুঝোইছি,buɟʱo͡i̯cʰi
দেখ,d̪ækʰo
বুঝলাম,buɟʱlam
বনাবনি,bɔnaboni
মিশি,miʃi
তু,t̪u
উচিত,ucit̪
ছোটো,cʰoto
বেলার,bælar
বন্ধু,bond̪ʱu
দাবি,d̪abi
রাইহে,ra͡i̯he
পারো,paro
আছ,acʰo
বুঝোলি,buɟʱoli
তে,t̪e
কিচ্ছু,kiccʰu
যাচ্ছে-আসতেছে,ɟaccʰe-aʃt̪ecʰe
ব্যাপার,bæpar
ডোন্ট,dont
কেয়ার,keʲar
স্কুলির,skulir
ধন,d̪ʱɔn
ধরাধরি,d̪ʱɔrad̪ʱri
দেইহে,d̪e͡i̯he
হাইটে,ha͡i̯te
জুলার,ɟular
ছাওয়াল,cʰa͡o̯ʷal
বাধন,bad̪ʱon
দারার,d̪arar
আসলি,aʃoli
বাদ,bad̪
থুইয়ে,t̪ʰu͡i̯ʲe
কবানি,kɔbani
বুঝইছিস,buɟʱicʰiʃ
ইমনের,imoner
রোজার,roɟar
খুলনায়,kʰulnaʲ
এরমধ্যি,ermod̪d̪ʱi
কাহিনী,kahini
সাব্বিররে,sabbirɔre
কাজ,kaɟ
যাবি,ɟabi
নেকি,neki
দশ-পুনারোদিন,d̪ɔʃ-punarod̪in
লাগতি,lagt̪i
কাছে,kacʰe
শুইনে,ʃu͡i̯ne
ইমন,imon
শুনিছি,ʃunicʰi
মামা,mama
কালকে,kaloke
চলো,cɔlo
সময়,ʃɔmɔʲ
মামু,mamu
গাড়ি,gaɽi
খান,kʰan
চালাও,cala͡o̯
বসি,boʃi
পিছনে,picʰone
ঈদগার,id̪gar
মোড়ের,moɽer
স্লো,slo
হালকা,halka
সোলো,solo
দিছি,d̪icʰi
ঁ,̃
আ,a
লহামদুলিল্লাহ,lɔhamd̪ulillah
বিবাহিত,bibahit̪o
ঈদার,id̪ar
অবস্থারে,ɔbost̪ʰare
মোটে,mote
দেহাই,d̪eha͡i̯
পালাম,palam
উনি,uni
সেটুক,ʃetuk
দেহিতে,d̪ehit̪e
হাইসে,ha͡i̯ʃe
জ্বলিছে,ɟɔlicʰe
রে-জ্বলিছে,re-ɟbolicʰe
জ্বলে,ɟɔle
অনিকরে,ɔnikɔre
ইমনরে,imonore
কইছে,ko͡i̯cʰe
পরবর্তীতে,pɔrobort̪it̪e
হাসাহাসি,haʃahaʃi
করলি,korli
জাগারতে,ɟagart̪e
জোরে,ɟore
বাবা,baba
মাইন্ডি,ma͡i̯ndi
লাগিছে,lagicʰe
কইছি,ko͡i̯cʰi
ওইহেনে,o͡i̯hene
মানসি,manoʃi
কইরেই,ko͡i̯re͡i̯
ওইহেন,o͡i̯hen
মোড়,moɽ
যদ,ɟɔd̪
তাইলি,t̪a͡i̯li
মিশলাম,miʃlam
না-,na-
আসতিছে,aʃt̪icʰe
ভাব,bʱab
মাথা,mat̪ʰa
ফুলোর,pʰulor
বাচ্চা,bacca
ফুলো,pʰulo
আজীবন,aɟibɔn
ফুলোই,pʰulo͡i̯
থাইহে,t̪ʰa͡i̯he
বুঝতিও,buɟʱt̪i͡o̯
সুঝতিও,ʃuɟʱt̪i͡o̯
নে,ne
এজ,eɟ
ইউজুয়্যাল,i͡u̯ɟukæl
যেটুক,ɟetuk
দেহ,d̪eho
সেটুকই,ʃetuki
বুঝলি,buɟʱli
কেউ,ke͡u̯
বুঝনোর,buɟʱɔnor
উপায়,upaʲ
ভিতরে,bʱit̪ɔre
বিশাল,biʃal
ধাক্কা,d̪ʱakka
খালো,kʰalo
শাদী,ʃad̪i
করলাম,korlam
গেল,gælo
শাদি,ʃad̪i
ভুদাই,bʱud̪a͡i̯
বাহি,bahi
দুলা,d̪ula
আপুর,apur
মারিয়াম,mariʲam
কেমন,kæmon
আপুও,apu͡o̯
আংকেল,aŋkel
আন্টি,anti
ঢাকা,dʱaka
আসলো,aʃolo
কয়দিন,kɔʲd̪in
থাকপে,t̪ʰakpe
গেছেলো,gecʰelo
আম্মু,ammu
আবু,abu
চইলেও,co͡i̯le͡o̯
বাড়িই,baɽi͡i̯
কুরবানি,kurbani
ইট্টূ,ittu
আড্ডা-মাড্ডা,adda-madda
মারবানি,marbani
আপুরা,apura
কুরবানিতি,kurbanit̪i
আব্বু,abbu
বলতি,bolot̪i
পারতিছে,part̪icʰe
বাড়িও,baɽi͡o̯
যাওয়া,ɟa͡o̯ʷa
লাগবেনে,lagbene
যাওয়ার,ɟa͡o̯ʷar
ইচ্ছে,iccʰe
ওদিকি,od̪iki
গন্ড,gɔnd
গিরাম,giram
বোঝছো,boɟʱcʰo
জানি,ɟani
দেহো,d̪eho
আস,aʃ
হবেনে,hɔbene
দুয়া,d̪uʲa
খায়ের,kʰaʲer
কইরো,ko͡i̯ro
দিবানি,d̪ibani
আচ্ছা,accʰa
থাকো,t̪ʰako
হাফেজ,hapʰeɟ
মরাই,mɔra͡i̯
পাই,pa͡i̯
মেলা,mæla
দুরি,d̪uri
সমস্যাডা,ʃɔmoʃʃada
সময়-সুযোগ,ʃɔmɔʲ-ʃuɟog
ছন্ন-ছাড়া,cʰɔnno-cʰaɽa
হউএ,ho͡u̯͡e̯
ঘুরে,gʱure
বেড়া,beɽa
এম্নে,emne
কলি,koli
বুঝবানানে,buɟʱbanane
কতা,kɔt̪a
আসবেনে,aʃbene
কউ,kɔ͡u̯
শুনি,ʃuni
খুজিছি,kʰuɟicʰi
শাহীনির,ʃahinir
ধারে,d̪ʱare
অভিকির,obʱikir
সবুজির,ʃobuɟir
দিপালের,d̪ipaler
ঘোরে,gʱore
দীপালের,d̪ipaler
দিপলের,d̪ipɔler
শুকনো,ʃukno
বেড়ায়,beɽaʲ
ঈমনের,imoner
ঘুরা,gʱura
ফিরা,pʰira
ওরিছি,oricʰi
তাইতি,t̪a͡i̯t̪i
এয়্যার,eʲær
শ্যাটাভাঙা,ʃætabʱaŋa
জ্বলার,ɟɔlar
চোদনে,cod̪one
তিনি,t̪ini
উলটো,ulto
দৈড়োয়,d̪o͡i̯ɽoʲ
ভয়ংকর,bʱɔʲoŋkɔr
ন্যাঠা,nætʰa
ক্লোজ,kloɟ
ধংঘর্ষ,d̪ʱɔŋgʱɔrʃo
সামনা-সামনি,ʃamona-ʃamoni
কায়দা,kaʲd̪a
ইতিহাস,it̪ihaʃ
ঈমনরে,imonre
ই-টি,i-ti
ছাড়া,cʰaɽa
কের,ker
মেশতো,meʃt̪o
টিরাক,tirak
হইছেলো,ho͡i̯cʰelo
কড়া,kɔɽa
দাউ,d̪a͡u̯
দাউ-কুড়োলির,d̪a͡u̯-kuɽolir
সম্পর্ক,ʃɔmporko
টিরাকরে,tirakre
ভালোনা,bʱalona
কুপারে,kupare
ট্যাঙ্গারি,tæŋgari
হাইসো,ha͡i̯ʃo
কাঁচি,kãci
অরতি,ɔrot̪i
অইরে,ɔ͡i̯re
মাটি,mati
গুড়ো,guɽo
করতি,kort̪i
ট্যাঙ্গারির,tæŋgarir
উল্টো,ulto
পাশ,paʃ
বাইরোইয়ে,ba͡i̯ro͡i̯ʲe
তারপর,t̪arpɔr
মুটামুটি,mutamuti
হাত,hat̪
নতুন,not̪un
কুপাতি,kupat̪i
এবারা,ebara
ষোল,ʃol
ওভারে,obʱare
খেলায়,kʰelaʲ
রান,ran
কল্লো,kɔllo
আশি,aʃi
পয়ষট্টি,pɔʲʃɔtti
কলেজের,kɔleɟer
পিচটা,picta
মারাত্মক,marat̪t̪ok
পিচ,pic
ম্যাক্সিমাম,mækʃimam
বোলাররা,bolarra
সুবিধা,ʃubid̪ʱa
পায়,paʲ
ব্যাটসম্যান,bætʃɔmæn
চিন্তা,cint̪a
করে,kore
মারবো,marbo
ধরা,d̪ʱɔra
খাবেই,kʰabe͡i̯
ওভার,obʱar
ক্যান,kæn
বিশ,biʃ
একশো,ækʃo
সেডাও,ʃeda͡o̯
অনেক,ɔnek
টাফ,tapʰ
খেলতি,kʰelot̪i
চাইড্ডে,ca͡i̯dde
বল,bɔl
ডট,dɔt
চাইর,ca͡i̯r
মাইল্লে,ma͡i̯lle
স্বাভাবিকভাবে,ʃabʱabikbʱabe
টেমপেরামেন্ট,temperament
তারা,t̪ara
আউট,a͡u̯t
দুইডে,d̪u͡i̯de
মিস,mis
ধেত,d̪ʱet̪
হাকায়,hakaʲ
বাউন্ডারি,ba͡u̯ndari
তি,t̪i
ক্যাচ,kæc
বাউন্ডারিডাও,ba͡u̯ndarida͡o̯
বেশ,beʃ
বড়ো,bɔɽo
যার,ɟar
কারণে,karone
ওইডা,o͡i̯da
মাঠ,matʰ
মূলত,mulɔt̪o
ইস্কুলের,iskuler
মাঠে,matʰe
মাঠ৷,matʰ
কলেজ,kɔleɟ
মাঠটা,matʰta
কালিয়ার,kaliʲar
জাতীয়,ɟat̪iʲo
ওরা,ora
টিম,tim
নিজেদেরকে,niɟed̪erke
দাবী,d̪abi
আসলেও,aʃole͡o̯
যেভাবেই,ɟebʱabe͡i̯
পারুক,paruk
চুরি,curi
গলাবাজি,gɔlabaɟi
জেতে,ɟet̪e
যেতবেই,ɟet̪be͡i̯
প্লেয়ারও,pleʲaro
প্লেয়ার,pleʲar
রেষারেষি,reʃareʃi
খেলা,kʰela
তিন,t̪in
ম্যাচ,mæc
সিরিজ,siriɟ
প্রথম,prot̪ʰom
রকম,rɔkom
পাঁশশো,pãʃʃo
তখন,t̪ɔkʰon
পুরো,puro
ফর্মে,pʰɔrme
যাস্ট,ɟast
কোভিডডা,kobʱidda
চলতিছে,cɔlot̪icʰe
একেবারে,ækebare
পরমাণে,pɔrmane
প্র‍্যাক্টিসের,praktiser
উপরে,upɔre
প্রতিদিন,prot̪id̪in
এমনও,æmono
সকাল,ʃɔkal
বেলা,bela
ভোর,bʱor
উইঠে,u͡i̯tʰe
কংক্রিটের,kɔŋkriter
প্র‍্যাকটিস,praktiʃ
কত্তাম,kɔt̪t̪am
টেপ,tep
টেনিস,teniʃ
পত্তেক,pɔt̪t̪ek
খেলছি৷,kʰelcʰi
নিজিরা,niɟira
খেলি,kʰeli
থাকলে,t̪ʰakle
বাইরে,ba͡i̯re
নিজেরা,niɟera
ভাগ-যোগ,bʱag-ɟog
খেলে,kʰele
ম্যাচ৷,mæc
শুক্তগ্রাম,ʃukt̪ogram
নালি,nali
কুলশুর,kulʃur
কালিয়া,kaliʲa
জাগায়,ɟagaʲ
হবেই,hɔbe͡i̯
ওইরকম,o͡i̯rɔkom
রানে,rane
কল্লাম,kɔllam
য্যানু,ɟænu
অল,ɔl
অবাক,ɔbak
সাথেই,ʃat̪ʰe͡i̯
আবারা,abara
ওয়ান,oʷan
ডাউনি,da͡u̯ni
নামি,nami
ওপেনিং,openiŋ
নামিছিলাম,namicʰilam
ডিফেন্সিভ,dipʰensibʱ
হুড়তাক,huɽt̪ak
পিটা-পিটি,pita-piti
করি,kori
টার্গেট,target
প্রত্যেক,prot̪t̪ek
সাড়ে,ʃaɽe
রানের,raner
দরকার,d̪ɔrkar
রান।ওই,ran।o͡i̯
করাই,kɔra͡i̯
তাও,t̪a͡o̯
ওয়াইডি,oʷa͡i̯di
এইরকম,e͡i̯rɔkom
রইছি,ro͡i̯cʰi
ভয়,bʱɔʲ
কত্তিছে,kɔt̪t̪icʰe
রুবেল,rubel
ভাই-টাই,bʱa͡i̯-ta͡i̯
মাপের,maper
কাহিনিডা,kahinida
ক,k
কুপানি,kupani
পাবানি,pabani
কোনজাগা,konɟaga
নিতি,nit̪i
নদীরতে,nod̪irt̪e
নিলি,nili
কিরম,kirɔm
নদীতি,nod̪it̪i
যাবেনে,ɟabene
ভ্যান,bʱæn
একবার,ækbar
নিছিলাম,nicʰilam
ওদের,od̪er
গ্যাঞ্জাম,gænɟam
কাজেই,kaɟe͡i̯
হইলেই,ho͡i̯le͡i̯
আসে,aʃe
উপরই,upɔri
চলে,cɔle
চলি,coli
ইয়ে,iʲe
একটাও,ækta͡o̯
খেলাধুলা,kʰelad̪ʱula
ন-ত্যান,no-t̪æn
করাতি,kɔrat̪i
অহংকার,ɔhɔŋkar
ভাইঙে,bʱa͡i̯ŋe
এরকম,erokom
ছিলো,cʰilo
জিতিছিলেন,ɟit̪icʰilen
আপনারা,apnara
ক্যামন,kæmon
নামছে,namcʰe
রমিম,romim
চৈদ্দ,co͡i̯d̪d̪o
হই,ho͡i̯
এবং,eboŋ
ফিলাপ,pʰilap
এবার,ebar
