Rangpur,ipa_rangpur,Kishoreganj,kishoreganj_ipa,Chittagong,chittagong_ipa,Narsingdi,ipa_narshingdi,Narail,narail_ipa
আপনার,apnar,খেত,kʰet̪,অইয়্যেদে,ɔ͡i̯kd̪ʱed̪e,করি,kori,ভারি,bʱari
একনা,ækna,হাইবিড,ha͡i̯bid,আঁরা,ãra,বুচ্ছস,buccʰos,কিলাশ।ঈমনের,kilaʃ।imoner
গল্প-গুজব,gɔlpo-guɟɔb,মাড়াইছুইন,maɽa͡i̯cʰu͡i̯n,ইয়্যিন,ikin,ও,o,ঈমন,imon
করনো,kɔrono,এইবার,e͡i̯bar,জানি,ɟani,হইলো,ho͡i̯lo,লাস্টে,laste
হয়,hɔʲ,সাতাত্তুর,ʃat̪at̪t̪ur,টাম,tam,ক্যাপ্টেন্সি,kæptensi,বিয়ে,biʲe
মোবাইলোত,moba͡i̯lot̪o,রুইছি,ru͡i̯cʰi,কেইল্লা,ke͡i̯lla,ছিলো,cʰilo,ওরিছেলো,oricʰelo
রেকোডো,rekodo,হেত,het̪,গরি,gori,এহন,ehon,বিয়েডা,biʲeda
করমো,kɔrmo,মন,mon,কী,ki,আছে,acʰe,টিকে,tike
তা,t̪a,ফাইছি,pʰa͡i̯cʰi,আলাদা,alad̪a,সাকিব,ʃakibo,আছে,acʰe
কও,kɔ͡o̯,এইডা,e͡i̯da,স্যারের,særer,তামিম,t̪amim,নাকি,naki
সমস্যা,ʃɔmoʃʃa,পথম,pɔt̪ʰom,তুন,t̪un,ওয়ানডে,oʷande,আরেট্টা,aretta
হবান্নায়,hɔbannaʲ,মাইনসে,ma͡i̯nʃe,যাইয়েরে,ɟa͡i̯ʲere,তে,t̪e,করলো,korlo
কিসের,kiʃer,করছে,korcʰe,ইয়্যান,iʲæn,কি,ki,সেইডে,ʃe͡i̯de
মোর,mor,মানসে,manʃe,কালেক্ট,kalektɔ,যা-ই,ɟa-i,মেয়ে,meʲe
কোনো,kono,দেহাদেহি,d̪ehad̪ehi,গরিবু,goribu,কস,kɔʃ,হইছে,ho͡i̯cʰe
নাই,na͡i̯,অনেক,ɔnek,আঁরারে,ãrare,মাশরাফির,maʃrapʰir,ভালো,bʱalo
আপার,apar,দারো,d̪aro,বাজাই,baɟa͡i̯,ক্যাপ্টেন,kæpten,করিছে,koricʰe
নামটা,namta,আসে,aʃe,দিয়্যেনে,d̪iklene,পাওয়া,pa͡o̯ʷa,কুহানে,kuhane
মোছাম্মত,mocʰammɔt̪ɔ,যায়,ɟaʲ,যায়গুই,ɟaʲgu͡i̯,কষ্টকর,koʃtokɔr,এইডে,e͡i̯de
রেণু,renu,কাডাহান্তা,kadahant̪a,ফিছাই,pʰicʰa͡i̯,রে,re,অলো,ɔlo
ও,o,অইয়া,ɔ͡i̯ʲa,যিগুই,ɟigu͡i̯,আরে,are,তুমার,t̪umar
বয়স,bɔʲoʃ,আইছি,a͡i̯cʰi,বি,bi,অইলো,ɔ͡i̯lo,শ্বশুর,ʃoʃur
কতো,kɔt̪o,ইক্টু,iktu,সেকশনের,ʃekʃoner,বেডা,beda,বাড়ির,baɽir
চইলবার,co͡i̯lbar,দরহার,d̪ɔrhar,সেকশন,ʃekʃon,দুর্নীতিতে,d̪urnit̪it̪e,এলাকায়ই,elakaʲi
নাগচে,nagoce,আছে,acʰe,দেহি,d̪ehi,ভরা,bʱɔra,নড়ালে,nɔɽale
এলা,ela,এইনো,e͡i̯no,যাইয়্যেনে,ɟa͡i̯ʲd̪ʱene,এক,æk,মাঝে,maɟʱe
এইতো,e͡i̯t̪o,একজনেরটে,ækɟonerte,আরও,arɔ͡o̯,পাপ্পন,pappon,এলাকায়,elakaʲ
পয়তিরিশ,pɔʲt̪iriʃ,ফইঞ্চাশ,pʰɔ͡i̯ncaʃ,চাইর,ca͡i̯r,দা,d̪a,যেইডে,ɟe͡i̯de
থাকি,t̪ʰaki,আজার,aɟar,ধাপ,d̪ʱap,দেখ,d̪ækʰo,করিছেলো,koricʰelo
চল্লিশ,colliʃ,টেহা,teha,ফরা,pʰɔra,ওগো,ogo,ওইযে,o͡i̯ɟe
রোজা,roɟa,ফায়াম,pʰaʲam,আগাই,aga͡i̯,ফান্ডে,pʰande,জ্যানু,ɟænu
রাকচেন,rakcen,দেওনের,d̪e͡o̯ner,গেইয়্যেগই,ge͡i̯ʲegi,নাকি,naki,নাম,nam
হ্যা,hæ,আইজ্জো,a͡i̯ɟɟo,এডে,ede,দু,d̪u,ফর্সা,pʰɔrsa
আচি,aci,তারিক,t̪arik,তে,t̪e,নয়শো,nɔʲʃo,মতোন,mɔt̪on
খাওয়া-দাওয়া,kʰa͡o̯ʷa-d̪a͡o̯ʷa,আইচ্চা,a͡i̯cca,দিনের,d̪iner,কোটি,koti,হাবিবা,habiba
করনেন,koronen,অহন,ɔhon,আগের,ager,টাকা,taka,তার,t̪ar
দিয়া,d̪iʲa,দিবো,d̪ibo,আইজু,a͡i̯ɟu,এত্তো,æt̪t̪o,ও,o
সিহেরিত,ʃiherit̪o,নাকি,naki,জিনিসপত্র,ɟiniʃpɔt̪ro,দিয়া,d̪iʲa,গা,ga
সিহেরি,ʃiheri,যাইতেছি,ɟa͡i̯t̪ecʰi,জীবন,ɟibɔn,করবো,korbo,ওর,or
খাইচি,kʰa͡i̯ci,হ্যাঁ,hæ̃,সাইরদি,sa͡i̯rod̪i,কিছু,kicʰu,ছাড়া-কাড়া,cʰaɽa-kaɽa
মাচ,mac,যাইতাছি,ɟa͡i̯t̪acʰi,আঁই,ãi,টাকা-পয়সা,taka-pɔʲʃa,ওইয়ে,o͡i̯ʲe
আলু,alu,গিয়া,giʲa,দংশ,d̪ɔŋʃo,খরচ,kʰɔroc,বহুত,bohut̪
ব্যাটাক,bætak,দেহি,d̪ehi,বউত,bɔ͡u̯t̪o,করলে,korle,আগেই,age͡i̯
বিয়্যা-শাদি,bikt̪a-ʃad̪i,যাইতাছুইন,ɟa͡i̯t̪acʰu͡i̯n,অয়,ɔʲ,প্লেয়ারগুলা,pleʲargula,তাতো,t̪at̪o
করাইনেন,kɔra͡i̯nen,ফাব্দা,pʰabd̪a,ইভেন,ibʱen,একটু,ektu,ম্যালা,mæla
সংসার-জীবন,ʃɔŋʃar-ɟibɔn,গাছগুলা,gacʰgula,ক্লাসত,klaʃɔt̪o,ভাবে,bʱabe,জাগা,ɟaga
চলছে,colcʰe,লাগাইছে,laga͡i̯cʰe,ফরাটরা,pʰɔratra,তৈরি,t̪o͡i̯ri,টেকলো,teklo
ব্যাটার,bætar,হেই,he͡i̯,গেলে,gele,করা,kɔra,ক্যা,kæ
সমাচার,ʃɔmacar,বাড়ির,baɽir,গইরজম,go͡i̯roɟɔm,যায়,ɟaʲ,উডাও,uda͡o̯
বউ,bɔ͡u̯,রইছ,ro͡i̯cʰo,থাহে,t̪ʰahe,লেগ,leg,প্রেমের,premer
আচে,ace,উদ্দির,ud̪d̪ir,যাই,ɟa͡i̯,স্পিনার,spinar,ছেলো,cʰelo
ভালোয়,bʱaloʲ,নাতি,nat̪i,এইদিন,e͡i̯d̪in,নাই,na͡i̯,মাইয়ে,ma͡i̯ʲe
বউও,bɔ͡u̯͡o̯,বালা,bala,কেয়ামত,keʲamɔt̪,দেশে,d̪eʃe,সংসার,ʃɔŋʃar
চলে,cɔle,লুক,luk,ফাইউম,pʰa͡i̯um,বেটা,beta,করা,kɔra
বউয়ের,bo͡u̯ʲer,একের,æker,আল্লাহ,allah,অন্যান্য,ɔnnanno,বাওত্তারা,ba͡o̯t̪t̪ara
খালি,kʰali,লাব,lab,ক্লাসের,klaser,দুইডা,d̪u͡i̯da,ভাড়া,bʱaɽa
বাছ-কোছ,bacʰo-kocʰo,খোতি,kʰot̪i,অন্য,ɔnno,তিনডা,t̪inda,খাটা,kʰata
সবজি-টবজি,ʃɔbɟi-tboɟi,জানিনা,ɟanina,মানুষ,manuʃ,কইরা,ko͡i̯ra,কইছো,ko͡i̯cʰo
খাবারে,kʰabare,কেজুর,keɟur,যারা,ɟara,থাকে,t̪ʰake,এদিকি,ed̪iki
চায়,caʲ,গাছ,gacʰ,যায়,ɟaʲ,অস্ট্রলিয়াতে,ɔstroliʲat̪e,মেয়রের,meʲorer
মন্দ,mond̪o,দেহা,d̪eha,ইয়্যিনের,ikiner,এইযে,e͡i̯ɟe,এতো,et̪o
মাছ-গোস্ত,macʰ-gost̪o,যা,ɟa,ফুছর,pʰucʰɔr,এডাম,edam,সুমায়,ʃumaʲ
খাবার,kʰabar,ছাইছলাম,cʰa͡i̯cʰɔlam,গরিয়েনে,goriʲene,জাম্পা,ɟampa,দিলে,d̪ile
এহন,ehon,হবরি,hɔbori,লওন,lɔ͡o̯n,তারপরে,t̪arpɔre,তা,t̪a
মাছ-গোস্তর,macʰ-gost̪ɔr,কলা,kɔla,ফরিবু,pʰoribu,হচ্ছে,hoccʰe,মেয়র,meʲor
দাম,d̪am,রুইতাম,ru͡i̯t̪am,যাইতু,ɟa͡i̯t̪u,মাইকেল,ma͡i̯kel,কিছু,kicʰu
করো,koro,কিমুন,kimun,গ্যারান্টি,gæranti,সেরসন,ʃerʃɔn,কইরে-টইরে,ko͡i̯re-tire
গোস্ত,gost̪o,অইবো,ɔ͡i̯bo,দি,d̪i,হেরা,hera,দেল,d̪æl
আগে,age,রুইয়াম,ru͡i̯ʲam,খইত,kʰo͡i̯t̪o,আফগানিস্তানের,apʰganist̪aner,আরে,are
কত,kɔt̪o,বাগান,bagan,ফাইরজুম,pʰa͡i̯rɟum,আছেই,acʰe͡i̯,ওহনে,ohone
করি,kori,বাড়িরতে,baɽirot̪e,গেইলেও,ge͡i̯le͡o̯,স্পিনারই,spinari,বাড়া,baɽa
কিনছিনো,kincʰino,ছাড়া,cʰaɽa,খাতাত,kʰat̪at̪,কয়েকটা,kɔʲekta,কইস,ko͡i̯ʃ
মুরগিয়ে,murgiʲe,আনবাম,anbam,থাইবু,t̪ʰa͡i̯bu,চাহাল,cahal,তুরা,t̪ura
চাইরশো,ca͡i̯rʃo,এক্কানো,ækkano,ইতারে,it̪are,রবি,robi,রাজনীতি,raɟnit̪i
টাহা,taha,ফিশারি,pʰiʃari,ফুসার,pʰuʃar,বিষ্ণুই,biʃnu͡i̯,নির্বাচনের,nirbakoner
কেজি,keɟi,সত্তুর,ʃɔt̪t̪ur,তুসার,t̪uʃar,রাহুল,rahul,খাটিছিস,kʰaticʰiʃ
তাহাইলে,t̪aha͡i̯le,ক্ষেতের,kʰet̪er,নঅগরো,nɔ͡ɔ̯gɔro,ওরাও,ora͡o̯,কম,kɔm
সউগ,ʃɔ͡u̯go,কুহানো,kuhano,এগিন,egin,ওরা,ora,মিথ্যে,mit̪t̪ʰe
জিনিসেরে,ɟiniʃere,বাড়িত,baɽit̪o,এগিনোর,eginor,বাংলাদেশে,baŋlad̪eʃe,কথা,kɔt̪ʰa
বেশি,beʃi,ফিশারির,pʰiʃarir,হাতাত,hat̪at̪,একটাও,ækta͡o̯,হ্যাঁ,hæ̃
হুম,hum,মাইদ্দে,ma͡i̯d̪d̪e,নামবার,nambar,কয়দিন,kɔʲd̪in,ওটুক,otuk
এহ,eh,রুউবাইন,ru͡u̯ba͡i̯n,নাই,na͡i̯,আগে,age,করিছি,koricʰi
ছোট,cʰoto,কানিতে,kanit̪e,ইনোর,inor,রিশাদরে,riʃad̪ɔre,এহন,ehon
মানুষ,manuʃ,রুইছে,ru͡i̯cʰe,প্রেজেনটেশনত,preɟenteʃonɔt̪,নিলো,nilo,ওইরে,o͡i̯re
আস্তে,ast̪e,হেয়ান্তে,heʲant̪e,একসট্রা,ækʃotra,ওরে,ore,দেবে,d̪ebe
হইবে,ho͡i̯be,উরগায়া,urgaʲa,কারিকুলামত,karikulamɔt̪,রাখছে,rakʰcʰe,ভাইর,bʱa͡i̯r
খাইবে,kʰa͡i̯be,আনবো,anbo,আরার,arar,মোটামুটি,motamuti,বিটাগে,bitage
সউগে,ʃɔ͡u̯ge,আন্নে,anne,ভারসিটির,bʱarsitir,তিন,t̪in,দিয়ে,d̪iʲe
সাইদপে,sa͡i̯d̪pe,চারা,cara,বেক,bek,চার,car,দিতি,d̪it̪i
সেইটেই,ʃe͡i̯te͡i̯,আম্নেরে,amnere,কিসুত,kiʃut̪,বছর,bɔcʰor,সুতো,ʃut̪o
করা,kɔra,ফ্রিতে,pʰrit̪e,কমপিটিশন,kompitiʃon,ধইরা,d̪ʱo͡i̯ra,ছিঁড়ে,cʰĩɽe
লাগবে,lagbe,এম্নেতেই,emnet̪e͡i̯,এনে,ene,দলের,d̪ɔler,যাচ্ছে,ɟaccʰe
ওটা,ota,আনবাইন,anba͡i̯n,এই,e͡i̯,সাথে,ʃat̪ʰe,এট্টা,etta
বিয়ে,biʲe,এম্নেতে,emnet̪e,জায়গাতো,ɟaʲgat̪o,থাকতেছে,t̪ʰakt̪ecʰe,কইরে,ko͡i̯re
শাদি,ʃad̪i,একটা,ækta,ইয়ান,iʲan,স্পিনারের,spinarer,ধরো,d̪ʱɔro
করাইছেন,kɔra͡i̯cʰen,তুমারে,t̪umare,দাম,d̪am,অভাব,ɔbʱab,প্রজেক্ট-ম্রজেক্ট,proɟektɔ-mroɟektɔ
বেটাক,betak,কইলো,ko͡i̯lo,জাগাত,ɟagat̪,পূরণ,puron,নাই,na͡i̯
বউক,bɔ͡u̯k,অইলে,æ͡i̯le,ফারে,pʰare,করতে,kort̪e,ওরকম,orokom
মানি,mani,দন্নবাদ,d̪ɔnnobad̪,বুঝের,buɟʱer,পারতেছে,part̪ecʰe,বিটা,bita
নেওয়ায়,ne͡o̯ʷaʲ,দে,d̪e,সাধারণ,ʃad̪ʱaron,স্পিন,spin,দেয়,d̪eʲ
বুঝেন,buɟʱen,জানায়,ɟanaʲ,এক্কান,ækkan,বল,bɔl,নাহ,nah
ওকে,oke,তুমি,t̪umi,তোঁয়ার,t̪õʲar,খেলাইবো,kʰela͡i̯bo,আর,ar
নিয়ায়,niʲaʲ,বুলে,bule,ইয়া,iʲa,নিয়া,niʲa,হচ্ছে,hoccʰe
সংসার,ʃɔŋʃar,ফিকনিহের,pʰikniher,প্রজেক্টেরের,proɟekterer,করাইয়া,kɔra͡i̯ʲa,আসলে,aʃole
খাওয়ায়,kʰa͡o̯ʷaʲ,আয়োজন,aʲoɟon,কম্পিউটার,kɔmpi͡u̯tar,ওর,or,এলেকার,elekar
যতই,ɟɔt̪o͡i̯,তহন,t̪ɔhon,গান,gan,স্পিনের,spiner,মদ্দি,mɔd̪d̪i
ইয়া,iʲa,কইছলা,ko͡i̯cʰɔla,অন,ɔn,বাইরের,ba͡i̯rer,দাড়াইছে,d̪aɽa͡i̯cʰe
হোক,hok,ইমরাইন্না,imra͡i̯nna,গরিয়ানে,goriʲane,দেশের,d̪eʃer,দাড়ালি,d̪aɽali
অইভাবে,ɔ͡i̯bʱabe,কারে,kare,চাপে,cape,স্পিনারগো,spinargo,ফিছনেও,pʰicʰone͡o̯
চালে,cale,ক,k,মাউস,ma͡u̯s,কোয়ালিটি,koʷaliti,করবানি,korbani
নেওয়া,ne͡o̯ʷa,মুশারপ,muʃarp,দিয়েনে,d̪iʲene,মিলে,mile,বোঝো,boɟʱo
এ,e,কেল্লে,kelle,দুনোউয়ান,d̪uno͡u̯ʲan,আরও,arɔ͡o̯,উডা,uda
নিজের,niɟer,হুইন্না,hu͡i̯nna,ও,o,হাই,ha͡i̯,ঠিক,tʰik
নাইলে,na͡i̯le,বাল্লাগলো,ballaglo,মানলাম,manlam,লেভেলের,lebʱeler,তুমাগে,t̪umage
হবার,hɔbar,বেন,ben,মাইয়াফোয়া,ma͡i̯ʲapʰoʷa,সেজন্যই,ʃeɟonno͡i̯,এয়্যাহেবারে,eʲæho͡e̯bare
নয়,nɔʲ,কইছিন,ko͡i̯cʰin,জানে,ɟane,খেলতে,kʰelt̪e,ফাশে,pʰaʃe
তাইলে,t̪a͡i̯le,ইমরাইন্নাই,imra͡i̯nna͡i̯,ইতি,it̪i,গেলে,gele,করলিও,korli͡o̯
কোন,kon,কইছে,ko͡i̯cʰe,অক্কল,ɔkkol,সমস্যা,ʃɔmoʃʃa,কিরোম,kirom
জাগাত,ɟagat̪,ইমরানরে,imranore,আঁইও,ãi͡o̯,ঠিক,tʰik,হয়,hɔʲ
বিয়াও,biʲa͡o̯,যহন,ɟɔhon,ফারি,pʰari,ইদানিংকালে,id̪aniŋkale,আমিও,ami͡o̯
করাইসেন,kɔra͡i̯sen,সিলেট,silet,হিসেবে,hiʃebe,ভালোই,bʱalo͡i̯,ওরম,orom
করাইসি,kɔra͡i̯si,যাইতাম,ɟa͡i̯t̪am,উইতি,u͡i̯t̪i,উন্নতি,unnot̪i,রাত্তিরি,rat̪t̪iri
হারাগাছ,haragacʰ,বইরো,bo͡i̯ro,কেন,keno,করছে,korcʰe,আইসে,a͡i̯ʃe
হারাগাছে,haragacʰe,ইয়াও,iʲa͡o̯,ফোয়া,pʰoʷa,এডা,eda,হাজিরা,haɟira
জমি,ɟomi,কিশোরগঞ্জ,kiʃorgɔnɟ,অইয়্যেনে,ɔ͡i̯kd̪ʱene,বলতেই,bolt̪e͡i̯,দিতাম,d̪it̪am
জমাত,ɟɔmat̪,ফায়ার,pʰaʲar,ক্যানে,kæne,হবে,hɔbe,খুব,kʰub
আবাদ,abad̪,সার্বিসের,ʃarbiʃer,বইন,bo͡i̯n,আমিও,ami͡o̯,বেশি,beʃi
করেন,kɔren,স্টেশনো,steʃono,খইয়্যুম,kʰo͡i̯ʲd̪ʱum,মানি,mani,খাটিছে,kʰaticʰe
জমিন,ɟomin,যায়ামগা,ɟaʲamga,নমুনা,nomuna,করতেছে,kort̪ecʰe,আমাদের,amad̪er
গরু,goru,কোর্স,kors,আসলেও,aʃole͡o̯,করবে,korbe,আমার,amar
কয়টা,kɔʲta,করার,kɔrar,ইয়্যুনরে,iʲunɔre,নতুন,not̪un,কাকা৷,kaka
আছে,acʰe,লাইজ্ঞা,la͡i̯gga,ধরিয়েনে,d̪ʱoriʲene,আসবে,aʃbe,কাকা,kaka
হাঁঁস-,hã̃ʃ-,কইছি,ko͡i̯cʰi,জাদুঘরে,ɟad̪ugʱɔre,আমাদের,amad̪er,আল্লাহ,allah
