Index,District,External_ID,Contents,ipa,new_ipa
16,Tangail,rec_40_audio_29.wav,কিন্তু কথা হইলো অ ফায়ার কিন্তু আসছিলো আগুন নিভাইতে।,kɪnt̪u kɔt̪ʰɐ ho͡ɪ̯lo ɔ pʰɐʲɐɾ kɪnt̪u ɐʃcʰɪlo ɐgun nɪbʱɐ͡ɪ̯t̪e।,kint̪u kɔt̪ʰa ho͡i̯lo ɔ pʰaʲar kint̪u aʃcʰilo agun nibʱa͡i̯t̪e।
17,Tangail,rec_40_audio_29.wav,তাদের অফিসে যাইয়া হামলা করলে কি হবে?,t̪ɐd̪eɾ ɔpʰɪse ɟɐ͡ɪ̯ʲɐ hɐmlɐ koɾle kɪ hɔbe?,t̪ad̪er ɔpʰise ɟa͡i̯ʲa hamla korle ki hɔbe?
18,Tangail,rec_40_audio_29.wav,না।,nɐ।,na।
19,Tangail,rec_40_audio_29.wav,ওরা প্রোপারলি ওইখানে কাজটা করে নাই।,oɾɐ pɾopɐɾlɪ o͡ɪ̯kʰɐne kɐɟtɐ koɾe nɐ͡ɪ̯।,ora proparli o͡i̯kʰane kaɟta kore na͡i̯।
20,Tangail,rec_40_audio_29.wav,অরা জাস্ট অল্প ইকটু পানি নিয়া আসছে বলছে আমাদের পানি শেষ।,ɔɾɐ ɟɐst ɔlpo ɪktu pɐnɪ nɪʲɐ ɐʃcʰe bolcʰe ɐmɐd̪eɾ pɐnɪ ʃeʃ।,ɔra ɟast ɔlpo iktu pani niʲa aʃcʰe bolcʰe amad̪er pani ʃeʃ।
21,Tangail,rec_40_audio_29.wav,বইলা খালি নিজেদের যে মানে নিজেদের ওই কি বলে ওইটাকে?,bo͡ɪ̯lɐ kʰɐlɪ nɪɟed̪eɾ ɟe mɐne nɪɟed̪eɾ o͡ɪ̯ kɪ bole o͡ɪ̯tɐke?,bo͡i̯la kʰali niɟed̪er ɟe mane niɟed̪er o͡i̯ ki bole o͡i̯take?
22,Tangail,rec_40_audio_29.wav,অফিস।,ɔpʰɪs।,ɔpʰis।
23,Tangail,rec_40_audio_29.wav,"অফিস পর্যন্ত যাতে পানি মানে আগুনটা না পৌঁছায়, সেই ব্যবস্থা কইরা চইলা গেছে।","ɔpʰɪs poɾɟont̪o ɟɐt̪e pɐnɪ mɐne ɐguntɐ nɐ po͡ũ̯cʰɐe̯, ʃe͡ɪ̯ bɛbost̪ʰɐ ko͡ɪ̯ɾɐ cɔ͡ɪ̯lɐ gecʰe।","ɔpʰis porɟont̪o ɟat̪e pani mane agunta na po͡ũ̯cʰaʲ, ʃe͡i̯ bæbost̪ʰa ko͡i̯ra cɔ͡i̯la gecʰe।"
24,Tangail,rec_40_audio_30.wav,"বাট ওই মার্কেটের পানি নিভায় মানে, পানি দেয় নাই।","bɐt o͡ɪ̯ mɐɾketeɾ pɐnɪ nɪbʱɐe̯ mɐne, pɐnɪ d̪ee̯ nɐ͡ɪ̯।","bat o͡i̯ marketer pani nibʱaʲ mane, pani d̪eʲ na͡i̯।"
25,Tangail,rec_40_audio_30.wav,আগুন নিভাইয়া যায় নাই।,ɐgun nɪbʱɐ͡ɪ̯ʲɐ ɟɐe̯ nɐ͡ɪ̯।,agun nibʱa͡i̯ʲa ɟaʲ na͡i̯।
26,Tangail,rec_40_audio_30.wav,পরে তো দেখছি যে অদের অনেকগুলা ইউনিট।,pɔɾe t̪o d̪ekʰcʰɪ ɟe ɔd̪eɾ ɔnekgulɐ ɪ͡u̯nɪt।,pɔre t̪o d̪ekʰcʰi ɟe ɔd̪er ɔnekgula i͡u̯nit।
27,Tangail,rec_40_audio_30.wav,ওইডা পরে আসছে।,o͡ɪ̯dɐ pɔɾe ɐʃcʰe।,o͡i̯da pɔre aʃcʰe।
28,Tangail,rec_40_audio_30.wav,তারপরে র‍্যাবের ইউনিট সবাই জয়েন করছে।,t̪ɐɾpɔɾe ɾɛbeɾ ɪ͡u̯nɪt ʃɔbɐ͡ɪ̯ ɟɔʲen koɾcʰe।,t̪arpɔre ræber i͡u̯nit ʃɔba͡i̯ ɟɔʲen korcʰe।
29,Tangail,rec_40_audio_30.wav,ওইযে ভলেন্টিয়ার।,o͡ɪ̯ɟe bʱɔlentɪʲɐɾ।,o͡i̯ɟe bʱɔlentiʲar।
30,Tangail,rec_40_audio_30.wav,<> যখন দেখছে বাইরায় গেছে হ্যাঁ তখন তাও থামাইতে পারতেছে না তখন।,<> ɟɔkʰon d̪ekʰcʰe bɐ͡ɪ̯ɾɐe̯ gecʰe hɛ̃ t̪ɔkʰon t̪ɐ͡o̯ t̪ʰɐmɐ͡ɪ̯t̪e pɐɾt̪ecʰe nɐ t̪ɔkʰon।,<> ɟɔkʰon d̪ekʰcʰe ba͡i̯raʲ gecʰe hæ̃ t̪ɔkʰon t̪a͡o̯ t̪ʰama͡i̯t̪e part̪ecʰe na t̪ɔkʰon।
31,Tangail,rec_40_audio_30.wav,তাও কি সকাল নয়টা-দশটার দিকে আসছে।,t̪ɐ͡o̯ kɪ ʃɔkɐl nɔʲtɐ-d̪ʃtɐɾ d̪ɪke ɐʃcʰe।,t̪a͡o̯ ki ʃɔkal nɔʲta-d̪ʃtar d̪ike aʃcʰe।
32,Tangail,rec_40_audio_30.wav,আগুন লাগছে যেখানে ছয়টায়।,ɐgun lɐgcʰe ɟekʰɐne cʰɔʲtɐe̯।,agun lagcʰe ɟekʰane cʰɔʲtaʲ।
33,Tangail,rec_40_audio_30.wav,আমার মনে হয় যে মানে,ɐmɐɾ mone hɔe̯ ɟe mɐne,amar mone hɔʲ ɟe mane
34,Tangail,rec_40_audio_31.wav,"যদি এমন আগে থিকাই ফায়ার সার্ভিসের ব্যবস্থা থাকে যে, আগুন লাগলে ইমার্জেন্সিতে কিছু করা যাবে।","ɟod̪ɪ ɛmon ɐge t̪ʰɪkɐ͡ɪ̯ pʰɐʲɐɾ ʃɐɾbʱɪseɾ bɛbost̪ʰɐ t̪ʰɐke ɟe, ɐgun lɐgle ɪmɐɾɟensɪt̪e kɪcʰu kɔɾɐ ɟɐbe।","ɟod̪i æmon age t̪ʰika͡i̯ pʰaʲar ʃarbʱiser bæbost̪ʰa t̪ʰake ɟe, agun lagle imarɟensit̪e kicʰu kɔra ɟabe।"
35,Tangail,rec_40_audio_31.wav,আর গ্যাস তো থাকে সেই গ্যাস কোথায় আমাদের বাংলাদেশে?,ɐɾ gɛʃ t̪o t̪ʰɐke ʃe͡ɪ̯ gɛʃ kot̪ʰɐe̯ ɐmɐd̪eɾ bɐŋlɐd̪eʃe?,ar gæʃ t̪o t̪ʰake ʃe͡i̯ gæʃ kot̪ʰaʲ amad̪er baŋlad̪eʃe?
36,Tangail,rec_40_audio_31.wav,সেই গ্যাসগুলা যদি দেওয়া হয় তাও তো আগুন নিভায় যায়।,ʃe͡ɪ̯ gɛʃgulɐ ɟod̪ɪ d̪e͡o̯ʷɐ hɔe̯ t̪ɐ͡o̯ t̪o ɐgun nɪbʱɐe̯ ɟɐe̯।,ʃe͡i̯ gæʃgula ɟod̪i d̪e͡o̯ʷa hɔʲ t̪a͡o̯ t̪o agun nibʱaʲ ɟaʲ।
37,Tangail,rec_40_audio_31.wav,গ্যাস মনে অয় চুলায় পাঠায় দেয়।,gɛʃ mone ɔe̯ culɐe̯ pɐtʰɐe̯ d̪ee̯।,gæʃ mone ɔʲ culaʲ patʰaʲ d̪eʲ।
38,Tangail,rec_40_audio_31.wav,"না, না, না, না, না, না।","nɐ, nɐ, nɐ, nɐ, nɐ, nɐ।","na, na, na, na, na, na।"
39,Tangail,rec_40_audio_31.wav,ওইযে সিলিন্ডারের <> সিলিন্ডারের ভিতরে থাকে না?,o͡ɪ̯ɟe sɪlɪndɐɾeɾ <> sɪlɪndɐɾeɾ bʱɪt̪ɔɾe t̪ʰɐke nɐ?,o͡i̯ɟe silindarer <> silindarer bʱit̪ɔre t̪ʰake na?
40,Tangail,rec_40_audio_31.wav,ওইগুলি তো দিলেই আগুন নিভায়।,o͡ɪ̯gulɪ t̪o d̪ɪle͡ɪ̯ ɐgun nɪbʱɐe̯।,o͡i̯guli t̪o d̪ile͡i̯ agun nibʱaʲ।
41,Tangail,rec_40_audio_32.wav,আ আসলেই এগুলা কই?,ɐ ɐʃole͡ɪ̯ egulɐ ko͡ɪ̯?,a aʃole͡i̯ egula ko͡i̯?
42,Tangail,rec_40_audio_32.wav,ওইডা কি সব জায়গায় রাখে?,o͡ɪ̯dɐ kɪ ʃɔb ɟɐʲgɐe̯ ɾɐkʰe?,o͡i̯da ki ʃɔb ɟaʲgaʲ rakʰe?
43,Tangail,rec_40_audio_32.wav,বাংলাদেশে আমাদের টোটাল ব্যবস্থাই নাই।,bɐŋlɐd̪eʃe ɐmɐd̪eɾ totɐl bɛbost̪ʰɐ͡ɪ̯ nɐ͡ɪ̯।,baŋlad̪eʃe amad̪er total bæbost̪ʰa͡i̯ na͡i̯।
44,Tangail,rec_40_audio_32.wav,সিস্টেমটাই নষ্ট।,ʃɪstemtɐ͡ɪ̯ nɔʃto।,ʃistemta͡i̯ nɔʃto।
45,Tangail,rec_40_audio_32.wav,"যে প্রোপার এক জায়গায় আগুন লাগলে যে আগেই <> মানে সবাই হচ্ছে, সিস্টেমের কথা বলোস?","ɟe pɾopɐɾ ɛk ɟɐʲgɐe̯ ɐgun lɐgle ɟe ɐge͡ɪ̯ <> mɐne ʃɔbɐ͡ɪ̯ hoccʰe, ʃɪstemeɾ kɔt̪ʰɐ bɔlos?","ɟe propar æk ɟaʲgaʲ agun lagle ɟe age͡i̯ <> mane ʃɔba͡i̯ hoccʰe, ʃistemer kɔt̪ʰa bɔlos?"
46,Tangail,rec_40_audio_32.wav,আমি তোরে বলি এইযে গরম।,ɐmɪ t̪oɾe bolɪ e͡ɪ̯ɟe gɔɾom।,ami t̪ore boli e͡i̯ɟe gɔrom।
47,Tangail,rec_40_audio_32.wav,"বাহিরের দেশে সুইজারল্যান্ড বল, ইউকে বল।","bɐhɪɾeɾ d̪eʃe ʃu͡ɪ̯ɟɐɾolɛnd bɔl, ɪ͡u̯ke bɔl।","bahirer d̪eʃe ʃu͡i̯ɟarolænd bɔl, i͡u̯ke bɔl।"
48,Tangail,rec_40_audio_33.wav,অন্যান্য দেশে হ্যাঁ বস্টেলে।,ɔnnɐnno d̪eʃe hɛ̃ bɔstele।,ɔnnanno d̪eʃe hæ̃ bɔstele।
49,Tangail,rec_40_audio_33.wav,ওই দেশেও কিন্তু অনেক গরম বা দুবাই সব থেইকা বড় এক্সামপল।,o͡ɪ̯ d̪eʃe͡o̯ kɪnt̪u ɔnek gɔɾom bɐ d̪ubɐ͡ɪ̯ ʃɔb t̪ʰe͡ɪ̯kɐ bɔɽo ekʃɐmpɔl।,o͡i̯ d̪eʃe͡o̯ kint̪u ɔnek gɔrom ba d̪uba͡i̯ ʃɔb t̪ʰe͡i̯ka bɔɽo ekʃampɔl।
50,Tangail,rec_40_audio_33.wav,দুবাই কিন্তু অনেক গরম থাকে।,d̪ubɐ͡ɪ̯ kɪnt̪u ɔnek gɔɾom t̪ʰɐke।,d̪uba͡i̯ kint̪u ɔnek gɔrom t̪ʰake।
51,Tangail,rec_40_audio_33.wav,ওরা কি করে জানোস?,oɾɐ kɪ koɾe ɟɐnos?,ora ki kore ɟanos?
52,Tangail,rec_40_audio_33.wav,ওরা যে ওইযে আ কি বলে?,oɾɐ ɟe o͡ɪ̯ɟe ɐ kɪ bole?,ora ɟe o͡i̯ɟe a ki bole?
53,Tangail,rec_40_audio_33.wav,হিউমিডিটি ফ্রিকেশন কি জানি একটা আছে?,hɪ͡u̯mɪdɪtɪ pʰɾɪkeʃon kɪ ɟɐnɪ ɛktɐ ɐcʰe?,hi͡u̯miditi pʰrikeʃon ki ɟani ækta acʰe?
54,Tangail,rec_40_audio_33.wav,"মানে যেটা আর কি কাজ হইতেছে, হেলিকাপ্টার দিয়া","mɐne ɟetɐ ɐɾ kɪ kɐɟ ho͡ɪ̯t̪ecʰe, helɪkɐptɐɾ d̪ɪʲɐ","mane ɟeta ar ki kaɟ ho͡i̯t̪ecʰe, helikaptar d̪iʲa"
55,Tangail,rec_40_audio_34.wav,ওরা পানি স্প্রে করে।,oɾɐ pɐnɪ spɾe koɾe।,ora pani spre kore।
56,Tangail,rec_40_audio_34.wav,পুরা উপরে মানে পুরা কান্ট্রির মদ্যে পানি স্প্রে করতে থাকে।,puɾɐ upɔɾe mɐne puɾɐ kɐntɾɪɾ mod̪d̪e pɐnɪ spɾe koɾt̪e t̪ʰɐke।,pura upɔre mane pura kantrir mod̪d̪e pani spre kort̪e t̪ʰake।
57,Tangail,rec_40_audio_34.wav,"আর মাঝখানে একটা পর্দা দেয়, মানে একটা এবসর্ব করার মতো যাতে ওইযে এসির এসির কাজ করে আর কি।","ɐɾ mɐɟʱkʰɐne ɛktɐ pɔɾd̪ɐ d̪ee̯, mɐne ɛktɐ eboʃoɾbo kɔɾɐɾ mɔt̪o ɟɐt̪e o͡ɪ̯ɟe eʃɪɾ eʃɪɾ kɐɟ koɾe ɐɾ kɪ।","ar maɟʱkʰane ækta pɔrd̪a d̪eʲ, mane ækta eboʃorbo kɔrar mɔt̪o ɟat̪e o͡i̯ɟe eʃir eʃir kaɟ kore ar ki।"
58,Tangail,rec_40_audio_34.wav,"পানি আ ঠান্ডা পানি দিতেছি, পর্দার মাধ্যমে বাতাস দিতেছি যাতে নিচে আমার ঠান্ডা-ঠান্ডা-ঠান্ডা বাতাসটা আসে।"," pɐnɪ ɐ tʰɐndɐ pɐnɪ d̪ɪt̪ecʰɪ, pɔɾd̪ɐɾ mɐd̪d̪ʱome bɐt̪ɐʃ d̪ɪt̪ecʰɪ ɟɐt̪e nɪce ɐmɐɾ -tʰɐndɐ- bɐt̪ɐʃtɐ ɐʃe।","pani a tʰanda pani d̪it̪ecʰi, pɔrd̪ar mad̪d̪ʱome bat̪aʃ d̪it̪ecʰi ɟat̪e nice amar tʰanda-ঠান্ডা-tʰanda bat̪aʃta aʃe।"
59,Tangail,rec_40_audio_34.wav,আর দেখ বাংলাদেশে কিন্তু বাংলাদেশে,ɐɾ d̪ɛkʰo bɐŋlɐd̪eʃe kɪnt̪u bɐŋlɐd̪eʃe,ar d̪ækʰo baŋlad̪eʃe kint̪u baŋlad̪eʃe
60,Tangail,rec_40_audio_35.wav,কিছু হইতেছে না।,kɪcʰu ho͡ɪ̯t̪ecʰe nɐ।,kicʰu ho͡i̯t̪ecʰe na।
61,Tangail,rec_40_audio_35.wav,এই অলমোস্ট একসপ্তাহ হইয়া গেছে গরম।,e͡ɪ̯ ɔlomost ɛkʃopt̪ɐho ho͡ɪ̯ʲɐ gecʰe gɔɾom।,e͡i̯ ɔlomost ækʃopt̪aho ho͡i̯ʲa gecʰe gɔrom।
62,Tangail,rec_40_audio_35.wav,অদের দেশে কৃত্রিম বৃষ্টির ব্যবস্থা আছে।,ɔd̪eɾ d̪eʃe kɾɪt̪ɾɪm bɾɪʃtɪɾ bɛbost̪ʰɐ ɐcʰe।,ɔd̪er d̪eʃe krit̪rim briʃtir bæbost̪ʰa acʰe।
63,Tangail,rec_40_audio_35.wav,হ্যাঁ।,hɛ̃।,hæ̃।
64,Tangail,rec_40_audio_35.wav,আমাদের দেশে কিচ্ছু নাই কিচ্ছু নাই।,ɐmɐd̪eɾ d̪eʃe kɪccʰu nɐ͡ɪ̯ kɪccʰu nɐ͡ɪ̯।,amad̪er d̪eʃe kiccʰu na͡i̯ kiccʰu na͡i̯।
65,Tangail,rec_40_audio_35.wav,আমাদের জমিগুলা ফাইটা চৌচির হইয়া যাইতেছে।,ɐmɐd̪eɾ ɟomɪgulɐ pʰɐ͡ɪ̯tɐ co͡u̯cɪɾ ho͡ɪ̯ʲɐ ɟɐ͡ɪ̯t̪ecʰe।,amad̪er ɟomigula pʰa͡i̯ta co͡u̯cir ho͡i̯ʲa ɟa͡i̯t̪ecʰe।
66,Tangail,rec_40_audio_35.wav,কিশকের ধান পুরা পুইড়া যাইতেছে গরমে কিন্তু এই দেশে কোনো ব্যবস্থাই নাই।,kɪʃokeɾ d̪ʱɐn puɾɐ pu͡ɪ̯ɽɐ ɟɐ͡ɪ̯t̪ecʰe gɔɾme kɪnt̪u e͡ɪ̯ d̪eʃe kono bɛbost̪ʰɐ͡ɪ̯ nɐ͡ɪ̯।,kiʃoker d̪ʱan pura pu͡i̯ɽa ɟa͡i̯t̪ecʰe gɔrme kint̪u e͡i̯ d̪eʃe kono bæbost̪ʰa͡i̯ na͡i̯।
67,Tangail,rec_40_audio_35.wav,আসলেই নাই।,ɐʃole͡ɪ̯ nɐ͡ɪ̯।,aʃole͡i̯ na͡i̯।
68,Tangail,rec_40_audio_35.wav,মানে আমি জাস্ট,mɐne ɐmɪ ɟɐst,mane ami ɟast
69,Tangail,rec_40_audio_36.wav,"ওইহানে ভাবলাম, কয়দিন ভার্সিটি কইরা আসতেছি আর ভাবতেছি যে, গরম দুবাই এতো গরম।","o͡ɪ̯hɐne bʱɐblɐm, kɔʲd̪ɪn bʱɐɾsɪtɪ ko͡ɪ̯ɾɐ ɐʃt̪ecʰɪ ɐɾ bʱɐbt̪ecʰɪ ɟe, gɔɾom d̪ubɐ͡ɪ̯ et̪o gɔɾom।","o͡i̯hane bʱablam, kɔʲd̪in bʱarsiti ko͡i̯ra aʃt̪ecʰi ar bʱabt̪ecʰi ɟe, gɔrom d̪uba͡i̯ et̪o gɔrom।"
70,Tangail,rec_40_audio_36.wav,দুবাই তারপরেও মানুষ এতো মানে হাই-হুতাশ করতেছে না।,d̪ubɐ͡ɪ̯ t̪ɐɾpɔɾe͡o̯ mɐnuʃ et̪o mɐne hɐ͡ɪ̯-hut̪ɐʃ koɾt̪ecʰe nɐ।,d̪uba͡i̯ t̪arpɔre͡o̯ manuʃ et̪o mane ha͡i̯-hut̪aʃ kort̪ecʰe na।
71,Tangail,rec_40_audio_36.wav,"কারণ ওদের ই কৃত্রিম বৃষ্টি পড়ে, এই যে বাতাস ঠান্ডা বলে, এইগুলার ব্যবস্থা অরা কইরা দেয়।","kɐɾon od̪eɾ ɪ kɾɪt̪ɾɪm bɾɪʃtɪ pɔɽe, e͡ɪ̯ ɟe bɐt̪ɐʃ tʰɐndɐ bole, e͡ɪ̯gulɐɾ bɛbost̪ʰɐ ɔɾɐ ko͡ɪ̯ɾɐ d̪ee̯।","karon od̪er i krit̪rim briʃti pɔɽe, e͡i̯ ɟe bat̪aʃ tʰanda bole, e͡i̯gular bæbost̪ʰa ɔra ko͡i̯ra d̪eʲ।"
72,Tangail,rec_40_audio_36.wav,সরকার কইরা দিতেছে কিন্তু আমাদের এইখানে কিছুই হয় না।,ʃɔɾkɐɾ ko͡ɪ̯ɾɐ d̪ɪt̪ecʰe kɪnt̪u ɐmɐd̪eɾ e͡ɪ̯kʰɐne kɪcʰu͡ɪ̯ hɔe̯ nɐ।,ʃɔrkar ko͡i̯ra d̪it̪ecʰe kint̪u amad̪er e͡i̯kʰane kicʰu͡i̯ hɔʲ na।
73,Tangail,rec_40_audio_36.wav,"আমরা গরমেই মরতেছি, গরমেই ভুগতেছি উল্টা।","ɐmɾɐ gɔɾme͡ɪ̯ moɾt̪ecʰɪ, gɔɾme͡ɪ̯ bʱugt̪ecʰɪ ultɐ।","amra gɔrme͡i̯ mort̪ecʰi, gɔrme͡i̯ bʱugt̪ecʰi ulta।"
74,Tangail,rec_40_audio_36.wav,"মানে আমাদেরকে বলা হইতেছে, রোগ হবে সতর্ক থাকুন।","mɐne ɐmɐd̪eɾke bɔlɐ ho͡ɪ̯t̪ecʰe, ɾog hɔbe ʃɔt̪ɔɾko t̪ʰɐkun।","mane amad̪erke bɔla ho͡i̯t̪ecʰe, rog hɔbe ʃɔt̪ɔrko t̪ʰakun।"
75,Tangail,rec_40_audio_36.wav,"সতর্ক থাকা, থাকবো কীভাবে?","ʃɔt̪ɔɾko t̪ʰɐkɐ, t̪ʰɐkbo kɪbʱɐbe?","ʃɔt̪ɔrko t̪ʰaka, t̪ʰakbo kibʱabe?"
76,Tangail,rec_40_audio_37.wav,আমাকে ওয়েটা তো দেখাইতে হবে।,ɐmɐke oʲetɐ t̪o d̪ɛkʰɐ͡ɪ̯t̪e hɔbe।,amake oʲeta t̪o d̪ækʰa͡i̯t̪e hɔbe।
77,Tangail,rec_40_audio_37.wav,"আচ্ছা, সৌদি আরবে যে কৃত্রিম বৃষ্টি করছে?","ɐccʰɐ, so͡u̯d̪ɪ ɐɾɔbe ɟe kɾɪt̪ɾɪm bɾɪʃtɪ koɾcʰe?","accʰa, so͡u̯d̪i arɔbe ɟe krit̪rim briʃti korcʰe?"
78,Tangail,rec_40_audio_37.wav,এর জন্য তো অনেক বনাঞ্চল হইতেছে কিন্তু অনেকেই এইটাকে আবার কেয়ামতের আলামত ভাবতেছে।,eɾ ɟonno t̪o ɔnek bɔnɐncɔl ho͡ɪ̯t̪ecʰe kɪnt̪u ɔneke͡ɪ̯ e͡ɪ̯tɐke ɐbɐɾ keʲɐmɔt̪eɾ ɐlɐmɔt̪ bʱɐbt̪ecʰe।,er ɟonno t̪o ɔnek bɔnancɔl ho͡i̯t̪ecʰe kint̪u ɔneke͡i̯ e͡i̯take abar keʲamɔt̪er alamɔt̪ bʱabt̪ecʰe।
79,Tangail,rec_40_audio_37.wav,কেউ কেউ আছে আলামত ভাবতেছে।,ke͡u̯ ke͡u̯ ɐcʰe ɐlɐmɔt̪ bʱɐbt̪ecʰe।,ke͡u̯ ke͡u̯ acʰe alamɔt̪ bʱabt̪ecʰe।
80,Tangail,rec_40_audio_37.wav,হ্যাঁ।,hɛ̃।,hæ̃।
