District,External_ID,Contents,ipa
Tangail,rec_40_audio_33.wav,হিউমিডিটি ফ্রিকেশন কি জানি একটা আছে?,hi͡u̯miditi pʰrikeʃon ki ɟani ækta acʰe?
Tangail,rec_40_audio_33.wav,"মানে যেটা আর কি কাজ হইতেছে, হেলিকাপ্টার দিয়া","mane ɟeta ar ki kaɟ ho͡i̯t̪ecʰe, helikaptar d̪iʲa"
Tangail,rec_40_audio_34.wav,ওরা পানি স্প্রে করে।,ora pani spre kore।
Tangail,rec_40_audio_34.wav,পুরা উপরে মানে পুরা কান্ট্রির মদ্যে পানি স্প্রে করতে থাকে।,pura upɔre mane pura kantrir mod̪d̪e pani spre kort̪e t̪ʰake।
Tangail,rec_40_audio_34.wav,"আর মাঝখানে একটা পর্দা দেয়, মানে একটা এবসর্ব করার মতো যাতে ওইযে এসির এসির কাজ করে আর কি।","ar maɟʱkʰane ækta pɔrd̪a d̪eʲ, mane ækta eboʃorbo kɔrar mɔt̪o ɟat̪e o͡i̯ɟe eʃir eʃir kaɟ kore ar ki।"
Tangail,rec_40_audio_34.wav,"পানি আ ঠান্ডা পানি দিতেছি, পর্দার মাধ্যমে বাতাস দিতেছি যাতে নিচে আমার ঠান্ডা-ঠান্ডা-ঠান্ডা বাতাসটা আসে।"," pani a tʰanda pani d̪it̪ecʰi, pɔrd̪ar mad̪d̪ʱome bat̪aʃ d̪it̪ecʰi ɟat̪e nice amar -tʰanda- bat̪aʃta aʃe।"
Tangail,rec_40_audio_34.wav,আর দেখ বাংলাদেশে কিন্তু বাংলাদেশে,ar d̪ækʰo baŋlad̪eʃe kint̪u baŋlad̪eʃe
Tangail,rec_40_audio_35.wav,কিছু হইতেছে না।,kicʰu ho͡i̯t̪ecʰe na।
Tangail,rec_40_audio_35.wav,এই অলমোস্ট একসপ্তাহ হইয়া গেছে গরম।,e͡i̯ ɔlomost ækʃopt̪aho ho͡i̯ʲa gecʰe gɔrom।
Tangail,rec_40_audio_35.wav,অদের দেশে কৃত্রিম বৃষ্টির ব্যবস্থা আছে।,ɔd̪er d̪eʃe krit̪rim briʃtir bæbost̪ʰa acʰe।
Tangail,rec_40_audio_35.wav,হ্যাঁ।,hæ̃।
Tangail,rec_40_audio_35.wav,আমাদের দেশে কিচ্ছু নাই কিচ্ছু নাই।,amad̪er d̪eʃe kiccʰu na͡i̯ kiccʰu na͡i̯।
Tangail,rec_40_audio_35.wav,আমাদের জমিগুলা ফাইটা চৌচির হইয়া যাইতেছে।,amad̪er ɟomigula pʰa͡i̯ta co͡u̯cir ho͡i̯ʲa ɟa͡i̯t̪ecʰe।
Tangail,rec_40_audio_35.wav,কিশকের ধান পুরা পুইড়া যাইতেছে গরমে কিন্তু এই দেশে কোনো ব্যবস্থাই নাই।,kiʃoker d̪ʱan pura pu͡i̯ɽa ɟa͡i̯t̪ecʰe gɔrme kint̪u e͡i̯ d̪eʃe kono bæbost̪ʰa͡i̯ na͡i̯।
Tangail,rec_40_audio_35.wav,আসলেই নাই।,aʃole͡i̯ na͡i̯।
Tangail,rec_40_audio_35.wav,মানে আমি জাস্ট,mane ami ɟast
Tangail,rec_40_audio_36.wav,"ওইহানে ভাবলাম, কয়দিন ভার্সিটি কইরা আসতেছি আর ভাবতেছি যে, গরম দুবাই এতো গরম।","o͡i̯hane bʱablam, kɔʲd̪in bʱarsiti ko͡i̯ra aʃt̪ecʰi ar bʱabt̪ecʰi ɟe, gɔrom d̪uba͡i̯ et̪o gɔrom।"
Tangail,rec_40_audio_36.wav,দুবাই তারপরেও মানুষ এতো মানে হাই-হুতাশ করতেছে না।,d̪uba͡i̯ t̪arpɔre͡o̯ manuʃ et̪o mane ha͡i̯-hut̪aʃ kort̪ecʰe na।
Tangail,rec_40_audio_36.wav,"কারণ ওদের ই কৃত্রিম বৃষ্টি পড়ে, এই যে বাতাস ঠান্ডা বলে, এইগুলার ব্যবস্থা অরা কইরা দেয়।","karon od̪er i krit̪rim briʃti pɔɽe, e͡i̯ ɟe bat̪aʃ tʰanda bole, e͡i̯gular bæbost̪ʰa ɔra ko͡i̯ra d̪eʲ।"
Tangail,rec_40_audio_36.wav,সরকার কইরা দিতেছে কিন্তু আমাদের এইখানে কিছুই হয় না।,ʃɔrkar ko͡i̯ra d̪it̪ecʰe kint̪u amad̪er e͡i̯kʰane kicʰu͡i̯ hɔʲ na।
Tangail,rec_40_audio_36.wav,"আমরা গরমেই মরতেছি, গরমেই ভুগতেছি উল্টা।","amra gɔrme͡i̯ mort̪ecʰi, gɔrme͡i̯ bʱugt̪ecʰi ulta।"
Tangail,rec_40_audio_36.wav,"মানে আমাদেরকে বলা হইতেছে, রোগ হবে সতর্ক থাকুন।","mane amad̪erke bɔla ho͡i̯t̪ecʰe, rog hɔbe ʃɔt̪ɔrko t̪ʰakun।"
Tangail,rec_40_audio_36.wav,"সতর্ক থাকা, থাকবো কীভাবে?","ʃɔt̪ɔrko t̪ʰaka, t̪ʰakbo kibʱabe?"
Tangail,rec_40_audio_37.wav,আমাকে ওয়েটা তো দেখাইতে হবে।,amake oʲeta t̪o d̪ækʰa͡i̯t̪e hɔbe।
Tangail,rec_40_audio_37.wav,"আচ্ছা, সৌদি আরবে যে কৃত্রিম বৃষ্টি করছে?","accʰa, so͡u̯d̪i arɔbe ɟe krit̪rim briʃti korcʰe?"
Tangail,rec_40_audio_37.wav,এর জন্য তো অনেক বনাঞ্চল হইতেছে কিন্তু অনেকেই এইটাকে আবার কেয়ামতের আলামত ভাবতেছে।,er ɟonno t̪o ɔnek bɔnancɔl ho͡i̯t̪ecʰe kint̪u ɔneke͡i̯ e͡i̯take abar keʲamɔt̪er alamɔt̪ bʱabt̪ecʰe।
Tangail,rec_40_audio_37.wav,কেউ কেউ আছে আলামত ভাবতেছে।,ke͡u̯ ke͡u̯ acʰe alamɔt̪ bʱabt̪ecʰe।
Tangail,rec_40_audio_37.wav,হ্যাঁ।,hæ̃।
Tangail,rec_40_audio_37.wav,কয়দিন আগে পনেরো রোজার মধ্যে কি হইলো?,kɔʲd̪in age ponero roɟar mod̪d̪ʱe ki ho͡i̯lo?
Tangail,rec_40_audio_37.wav,"হ্যাঁ সবাই বলতেছিলো যে, পনেরো রোজায় নাকি একটা বিকট আওয়াজ হবে এবং সেইখানে নাকি অনেক মানুষ মারা যাবে, অন্ধ হইয়া যাবে।","hæ̃ ʃɔba͡i̯ bolt̪ecʰilo ɟe, ponero roɟaʲ naki ækta bikt a͡o̯ʷaɟ hɔbe eboŋ ʃe͡i̯kʰane naki ɔnek manuʃ mara ɟabe, ɔnd̪ʱo ho͡i̯ʲa ɟabe।"
Tangail,rec_40_audio_38.wav,তো অনেক কিছু হবে কিন্তু আসলে কি এটা আদৌ সম্ভব এতো আগে কেয়ামত হওয়া?,t̪o ɔnek kicʰu hɔbe kint̪u aʃole ki eta ad̪o͡u̯ ʃɔmbʱɔb et̪o age keʲamɔt̪ hoʷa?
Tangail,rec_40_audio_38.wav,তোদের কি মনে হয়?,t̪od̪er ki mone hɔʲ?
Tangail,rec_40_audio_38.wav,আমি তো ফার্স্ট থেকেই জানি এটা একটা রিউমার।,ami t̪o pʰarst t̪ʰeke͡i̯ ɟani eta ækta ri͡u̯mar।
Tangail,rec_40_audio_38.wav,কেনো আমি তোরে বলি।,keno ami t̪ore boli।
Tangail,rec_40_audio_38.wav,আমাদের দেশে না অয় প্রথম রমজান শুক্রবার।,amad̪er d̪eʃe na ɔʲ prot̪ʰom rɔmoɟan ʃukrobar।
Tangail,rec_40_audio_38.wav,সৌদি আরবে কি প্রথম রোজা শুক্রবারে ছিলো?,so͡u̯d̪i arɔbe ki prot̪ʰom roɟa ʃukrobare cʰilo?
Tangail,rec_40_audio_38.wav,কিন্তু তুমি যদি এই লজিক ধরো?,kint̪u t̪umi ɟod̪i e͡i̯ loɟik d̪ʱɔro?
Tangail,rec_40_audio_38.wav,তাহলে তো জীবনেও কখনোই তোমার কেয়ামত হবে?,t̪ahole t̪o ɟibɔne͡o̯ kɔkʰono͡i̯ t̪omar keʲamɔt̪ hɔbe?
Tangail,rec_40_audio_38.wav,না,na
Tangail,rec_40_audio_39.wav,হাদিস অনুযায়ী ভাই নরমালি বলা আছে এবা।,had̪is onuɟaʲi bʱa͡i̯ nɔrmali bɔla acʰe eba।
Tangail,rec_40_audio_39.wav,সরকারে চাইতেছে যে খুব শীঘ্রই দুই দেশে একই দিনে এই রোজা শুরু করবে এবং একই দিনে শেষ করবে।,ʃɔrkare ca͡i̯t̪ecʰe ɟe kʰub ʃigʱro͡i̯ d̪u͡i̯ d̪eʃe æko͡i̯ d̪ine e͡i̯ roɟa ʃuru korbe eboŋ æko͡i̯ d̪ine ʃeʃ korbe।
Tangail,rec_40_audio_39.wav,ওই সময়ে এই জিনিসটা ঘটবে।,o͡i̯ ʃɔmɔʲe e͡i̯ ɟiniʃta gʱotbe।
Tangail,rec_40_audio_39.wav,তখন চাঁদপুরের কি হবে?,t̪ɔkʰon cãd̪purer ki hɔbe?
Tangail,rec_40_audio_39.wav,কিয়ামতের আলামত অবশ্যই দেখা যাবে।,kiʲamt̪er alamɔt̪ ɔboʃʃo͡i̯ d̪ækʰa ɟabe।
Tangail,rec_40_audio_39.wav,চাঁদপুরের মানুষরা তখন কি করবে?,cãd̪purer manuʃra t̪ɔkʰon ki korbe?
Tangail,rec_40_audio_39.wav,চাঁদপুরের মানুষদের তখন কিছুই করার নাই।,cãd̪purer manuʃd̪er t̪ɔkʰon kicʰu͡i̯ kɔrar na͡i̯।
Tangail,rec_40_audio_39.wav,একদিনে ঈদ করবে বেচারারা।,ækd̪ine id̪ korbe becarara।
Tangail,rec_40_audio_39.wav,এইটা কীভাবে সম্ভব?,e͡i̯ta kibʱabe ʃɔmbʱɔb?
Tangail,rec_40_audio_39.wav,ভৌগলিকভাবে আমাদের সূর্য হচ্ছে আমরা এক পিছনে আছি আমরা।,bʱo͡u̯golikbʱabe amad̪er ʃurɟo hoccʰe amra æk picʰone acʰi amra।
Tangail,rec_40_audio_39.wav,তাই না?,t̪a͡i̯ na?
Tangail,rec_40_audio_39.wav,"<> না, না।","<> na, na।"
Tangail,rec_40_audio_39.wav,ভৌগোলিকভাবে শোন যদি এটা এ,bʱo͡u̯golikbʱabe ʃono ɟod̪i eta e
Tangail,rec_40_audio_40.wav,এমন হইতো যে আমেরিকা আর বাংলাদেশ।,æmon ho͡i̯t̪o ɟe amerika ar baŋlad̪eʃ।
Tangail,rec_40_audio_40.wav,"তাইলে এটা মানা যায় যে, আমেরিকা আমাদের বারো ঘন্টা ডিফারেন।","t̪a͡i̯le eta mana ɟaʲ ɟe, amerika amad̪er baro gʱɔnta dipʰaren।"
Tangail,rec_40_audio_40.wav,"সেক্ষেত্রেও আমি লজিকটা কিন্তু সৌদি আরব, বাহারাইন মানে আরব দেশ আর আমাদের ডিফারেন্স মাত্র তিন ঘন্টা।","ʃekkʰet̪re͡o̯ ami loɟikta kint̪u so͡u̯d̪i arɔbo, bahara͡i̯n mane arɔbo d̪eʃ ar amad̪er dipʰarens mat̪ro t̪in gʱɔnta।"
Tangail,rec_40_audio_40.wav,তো তিন ঘন্টা আগে নিশ্চয়ই একটা সূর্য উইঠাও আমাদের দেশে উঠতে একদিন লাগে না,t̪o t̪in gʱɔnta age niʃcoʲi ækta ʃurɟo u͡i̯tʰa͡o̯ amad̪er d̪eʃe utʰt̪e ækd̪in lage na
Tangail,rec_40_audio_41.wav,ওই দেশে সূর্য যখন উঠে আমাদেরও তখনই উঠবে।,o͡i̯ d̪eʃe ʃurɟo ɟɔkʰon utʰe amad̪ero t̪ɔkʰoni utʰbe।
Tangail,rec_40_audio_41.wav,আর আমাদের তো সূর্যের উপরে রোজা হয় না।,ar amad̪er t̪o ʃurɟer upɔre roɟa hɔʲ na।
Tangail,rec_40_audio_41.wav,"চাঁদ, আমাদের চাঁদের উপরে রোজা।","cãd̪, amad̪er cãd̪er upɔre roɟa।"
Tangail,rec_40_audio_41.wav,হ্যাঁ।,hæ̃।
Tangail,rec_40_audio_41.wav,"তো রাত তো আমার অনেক, অনেকক্ষণ থাকে।","t̪o rat̪ t̪o amar ɔnek, ɔnekkkʰon t̪ʰake।"
Tangail,rec_40_audio_41.wav,"সন্ধ্যা থেকে শুরু কইরা মানে বারো ঘন্টা কইরা একটা রাত থাকে, বারো ঘন্টা কইরা তোর দিন থাকে।","ʃond̪ʱa t̪ʰeke ʃuru ko͡i̯ra mane baro gʱɔnta ko͡i̯ra ækta rat̪ t̪ʰake, baro gʱɔnta ko͡i̯ra t̪or d̪in t̪ʰake।"
Tangail,rec_40_audio_41.wav,নরমাল হিসাব।,nɔrmal hiʃab।
Tangail,rec_40_audio_41.wav,তো যদি আবার বারো ঘন্টা ডিফারেন্স হইতো তাও আমি মানতাম এই লজিকটা।,t̪o ɟod̪i abar baro gʱɔnta dipʰarens ho͡i̯t̪o t̪a͡o̯ ami mant̪am e͡i̯ loɟikta।
Tangail,rec_40_audio_41.wav,কিন্তু আমার ডিফারেন্স হচ্ছে তিন থেকে সাড়ে তিন ঘন্টা।,kint̪u amar dipʰarens hoccʰe t̪in t̪ʰeke ʃaɽe t̪in gʱɔnta।
Tangail,rec_06_big_audio_14_chunk_0.wav,লাইনম্যান?,la͡i̯nmæn?
Tangail,rec_06_big_audio_14_chunk_0.wav,"না, লাইনম্যান না, লাইনম্যান না।","na, la͡i̯nmæn na, la͡i̯nmæn na।"
Tangail,rec_06_big_audio_14_chunk_0.wav,সুপারভাইজার?,ʃuparbʱa͡i̯ɟar?
Tangail,rec_06_big_audio_14_chunk_0.wav,সুপারভাইজার না।,ʃuparbʱa͡i̯ɟar na।
Tangail,rec_06_big_audio_14_chunk_0.wav,সুপারভাইজার তো নিচে।,ʃuparbʱa͡i̯ɟar t̪o nice।
Tangail,rec_06_big_audio_14_chunk_0.wav,এইগুলা তোমার হেড ও ও অইতাছে তোমার ই।,e͡i̯gula t̪omar hed o o ɔ͡i̯t̪acʰe t̪omar i।
Tangail,rec_06_big_audio_14_chunk_0.wav,একটা ফ্লোরের ই দায়িত্ব আছে?,ækta pʰlorer i d̪aʲit̪t̪o acʰe?
Tangail,rec_06_big_audio_14_chunk_0.wav,না না <> সেফটি ইনচার্জ যে উইডা তো আমার আমার মামা অয় আমার।,na na <> ʃepʰti incarɟo ɟe u͡i̯da t̪o amar amar mama ɔʲ amar।
Tangail,rec_06_big_audio_14_chunk_0.wav,ওনুকা উ অ বড় হেড।,onuka u ɔ bɔɽo hed।
Tangail,rec_06_big_audio_14_chunk_0.wav,ওইডা ওইযে তোমার ই কইরা কয়।,o͡i̯da o͡i̯ɟe t̪omar i ko͡i̯ra kɔʲ।
Tangail,rec_06_big_audio_14_chunk_0.wav,"যাই হইক, জিএম?","ɟa͡i̯ ho͡i̯k, ɟi͡e̯m?"
Tangail,rec_06_big_audio_14_chunk_0.wav,বিএসসি বিএসসি অন মানে অর কিয়ের জান ইয়ের বিষয়।,bi͡e̯ssi bi͡e̯ssi ɔn mane ɔr kiʲer ɟan iʲer biʃɔʲ।
Tangail,rec_06_big_audio_14_chunk_0.wav,জিএম না।,ɟi͡e̯m na।
Tangail,rec_06_big_audio_14_chunk_0.wav,ওইডা কিজান আর কি তোমার।,o͡i̯da kiɟan ar ki t̪omar।
Tangail,rec_06_big_audio_14_chunk_0.wav,এপিএম <>।,epi͡e̯m <>।
Tangail,rec_06_big_audio_14_chunk_0.wav,যাইহোক ওই লোকটা কি করে?,ɟa͡i̯hok o͡i̯ lokta ki kore?
Tangail,rec_06_big_audio_14_chunk_0.wav,ওই শেষ হালায় আনে।,o͡i̯ ʃeʃ halaʲ ane।
Tangail,rec_06_big_audio_14_chunk_0.wav,ওই হালার আবার কিবায় খরচ অইলো?,o͡i̯ halar abar kibaʲ kʰɔroc ɔ͡i̯lo?
Tangail,rec_06_big_audio_14_chunk_0.wav,মানে ও বলে মালিকের বলে কিবা জান আত্মীয়।,mane o bole maliker bole kiba ɟan at̪t̪iʲo।
Tangail,rec_06_big_audio_14_chunk_0.wav,ওইযে এই লোকটা চারকি করতাছে।,o͡i̯ɟe e͡i̯ lokta carki kort̪acʰe।
Tangail,rec_06_big_audio_14_chunk_0.wav,মানে বিদেশি যে ভায়ার-টায়ার আহে,mane bid̪eʃi ɟe bʱaʲar-taʲar ahe
Tangail,rec_06_big_audio_14_chunk_1.wav,বা ই-টি আহে না?,ba i-ti ahe na?
Tangail,rec_06_big_audio_14_chunk_1.wav,ও সাদা শাট পইরা রিং-টিং কইরা অগো পাছে পাছে হুদাই গুরে।,o ʃad̪a ʃat po͡i̯ra riŋ-tiŋ ko͡i̯ra ɔgo pacʰe pacʰe hud̪a͡i̯ gure।
Tangail,rec_06_big_audio_14_chunk_1.wav,<> কাম নাই।,<> kam na͡i̯।
Tangail,rec_06_big_audio_15_chunk_0 - Copy.wav,পাশ করে নাই কিন্তু?,paʃ kore na͡i̯ kint̪u?
Tangail,rec_06_big_audio_15_chunk_0 - Copy.wav,ও কিন্তু তোমার মনে করো এহন কিন্তু তোমার মনে করো একটা ডিগ্রি পাশ ছাড়া উনু জিএম-পিএম হয় না।, o kint̪u t̪omar mone koro ehon kint̪u t̪omar mone koro ækta digri paʃ cʰaɽa unu -pi͡e̯m hɔʲ na।
Tangail,rec_06_big_audio_15_chunk_0 - Copy.wav,ও মনে করো তোমার কি?,o mone koro t̪omar ki?
Tangail,rec_06_big_audio_15_chunk_0 - Copy.wav,ওয়ার্কার এর চারকি নিছাল।,oʷarkar er carki nicʰalo।
